Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType,HomeWin,AwayWin,Tournament,ConfTournament,NCAA,HomeConference,AwayConference
20142015,Massachusetts,1,@,Boston College,4,,,10/25/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,Connecticut,1,@,Vermont,2,,,10/25/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,Denver,1,@,Minnesota-Duluth,6,,,10/25/2014,NT,Win,Loss,No,No,No,NCHC,NCHC
20142015,Michigan Tech,2,@,Ferris State,1,,,10/25/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Northern Michigan,3,@,Lake Superior,0,,,10/25/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Alabama-Huntsville,1,@,Minnesota State,4,,,10/25/2014,WC,Win,Loss,No,No,No,WCHA,WCHA
20142015,Michigan,2,@,Boston University,3,,,10/25/2014,NC,Win,Loss,No,No,No,Hockey East,Big Ten
20142015,Bowling Green,5,@,Clarkson,4,,,10/25/2014,NC,Loss,Win,No,No,No,ECAC,WCHA
20142015,Alaska-Anchorage,3,@,Maine,3,OT,,10/25/2014,NC,Tie,Tie,No,No,No,Hockey East,WCHA
20142015,Merrimack,2,@,Mercyhurst,3,,,10/25/2014,NC,Win,Loss,No,No,No,Atlantic Hockey,Hockey East
20142015,St. Lawrence,1,@,Miami,2,OT,,10/25/2014,NC,Win,Loss,No,No,No,NCHC,ECAC
20142015,Niagara,0,@,Notre Dame,7,,,10/25/2014,NC,Win,Loss,No,No,No,Hockey East,Atlantic Hockey
20142015,Bentley,4,@,Rensselaer,0,,,10/25/2014,NC,Loss,Win,No,No,No,ECAC,Atlantic Hockey
20142015,Colgate,4,@,Sacred Heart,2,,,10/25/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,ECAC
20142015,St. Cloud State,3,@,Union,2,,,10/25/2014,NC,Loss,Win,No,No,No,ECAC,NCHC
20142015,Michigan State,1,@,Massachusetts-Lowell,2,,,10/25/2014,NC,Win,Loss,No,No,No,Hockey East,Big Ten
20142015,Bemidji State,3,@,Minnesota,5,,,10/25/2014,NC,Win,Loss,No,No,No,Big Ten,WCHA
20142015,Providence,2,@,North Dakota,2,OT,,10/25/2014,NC,Tie,Tie,No,No,No,NCHC,Hockey East
20142015,Colorado College,2,@,New Hampshire,6,,,10/25/2014,NC,Win,Loss,No,No,No,Hockey East,NCHC
20142015,Alaska,2,@,Western Michigan,4,,,10/25/2014,NC,Win,Loss,No,No,No,NCHC,WCHA
20142015,Holy Cross,1,@,Penn State,7,,,10/26/2014,NC,Win,Loss,No,No,No,Big Ten,Atlantic Hockey
20142015,Bentley,2,@,Penn State,3,,,10/30/2014,NC,Win,Loss,No,No,No,Big Ten,Atlantic Hockey
20142015,American International,3,@,Niagara,1,,,10/31/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,RIT,3,@,Robert Morris,6,,,10/31/2014,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Holy Cross,3,@,Sacred Heart,0,,,10/31/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Union,1,@,Rensselaer,6,,,10/31/2014,EC,Win,Loss,No,No,No,ECAC,ECAC
20142015,Massachusetts,5,@,Maine,6,OT,,10/31/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,Vermont,2,@,Notre Dame,3,,,10/31/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,Boston University,4,@,Providence,1,,,10/31/2014,HE,Loss,Win,No,No,No,Hockey East,Hockey East
20142015,Massachusetts-Lowell,2,@,New Hampshire,0,,,10/31/2014,HE,Loss,Win,No,No,No,Hockey East,Hockey East
20142015,Miami,3,@,Minnesota-Duluth,2,,,10/31/2014,NT,Loss,Win,No,No,No,NCHC,NCHC
20142015,Minnesota State,5,@,Bowling Green,2,,,10/31/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Alaska,1,@,Bemidji State,6,,,10/31/2014,WC,Win,Loss,No,No,No,WCHA,WCHA
20142015,Lake Superior,2,@,Alaska-Anchorage,3,,,10/31/2014,WC,Win,Loss,No,No,No,WCHA,WCHA
20142015,Brown,4,@,Army,2,,,10/31/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,ECAC
20142015,Ohio State,3,@,Canisius,3,OT,,10/31/2014,NC,Tie,Tie,No,No,No,Atlantic Hockey,Big Ten
20142015,Mercyhurst,0,@,Colgate,4,,,10/31/2014,NC,Win,Loss,No,No,No,ECAC,Atlantic Hockey
20142015,Nebraska-Omaha,1,@,Cornell,1,OT,,10/31/2014,NC,Tie,Tie,No,No,No,ECAC,NCHC
20142015,Boston College,2,@,Denver,1,,,10/31/2014,NC,Loss,Win,No,No,No,NCHC,Hockey East
20142015,Ferris State,1,@,Michigan State,0,,,10/31/2014,NC,Loss,Win,No,No,No,Big Ten,WCHA
20142015,Michigan,1,@,Michigan Tech,4,,,10/31/2014,NC,Win,Loss,No,No,No,WCHA,Big Ten
20142015,Alabama-Huntsville,1,@,Northern Michigan,1,OT,,10/31/2014,NC,Tie,Tie,No,No,No,WCHA,WCHA
20142015,Bentley,2,@,Penn State,3,,,10/31/2014,NC,Win,Loss,No,No,No,Big Ten,Atlantic Hockey
20142015,Minnesota,1,@,St. Cloud State,4,,,10/31/2014,NC,Win,Loss,No,No,No,NCHC,Big Ten
20142015,Clarkson,2,@,St. Lawrence,2,OT,,10/31/2014,NC,Tie,Tie,No,No,No,ECAC,ECAC
20142015,Yale,2,vs.,Princeton,2,OT,Liberty Invitational,10/31/2014,NC,Tie,Tie,Yes,No,No,ECAC,ECAC
20142015,Merrimack,2,vs.,Connecticut,2,OT,Liberty Invitational,10/31/2014,NC,Tie,Tie,Yes,No,No,Hockey East,Hockey East
20142015,Sacred Heart,2,@,Holy Cross,2,OT,,11/1/2014,AH,Tie,Tie,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,American International,4,@,Niagara,2,,,11/1/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,RIT,2,@,Robert Morris,4,,,11/1/2014,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Dartmouth,3,@,Harvard,3,OT,,11/1/2014,EC,Tie,Tie,No,No,No,ECAC,ECAC
20142015,Rensselaer,2,@,Union,1,OT,,11/1/2014,EC,Loss,Win,No,No,No,ECAC,ECAC
20142015,Providence,2,@,Boston University,1,,,11/1/2014,HE,Loss,Win,No,No,No,Hockey East,Hockey East
20142015,Massachusetts,2,@,Maine,3,,,11/1/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,Vermont,2,@,Notre Dame,2,OT,,11/1/2014,HE,Tie,Tie,No,No,No,Hockey East,Hockey East
20142015,New Hampshire,2,@,Massachusetts-Lowell,8,,,11/1/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,Miami,3,@,Minnesota-Duluth,4,,,11/1/2014,NT,Win,Loss,No,No,No,NCHC,NCHC
20142015,Minnesota State,1,@,Bowling Green,3,,,11/1/2014,WC,Win,Loss,No,No,No,WCHA,WCHA
20142015,Alaska,3,@,Bemidji State,4,OT,,11/1/2014,WC,Win,Loss,No,No,No,WCHA,WCHA
20142015,Lake Superior,3,@,Alaska-Anchorage,2,OT,,11/1/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Ohio State,4,@,Canisius,1,,,11/1/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,Big Ten
20142015,St. Lawrence,4,@,Clarkson,0,,,11/1/2014,NC,Loss,Win,No,No,No,ECAC,ECAC
20142015,Mercyhurst,2,@,Colgate,1,,,11/1/2014,NC,Loss,Win,No,No,No,ECAC,Atlantic Hockey
20142015,Nebraska-Omaha,2,@,Cornell,1,,,11/1/2014,NC,Loss,Win,No,No,No,ECAC,NCHC
