Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType
20142015,(3) North Dakota,7,@,Colorado College,2,,,10/18/2014,NT
20142015,Nebraska-Omaha,3,@,Western Michigan,0,,,10/18/2014,NT
20142015,Bowling Green,4,@,Alabama-Huntsville,1,,,10/18/2014,WC
20142015,Vermont,3,@,Clarkson,0,,,10/18/2014,NC
20142015,Northeastern,0,@,(6) Colgate,3,,,10/18/2014,NC
20142015,Rensselaer,1,@,(16) Denver,4,,,10/18/2014,NC
20142015,(2) Union,5,@,Maine,2,,,10/18/2014,NC
20142015,(20) Minnesota-Duluth,6,@,(12) Minnesota State,2,,,10/18/2014,NC
20142015,Massachusetts,4,@,Michigan State,3,,,10/18/2014,NC
20142015,(17) Ohio State,1,@,(11) Miami,2,,,10/18/2014,NC
20142015,Lake Superior,1,@,Notre Dame,5,,,10/18/2014,NC
20142015,(18) Wisconsin,1,vs.,Northern Michigan,4,,,10/18/2014,NC
20142015,(9) Massachusetts-Lowell,3,@,(13) Quinnipiac,3,OT,,10/18/2014,NC
20142015,(7) Boston College,6,@,RIT,2,,,10/18/2014,NC
20142015,(4) Ferris State,0,@,St. Lawrence,2,,,10/18/2014,NC
20142015,New Hampshire,1,@,(10) Michigan,2,,,10/18/2014,NC
20142015,Air Force,1,vs.,Alaska-Anchorage,4,,Alaska Goal Rush,10/18/2014,NC
20142015,Penn State,3,@,(19) Alaska,4,,Alaska Goal Rush,10/18/2014,NC
20142015,US Under-18 Team,4,@,(14) Boston University,6,,,10/18/2014,EX
20142015,Connecticut,4,@,(15) Quinnipiac,1,,,10/21/2014,NC
20142015,RIT,5,@,Air Force,1,,,10/24/2014,AH
20142015,Canisius,3,@,American International,1,,,10/24/2014,AH
20142015,Robert Morris,3,@,Army West Point,0,,,10/24/2014,AH
20142015,Massachusetts,3,@,Northeastern,2,,,10/24/2014,HE
20142015,(11) Denver,3,@,(19) Minnesota-Duluth,1,,,10/24/2014,NT
20142015,Michigan Tech,1,@,(8) Ferris State,0,,,10/24/2014,WC
20142015,Northern Michigan,4,@,Lake Superior,2,,,10/24/2014,WC
20142015,Alabama-Huntsville,1,@,(13) Minnesota State,3,,,10/24/2014,WC
20142015,Colorado College,2,@,(6) Boston College,6,,,10/24/2014,NC
20142015,Michigan State,0,@,(12) Boston University,1,,,10/24/2014,NC
20142015,Bowling Green,2,@,Clarkson,2,OT,,10/24/2014,NC
20142015,(20) Alaska-Anchorage,1,@,Maine,3,,,10/24/2014,NC
20142015,Merrimack,5,@,Mercyhurst,4,OT,,10/24/2014,NC
20142015,St. Lawrence,5,@,(10) Miami,4,,,10/24/2014,NC
20142015,Niagara,3,@,Notre Dame,6,,,10/24/2014,NC
20142015,Holy Cross,1,@,Penn State,3,,,10/24/2014,NC
20142015,Bentley,5,@,Rensselaer,2,,,10/24/2014,NC
20142015,(4) Colgate,5,@,Sacred Heart,2,,,10/24/2014,NC
20142015,(9) St. Cloud State,1,@,(2) Union,5,,,10/24/2014,NC
20142015,(14) Michigan,8,@,(7) Massachusetts-Lowell,4,,,10/24/2014,NC
20142015,Bemidji State,2,@,(1) Minnesota,5,,,10/24/2014,NC
20142015,(5) Providence,1,@,(3) North Dakota,6,,,10/24/2014,NC
20142015,(16) Alaska,1,@,Western Michigan,0,,,10/24/2014,NC
20142015,US Under-18 Team,2,@,(18) Cornell,3,,,10/24/2014,EX
20142015,Alberta,3,@,Yale,0,,,10/24/2014,EX
20142015,RIT,3,@,Air Force,4,OT,,10/25/2014,AH
20142015,Canisius,4,@,American International,2,,,10/25/2014,AH
20142015,Robert Morris,3,@,Army West Point,3,OT,,10/25/2014,AH
20142015,Massachusetts,1,@,(6) Boston College,4,,,10/25/2014,HE
20142015,Connecticut,1,@,(17) Vermont,2,,,10/25/2014,HE
20142015,(11) Denver,1,@,(19) Minnesota-Duluth,6,,,10/25/2014,NT
20142015,Michigan Tech,2,@,(8) Ferris State,1,,,10/25/2014,WC
20142015,Northern Michigan,3,@,Lake Superior,0,,,10/25/2014,WC
20142015,Alabama-Huntsville,1,@,(13) Minnesota State,4,,,10/25/2014,WC
20142015,(14) Michigan,2,@,(12) Boston University,3,,,10/25/2014,NC
20142015,Bowling Green,5,@,Clarkson,4,,,10/25/2014,NC
20142015,(20) Alaska-Anchorage,3,@,Maine,3,OT,,10/25/2014,NC
20142015,Merrimack,2,@,Mercyhurst,3,,,10/25/2014,NC
20142015,St. Lawrence,1,@,(10) Miami,2,OT,,10/25/2014,NC
20142015,Niagara,0,@,Notre Dame,7,,,10/25/2014,NC
20142015,Bentley,4,@,Rensselaer,0,,,10/25/2014,NC
20142015,(4) Colgate,4,@,Sacred Heart,2,,,10/25/2014,NC
20142015,(9) St. Cloud State,3,@,(2) Union,2,,,10/25/2014,NC
20142015,Michigan State,1,@,(7) Massachusetts-Lowell,2,,,10/25/2014,NC
20142015,Bemidji State,3,@,(1) Minnesota,5,,,10/25/2014,NC
20142015,(5) Providence,2,@,(3) North Dakota,2,OT,,10/25/2014,NC
20142015,Colorado College,2,@,New Hampshire,6,,,10/25/2014,NC
20142015,(16) Alaska,2,@,Western Michigan,4,,,10/25/2014,NC
20142015,Carleton,2,@,(18) Cornell,3,,,10/25/2014,EX
20142015,Alberta,6,@,Dartmouth,1,,,10/25/2014,EX
20142015,Holy Cross,1,@,Penn State,7,,,10/26/2014,NC
20142015,Brown,3,@,Dartmouth,1,,,10/26/2014,EX
20142015,Bentley,2,@,Penn State,3,,,10/30/2014,NC
20142015,American International,3,@,Niagara,1,,,10/31/2014,AH
20142015,RIT,3,@,Robert Morris,6,,,10/31/2014,AH
20142015,Holy Cross,3,@,Sacred Heart,0,,,10/31/2014,AH
20142015,(2) Union,1,@,Rensselaer,6,,,10/31/2014,EC
20142015,Massachusetts,5,@,Maine,6,OT,,10/31/2014,HE
20142015,(13) Vermont,2,@,(20) Notre Dame,3,,,10/31/2014,HE
20142015,(6) Boston University,4,@,(9) Providence,1,,,10/31/2014,HE
20142015,(8) Massachusetts-Lowell,2,@,New Hampshire,0,,,10/31/2014,HE
20142015,(10) Miami,3,@,(19) Minnesota-Duluth,2,,,10/31/2014,NT
20142015,(12) Minnesota State,5,@,Bowling Green,2,,,10/31/2014,WC
20142015,(16) Alaska,1,@,Bemidji State,6,,,10/31/2014,WC
20142015,Lake Superior,2,@,Alaska-Anchorage,3,,,10/31/2014,WC
20142015,Brown,4,@,Army West Point,2,,,10/31/2014,NC
20142015,Ohio State,3,@,Canisius,3,OT,,10/31/2014,NC
20142015,Mercyhurst,0,@,(4) Colgate,4,,,10/31/2014,NC
20142015,Nebraska-Omaha,1,@,(18) Cornell,1,OT,,10/31/2014,NC
20142015,(5) Boston College,2,@,(11) Denver,1,,,10/31/2014,NC
20142015,(14) Ferris State,1,@,Michigan State,0,,,10/31/2014,NC
20142015,(15) Michigan,1,@,(17) Michigan Tech,4,,,10/31/2014,NC
20142015,Alabama-Huntsville,1,@,Northern Michigan,1,OT,,10/31/2014,NC
20142015,Bentley,2,@,Penn State,3,,,10/31/2014,NC
20142015,(1) Minnesota,1,@,(7) St. Cloud State,4,,,10/31/2014,NC
20142015,Clarkson,2,@,St. Lawrence,2,OT,,10/31/2014,NC
20142015,Yale,2,vs.,Princeton,2,OT,Liberty Invitational,10/31/2014,NC
20142015,Merrimack,2,vs.,Connecticut,2,OT,Liberty Invitational,10/31/2014,NC
20142015,Sacred Heart,2,@,Holy Cross,2,OT,,11/1/2014,AH
20142015,American International,4,@,Niagara,2,,,11/1/2014,AH
20142015,RIT,2,@,Robert Morris,4,,,11/1/2014,AH
20142015,Dartmouth,3,@,Harvard,3,OT,,11/1/2014,EC
20142015,Rensselaer,2,@,(2) Union,1,OT,,11/1/2014,EC
20142015,(9) Providence,2,@,(6) Boston University,1,,,11/1/2014,HE
20142015,Massachusetts,2,@,Maine,3,,,11/1/2014,HE
20142015,(13) Vermont,2,@,(20) Notre Dame,2,OT,,11/1/2014,HE
20142015,New Hampshire,2,@,(8) Massachusetts-Lowell,8,,,11/1/2014,HE
20142015,(10) Miami,3,@,(19) Minnesota-Duluth,4,,,11/1/2014,NT
20142015,(12) Minnesota State,1,@,Bowling Green,3,,,11/1/2014,WC
20142015,(16) Alaska,3,@,Bemidji State,4,OT,,11/1/2014,WC
20142015,Lake Superior,3,@,Alaska-Anchorage,2,OT,,11/1/2014,WC
20142015,Ohio State,4,@,Canisius,1,,,11/1/2014,NC
20142015,St. Lawrence,4,@,Clarkson,0,,,11/1/2014,NC
20142015,Mercyhurst,2,@,(4) Colgate,1,,,11/1/2014,NC
20142015,Nebraska-Omaha,2,@,(18) Cornell,1,,,11/1/2014,NC
20142015,(5) Boston College,1,@,(11) Denver,2,OT,,11/1/2014,NC
20142015,(14) Ferris State,1,@,Michigan State,4,,,11/1/2014,NC
20142015,(15) Michigan,2,@,(17) Michigan Tech,6,,,11/1/2014,NC
20142015,Alabama-Huntsville,1,@,Northern Michigan,4,,,11/1/2014,NC
20142015,Northeastern,2,@,Quinnipiac,3,,,11/1/2014,NC
20142015,(7) St. Cloud State,3,@,(1) Minnesota,4,OT,,11/1/2014,NC
20142015,Air Force,2,@,(3) North Dakota,3,OT,,11/1/2014,NC
20142015,Northeastern,3,@,Quinnipiac,4,,,11/2/2014,NC
20142015,Merrimack,6,vs.,Princeton,1,,Liberty Invitational,11/2/2014,NC
20142015,Yale,2,vs.,Connecticut,1,,Liberty Invitational,11/2/2014,NC
20142015,(3) Boston College,0,@,Connecticut,1,,,11/5/2014,HE
20142015,Niagara,0,@,Bentley,6,,,11/7/2014,AH
20142015,Army West Point,0,@,Mercyhurst,2,,,11/7/2014,AH
20142015,Holy Cross,3,@,RIT,3,OT,,11/7/2014,AH
20142015,Canisius,2,@,Sacred Heart,3,,,11/7/2014,AH
20142015,St. Lawrence,5,@,Brown,2,,,11/7/2014,EC
20142015,Cornell,1,@,Princeton,2,,,11/7/2014,EC
20142015,(4) Colgate,0,@,Quinnipiac,5,,,11/7/2014,EC
20142015,Harvard,4,@,Rensselaer,0,,,11/7/2014,EC
20142015,Dartmouth,4,@,(8) Union,3,OT,,11/7/2014,EC
20142015,Clarkson,2,@,Yale,2,OT,,11/7/2014,EC
20142015,(5) Boston University,5,@,(3) Boston College,3,,,11/7/2014,HE
20142015,Merrimack,2,@,(12) Providence,3,,,11/7/2014,HE
20142015,Northeastern,3,@,(6) Massachusetts-Lowell,3,OT,,11/7/2014,HE
20142015,Maine,3,@,(14) Vermont,4,OT,,11/7/2014,HE
20142015,Western Michigan,4,@,(10) Denver,5,,,11/7/2014,NT
20142015,Colorado College,0,@,(11) Miami,3,,,11/7/2014,NT
20142015,(17) Minnesota-Duluth,3,@,(7) St. Cloud State,2,OT,,11/7/2014,NT
20142015,Bemidji State,3,@,(13) Minnesota State,6,,,11/7/2014,WC
20142015,Alaska-Anchorage,0,@,(9) Michigan Tech,2,,,11/7/2014,WC
20142015,(16) Ferris State,1,@,(20) Northern Michigan,0,OT,,11/7/2014,WC
20142015,Bowling Green,3,@,Alaska,2,,,11/7/2014,WC
20142015,Alabama-Huntsville,4,@,Air Force,2,,,11/7/2014,NC
20142015,(19) Nebraska-Omaha,4,@,Ohio State,1,,,11/7/2014,NC
20142015,American International,1,@,Massachusetts,7,,,11/7/2014,NC
20142015,(15) Notre Dame,0,@,(1) Minnesota,5,,,11/7/2014,NC
20142015,Michigan State,4,@,New Hampshire,3,,,11/7/2014,NC
20142015,(2) North Dakota,4,@,Wisconsin,3,,,11/7/2014,NC
20142015,Niagara,3,@,Bentley,2,OT,,11/8/2014,AH
20142015,Army West Point,5,@,Mercyhurst,7,,,11/8/2014,AH
20142015,Holy Cross,2,@,RIT,1,,,11/8/2014,AH
20142015,Canisius,4,@,Sacred Heart,4,OT,,11/8/2014,AH
20142015,Clarkson,2,@,Brown,1,,,11/8/2014,EC
20142015,(4) Colgate,5,@,Princeton,1,,,11/8/2014,EC
20142015,Cornell,0,@,Quinnipiac,1,,,11/8/2014,EC
20142015,Dartmouth,1,@,Rensselaer,2,,,11/8/2014,EC
20142015,Harvard,2,@,(8) Union,2,OT,,11/8/2014,EC
20142015,St. Lawrence,4,@,Yale,0,,,11/8/2014,EC
20142015,Connecticut,4,@,(5) Boston University,4,OT,,11/8/2014,HE
20142015,(12) Providence,0,@,Merrimack,1,,,11/8/2014,HE
20142015,(6) Massachusetts-Lowell,5,@,Northeastern,0,,,11/8/2014,HE
20142015,Maine,1,@,(14) Vermont,4,,,11/8/2014,HE
20142015,Western Michigan,6,@,(10) Denver,3,,,11/8/2014,NT
20142015,Colorado College,1,@,(11) Miami,5,,,11/8/2014,NT
20142015,(17) Minnesota-Duluth,3,@,(7) St. Cloud State,1,,,11/8/2014,NT
20142015,Bemidji State,3,@,(13) Minnesota State,5,,,11/8/2014,WC
20142015,Alaska-Anchorage,1,@,(9) Michigan Tech,3,,,11/8/2014,WC
20142015,(16) Ferris State,0,@,(20) Northern Michigan,2,,,11/8/2014,WC
20142015,Bowling Green,3,@,Alaska,2,,,11/8/2014,WC
20142015,Alabama-Huntsville,3,@,Air Force,3,OT,,11/8/2014,NC
20142015,(19) Nebraska-Omaha,4,@,Ohio State,3,,,11/8/2014,NC
20142015,Michigan State,2,@,New Hampshire,5,,,11/8/2014,NC
20142015,(2) North Dakota,5,@,Wisconsin,1,,,11/8/2014,NC
20142015,(15) Notre Dame,2,@,(1) Minnesota,4,,,11/9/2014,NC
20142015,Harvard,6,@,(8) Boston College,3,,,11/11/2014,NC
20142015,Alaska-Anchorage,2,@,Ferris State,10,,,11/13/2014,WC
20142015,Holy Cross,4,@,Army West Point,5,OT,,11/14/2014,AH
20142015,Mercyhurst,4,@,Bentley,4,OT,,11/14/2014,AH
