"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
"20152016","Nebraska-Omaha",4,"@","Vermont",3,"","",2015-10-16,"NC","Loss","Win","No","No","No","Hockey East","NCHC"
"20152016","Rensselaer",3,"vs.","Alaska-Anchorage",4,"","Alaska Goal Rush",2015-10-16,"NC","Win","Loss","Yes","No","No","WCHA","ECAC"
"20152016","American International",2,"@","Alaska",7,"","Alaska Goal Rush",2015-10-16,"NC","Win","Loss","Yes","No","No","WCHA","Atlantic Hockey"
"20152016","Air Force",3,"@","Robert Morris",3,"OT","",2015-10-17,"AH","Tie","Tie","No","No","No","Atlantic Hockey","Atlantic Hockey"
"20152016","Michigan Tech",2,"@","Ferris State",3,"","",2015-10-17,"WC","Win","Loss","No","No","No","WCHA","WCHA"
"20152016","Northeastern",1,"@","Bentley",4,"","",2015-10-17,"NC","Win","Loss","No","No","No","Atlantic Hockey","Hockey East"
"20152016","Wisconsin",1,"@","Boston University",4,"","",2015-10-17,"NC","Win","Loss","No","No","No","Hockey East","Big Ten"
"20152016","Michigan State",0,"@","Denver",3,"","",2015-10-17,"NC","Win","Loss","No","No","No","NCHC","Big Ten"
"20152016","Northern Michigan",0,"@","Lake Superior",4,"","",2015-10-17,"NC","Win","Loss","No","No","No","WCHA","WCHA"
"20152016","St. Lawrence",1,"@","Merrimack",3,"","",2015-10-17,"NC","Win","Loss","No","No","No","Hockey East","ECAC"
"20152016","Ohio State",1,"@","Miami",3,"","",2015-10-17,"NC","Win","Loss","No","No","No","NCHC","Big Ten"
"20152016","Notre Dame",3,"@","Penn State",5,"","",2015-10-17,"NC","Win","Loss","No","No","No","Big Ten","Hockey East"
"20152016","Bowling Green",2,"@","RIT",2,"OT","",2015-10-17,"NC","Tie","Tie","No","No","No","Atlantic Hockey","WCHA"
"20152016","Minnesota State",0,"@","St. Cloud State",3,"","",2015-10-17,"NC","Win","Loss","No","No","No","NCHC","WCHA"
"20152016","Arizona State",0,"@","Sacred Heart",3,"","",2015-10-17,"NC","Win","Loss","No","No","No","Atlantic Hockey","Independent"
"20152016","Maine",0,"@","Union",2,"","",2015-10-17,"NC","Win","Loss","No","No","No","ECAC","Hockey East"
"20152016","Minnesota",0,"@","Minnesota-Duluth",3,"","",2015-10-17,"NC","Win","Loss","No","No","No","NCHC","Big Ten"
"20152016","Colorado College",1,"@","Massachusetts-Lowell",2,"","",2015-10-17,"NC","Win","Loss","No","No","No","Hockey East","NCHC"
"20152016","Bemidji State",2,"@","North Dakota",5,"","",2015-10-17,"NC","Win","Loss","No","No","No","NCHC","WCHA"
"20152016","Clarkson",4,"@","New Hampshire",3,"","",2015-10-17,"NC","Loss","Win","No","No","No","Hockey East","ECAC"
