"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
861,"20162017","Niagara",4,"Atlantic Hockey","Away","Loss","Army",5,"Atlantic Hockey"
862,"20162017","RIT",2,"Atlantic Hockey","Home","Win","Holy Cross",1,"Atlantic Hockey"
862,"20162017","Holy Cross",1,"Atlantic Hockey","Away","Loss","RIT",2,"Atlantic Hockey"
863,"20162017","Robert Morris",1,"Atlantic Hockey","Home","Tie","Bentley",1,"Atlantic Hockey"
863,"20162017","Bentley",1,"Atlantic Hockey","Away","Tie","Robert Morris",1,"Atlantic Hockey"
864,"20162017","Sacred Heart",5,"Atlantic Hockey","Home","Loss","Canisius",6,"Atlantic Hockey"
864,"20162017","Canisius",6,"Atlantic Hockey","Away","Win","Sacred Heart",5,"Atlantic Hockey"
865,"20162017","Ohio State",5,"Big Ten","Home","Loss","Minnesota",6,"Big Ten"
865,"20162017","Minnesota",6,"Big Ten","Away","Win","Ohio State",5,"Big Ten"
866,"20162017","Michigan",1,"Big Ten","Home","Loss","Michigan State",4,"Big Ten"
866,"20162017","Michigan State",4,"Big Ten","Away","Win","Michigan",1,"Big Ten"
867,"20162017","Wisconsin",2,"Big Ten","Home","Loss","Penn State",5,"Big Ten"
867,"20162017","Penn State",5,"Big Ten","Away","Win","Wisconsin",2,"Big Ten"
868,"20162017","Colgate",2,"ECAC","Home","Win","Brown",1,"ECAC"
868,"20162017","Brown",1,"ECAC","Away","Loss","Colgate",2,"ECAC"
869,"20162017","Cornell",2,"ECAC","Home","Tie","Yale",2,"ECAC"
869,"20162017","Yale",2,"ECAC","Away","Tie","Cornell",2,"ECAC"
870,"20162017","Dartmouth",3,"ECAC","Home","Loss","Union",8,"ECAC"
870,"20162017","Union",8,"ECAC","Away","Win","Dartmouth",3,"ECAC"
871,"20162017","Princeton",3,"ECAC","Home","Win","Clarkson",2,"ECAC"
871,"20162017","Clarkson",2,"ECAC","Away","Loss","Princeton",3,"ECAC"
872,"20162017","Maine",2,"Hockey East","Home","Loss","Notre Dame",4,"Hockey East"
872,"20162017","Notre Dame",4,"Hockey East","Away","Win","Maine",2,"Hockey East"
873,"20162017","Massachusetts-Lowell",4,"Hockey East","Home","Win","Massachusetts",2,"Hockey East"
873,"20162017","Massachusetts",2,"Hockey East","Away","Loss","Massachusetts-Lowell",4,"Hockey East"
874,"20162017","Vermont",5,"Hockey East","Home","Win","New Hampshire",3,"Hockey East"
874,"20162017","New Hampshire",3,"Hockey East","Away","Loss","Vermont",5,"Hockey East"
875,"20162017","Colorado College",1,"NCHC","Home","Loss","Denver",5,"NCHC"
875,"20162017","Denver",5,"NCHC","Away","Win","Colorado College",1,"NCHC"
876,"20162017","St. Cloud State",3,"NCHC","Home","Win","Miami",1,"NCHC"
