"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
284,"20162017","Union",1,"ECAC","Home","Loss","Clarkson",3,"ECAC"
284,"20162017","Clarkson",3,"ECAC","Away","Win","Union",1,"ECAC"
285,"20162017","Yale",3,"ECAC","Home","Loss","Cornell",6,"ECAC"
285,"20162017","Cornell",6,"ECAC","Away","Win","Yale",3,"ECAC"
286,"20162017","Northeastern",2,"Hockey East","Home","Loss","Notre Dame",5,"Hockey East"
286,"20162017","Notre Dame",5,"Hockey East","Away","Win","Northeastern",2,"Hockey East"
287,"20162017","Massachusetts",1,"Hockey East","Home","Loss","Vermont",2,"Hockey East"
287,"20162017","Vermont",2,"Hockey East","Away","Win","Massachusetts",1,"Hockey East"
288,"20162017","Colorado College",1,"NCHC","Home","Loss","St. Cloud State",4,"NCHC"
288,"20162017","St. Cloud State",4,"NCHC","Away","Win","Colorado College",1,"NCHC"
289,"20162017","Miami",2,"NCHC","Home","Loss","Nebraska-Omaha",6,"NCHC"
289,"20162017","Nebraska-Omaha",6,"NCHC","Away","Win","Miami",2,"NCHC"
290,"20162017","Minnesota-Duluth",2,"NCHC","Home","Win","Western Michigan",0,"NCHC"
290,"20162017","Western Michigan",0,"NCHC","Away","Loss","Minnesota-Duluth",2,"NCHC"
291,"20162017","North Dakota",2,"NCHC","Home","Loss","Denver",3,"NCHC"
291,"20162017","Denver",3,"NCHC","Away","Win","North Dakota",2,"NCHC"
292,"20162017","Minnesota State",1,"WCHA","Home","Loss","Bemidji State",2,"WCHA"
292,"20162017","Bemidji State",2,"WCHA","Away","Win","Minnesota State",1,"WCHA"
293,"20162017","Michigan Tech",4,"WCHA","Home","Win","Lake Superior",2,"WCHA"
293,"20162017","Lake Superior",2,"WCHA","Away","Loss","Michigan Tech",4,"WCHA"
294,"20162017","Northern Michigan",3,"WCHA","Home","Loss","Bowling Green",5,"WCHA"
294,"20162017","Bowling Green",5,"WCHA","Away","Win","Northern Michigan",3,"WCHA"
295,"20162017","Alabama-Huntsville",1,"WCHA","Home","Loss","Alaska",3,"WCHA"
295,"20162017","Alaska",3,"WCHA","Away","Win","Alabama-Huntsville",1,"WCHA"
296,"20162017","Ferris State",3,"WCHA","Home","Loss","Michigan State",4,"Big Ten"
296,"20162017","Michigan State",4,"Big Ten","Away","Win","Ferris State",3,"WCHA"
297,"20162017","Ohio State",3,"Big Ten","Home","Tie","Connecticut",3,"Hockey East"
297,"20162017","Connecticut",3,"Hockey East","Away","Tie","Ohio State",3,"Big Ten"
298,"20162017","Penn State",3,"Big Ten","Home","Win","Alaska-Anchorage",1,"WCHA"
298,"20162017","Alaska-Anchorage",1,"WCHA","Away","Loss","Penn State",3,"Big Ten"
299,"20162017","Michigan",2,"Big Ten","Home","Loss","Boston University",4,"Hockey East"
299,"20162017","Boston University",4,"Hockey East","Away","Win","Michigan",2,"Big Ten"
300,"20162017","New Hampshire",4,"Hockey East","Home","Loss","Arizona State",5,"Independent"
300,"20162017","Arizona State",5,"Independent","Away","Win","New Hampshire",4,"Hockey East"
301,"20162017","Sacred Heart",1,"Atlantic Hockey","Home","Loss","Robert Morris",4,"Atlantic Hockey"
301,"20162017","Robert Morris",4,"Atlantic Hockey","Away","Win","Sacred Heart",1,"Atlantic Hockey"
302,"20162017","Northeastern",0,"Hockey East","Home","Tie","Notre Dame",0,"Hockey East"
302,"20162017","Notre Dame",0,"Hockey East","Away","Tie","Northeastern",0,"Hockey East"
303,"20162017","Massachusetts-Lowell",4,"Hockey East","Home","Win","Maine",1,"Hockey East"
303,"20162017","Maine",1,"Hockey East","Away","Loss","Massachusetts-Lowell",4,"Hockey East"
304,"20162017","New Hampshire",3,"Hockey East","Home","Tie","Merrimack",3,"Hockey East"
304,"20162017","Merrimack",3,"Hockey East","Away","Tie","New Hampshire",3,"Hockey East"
305,"20162017","Boston College",3,"Hockey East","Home","Win","Arizona State",1,"Independent"
305,"20162017","Arizona State",1,"Independent","Away","Loss","Boston College",3,"Hockey East"
306,"20162017","Niagara",5,"Atlantic Hockey","Home","Win","Mercyhurst",4,"Atlantic Hockey"
306,"20162017","Mercyhurst",4,"Atlantic Hockey","Away","Loss","Niagara",5,"Atlantic Hockey"
307,"20162017","Vermont",5,"Hockey East","Home","Win","Dartmouth",2,"ECAC"
307,"20162017","Dartmouth",2,"ECAC","Away","Loss","Vermont",5,"Hockey East"
308,"20162017","Notre Dame",1,"Hockey East","Home","Loss","Massachusetts-Lowell",4,"Hockey East"
308,"20162017","Massachusetts-Lowell",4,"Hockey East","Away","Win","Notre Dame",1,"Hockey East"
309,"20162017","Bentley",1,"Atlantic Hockey","Home","Loss","Mercyhurst",2,"Atlantic Hockey"
309,"20162017","Mercyhurst",2,"Atlantic Hockey","Away","Win","Bentley",1,"Atlantic Hockey"
310,"20162017","Canisius",4,"Atlantic Hockey","Home","Win","American International",0,"Atlantic Hockey"
310,"20162017","American International",0,"Atlantic Hockey","Away","Loss","Canisius",4,"Atlantic Hockey"
311,"20162017","RIT",6,"Atlantic Hockey","Home","Win","Army",2,"Atlantic Hockey"
311,"20162017","Army",2,"Atlantic Hockey","Away","Loss","RIT",6,"Atlantic Hockey"
312,"20162017","Sacred Heart",4,"Atlantic Hockey","Home","Win","Niagara",3,"Atlantic Hockey"
312,"20162017","Niagara",3,"Atlantic Hockey","Away","Loss","Sacred Heart",4,"Atlantic Hockey"
313,"20162017","Clarkson",3,"ECAC","Home","Win","Brown",2,"ECAC"
313,"20162017","Brown",2,"ECAC","Away","Loss","Clarkson",3,"ECAC"
314,"20162017","Colgate",4,"ECAC","Home","Win","Princeton",3,"ECAC"
314,"20162017","Princeton",3,"ECAC","Away","Loss","Colgate",4,"ECAC"
315,"20162017","Cornell",1,"ECAC","Home","Loss","Quinnipiac",3,"ECAC"
315,"20162017","Quinnipiac",3,"ECAC","Away","Win","Cornell",1,"ECAC"
316,"20162017","St. Lawrence",5,"ECAC","Home","Win","Yale",2,"ECAC"
316,"20162017","Yale",2,"ECAC","Away","Loss","St. Lawrence",5,"ECAC"
317,"20162017","Notre Dame",4,"Hockey East","Home","Win","Massachusetts-Lowell",1,"Hockey East"
317,"20162017","Massachusetts-Lowell",1,"Hockey East","Away","Loss","Notre Dame",4,"Hockey East"
318,"20162017","Northeastern",5,"Hockey East","Home","Win","Providence",4,"Hockey East"
318,"20162017","Providence",4,"Hockey East","Away","Loss","Northeastern",5,"Hockey East"
319,"20162017","Connecticut",1,"Hockey East","Home","Loss","Boston University",2,"Hockey East"
319,"20162017","Boston University",2,"Hockey East","Away","Win","Connecticut",1,"Hockey East"
320,"20162017","New Hampshire",6,"Hockey East","Home","Win","Massachusetts",2,"Hockey East"
320,"20162017","Massachusetts",2,"Hockey East","Away","Loss","New Hampshire",6,"Hockey East"
321,"20162017","Vermont",6,"Hockey East","Home","Win","Maine",2,"Hockey East"
321,"20162017","Maine",2,"Hockey East","Away","Loss","Vermont",6,"Hockey East"
322,"20162017","Denver",1,"NCHC","Home","Tie","Miami",1,"NCHC"
322,"20162017","Miami",1,"NCHC","Away","Tie","Denver",1,"NCHC"
323,"20162017","St. Cloud State",0,"NCHC","Home","Loss","North Dakota",4,"NCHC"
323,"20162017","North Dakota",4,"NCHC","Away","Win","St. Cloud State",0,"NCHC"
324,"20162017","Nebraska-Omaha",4,"NCHC","Home","Loss","Minnesota-Duluth",6,"NCHC"
324,"20162017","Minnesota-Duluth",6,"NCHC","Away","Win","Nebraska-Omaha",4,"NCHC"
325,"20162017","Bemidji State",2,"WCHA","Home","Win","Northern Michigan",1,"WCHA"
325,"20162017","Northern Michigan",1,"WCHA","Away","Loss","Bemidji State",2,"WCHA"
326,"20162017","Ferris State",3,"WCHA","Home","Win","Lake Superior",0,"WCHA"
326,"20162017","Lake Superior",0,"WCHA","Away","Loss","Ferris State",3,"WCHA"
327,"20162017","Alaska-Anchorage",2,"WCHA","Home","Loss","Michigan Tech",3,"WCHA"
327,"20162017","Michigan Tech",3,"WCHA","Away","Win","Alaska-Anchorage",2,"WCHA"
328,"20162017","Alabama-Huntsville",1,"WCHA","Home","Loss","Bowling Green",4,"WCHA"
328,"20162017","Bowling Green",4,"WCHA","Away","Win","Alabama-Huntsville",1,"WCHA"
329,"20162017","Harvard",5,"ECAC","Home","Win","Boston College",2,"Hockey East"
329,"20162017","Boston College",2,"Hockey East","Away","Loss","Harvard",5,"ECAC"
330,"20162017","Minnesota State",4,"WCHA","Home","Win","Minnesota",1,"Big Ten"
330,"20162017","Minnesota",1,"Big Ten","Away","Loss","Minnesota State",4,"WCHA"
331,"20162017","Penn State",7,"Big Ten","Home","Win","Arizona State",4,"Independent"
331,"20162017","Arizona State",4,"Independent","Away","Loss","Penn State",7,"Big Ten"
332,"20162017","Rensselaer",0,"ECAC","Home","Loss","Ohio State",4,"Big Ten"
332,"20162017","Ohio State",4,"Big Ten","Away","Win","Rensselaer",0,"ECAC"
333,"20162017","Wisconsin",3,"Big Ten","Home","Win","Merrimack",2,"Hockey East"
333,"20162017","Merrimack",2,"Hockey East","Away","Loss","Wisconsin",3,"Big Ten"
334,"20162017","Western Michigan",5,"NCHC","Home","Tie","Air Force",5,"Atlantic Hockey"
334,"20162017","Air Force",5,"Atlantic Hockey","Away","Tie","Western Michigan",5,"NCHC"
335,"20162017","Bentley",2,"Atlantic Hockey","Home","Win","Mercyhurst",1,"Atlantic Hockey"
335,"20162017","Mercyhurst",1,"Atlantic Hockey","Away","Loss","Bentley",2,"Atlantic Hockey"
336,"20162017","Canisius",1,"Atlantic Hockey","Home","Tie","American International",1,"Atlantic Hockey"
336,"20162017","American International",1,"Atlantic Hockey","Away","Tie","Canisius",1,"Atlantic Hockey"
337,"20162017","RIT",2,"Atlantic Hockey","Home","Win","Army",1,"Atlantic Hockey"
337,"20162017","Army",1,"Atlantic Hockey","Away","Loss","RIT",2,"Atlantic Hockey"
338,"20162017","Sacred Heart",0,"Atlantic Hockey","Home","Loss","Niagara",4,"Atlantic Hockey"
338,"20162017","Niagara",4,"Atlantic Hockey","Away","Win","Sacred Heart",0,"Atlantic Hockey"
339,"20162017","Clarkson",3,"ECAC","Home","Tie","Yale",3,"ECAC"
339,"20162017","Yale",3,"ECAC","Away","Tie","Clarkson",3,"ECAC"
340,"20162017","Colgate",3,"ECAC","Home","Loss","Quinnipiac",7,"ECAC"
340,"20162017","Quinnipiac",7,"ECAC","Away","Win","Colgate",3,"ECAC"
341,"20162017","Cornell",4,"ECAC","Home","Win","Princeton",2,"ECAC"
341,"20162017","Princeton",2,"ECAC","Away","Loss","Cornell",4,"ECAC"
342,"20162017","St. Lawrence",7,"ECAC","Home","Win","Brown",2,"ECAC"
342,"20162017","Brown",2,"ECAC","Away","Loss","St. Lawrence",7,"ECAC"
343,"20162017","Boston University",0,"Hockey East","Home","Loss","Connecticut",4,"Hockey East"
343,"20162017","Connecticut",4,"Hockey East","Away","Win","Boston University",0,"Hockey East"
344,"20162017","Providence",5,"Hockey East","Home","Win","Northeastern",4,"Hockey East"
344,"20162017","Northeastern",4,"Hockey East","Away","Loss","Providence",5,"Hockey East"
345,"20162017","Vermont",2,"Hockey East","Home","Tie","Maine",2,"Hockey East"
345,"20162017","Maine",2,"Hockey East","Away","Tie","Vermont",2,"Hockey East"
346,"20162017","Denver",2,"NCHC","Home","Tie","Miami",2,"NCHC"
346,"20162017","Miami",2,"NCHC","Away","Tie","Denver",2,"NCHC"
347,"20162017","St. Cloud State",0,"NCHC","Home","Loss","North Dakota",3,"NCHC"
347,"20162017","North Dakota",3,"NCHC","Away","Win","St. Cloud State",0,"NCHC"
348,"20162017","Nebraska-Omaha",2,"NCHC","Home","Loss","Minnesota-Duluth",3,"NCHC"
348,"20162017","Minnesota-Duluth",3,"NCHC","Away","Win","Nebraska-Omaha",2,"NCHC"
349,"20162017","Bemidji State",5,"WCHA","Home","Win","Northern Michigan",2,"WCHA"
349,"20162017","Northern Michigan",2,"WCHA","Away","Loss","Bemidji State",5,"WCHA"
350,"20162017","Ferris State",7,"WCHA","Home","Win","Lake Superior",5,"WCHA"
350,"20162017","Lake Superior",5,"WCHA","Away","Loss","Ferris State",7,"WCHA"
351,"20162017","Alaska-Anchorage",1,"WCHA","Home","Tie","Michigan Tech",1,"WCHA"
351,"20162017","Michigan Tech",1,"WCHA","Away","Tie","Alaska-Anchorage",1,"WCHA"
352,"20162017","Alabama-Huntsville",3,"WCHA","Home","Loss","Bowling Green",8,"WCHA"
352,"20162017","Bowling Green",8,"WCHA","Away","Win","Alabama-Huntsville",3,"WCHA"
353,"20162017","Penn State",8,"Big Ten","Home","Win","Arizona State",0,"Independent"
353,"20162017","Arizona State",0,"Independent","Away","Loss","Penn State",8,"Big Ten"
354,"20162017","Rensselaer",2,"ECAC","Home","Loss","Ohio State",3,"Big Ten"
354,"20162017","Ohio State",3,"Big Ten","Away","Win","Rensselaer",2,"ECAC"
355,"20162017","Minnesota",1,"Big Ten","Home","Win","Minnesota State",0,"WCHA"
355,"20162017","Minnesota State",0,"WCHA","Away","Loss","Minnesota",1,"Big Ten"
356,"20162017","Wisconsin",0,"Big Ten","Home","Loss","Merrimack",2,"Hockey East"
356,"20162017","Merrimack",2,"Hockey East","Away","Win","Wisconsin",0,"Big Ten"
357,"20162017","Western Michigan",4,"NCHC","Home","Win","Air Force",1,"Atlantic Hockey"
357,"20162017","Air Force",1,"Atlantic Hockey","Away","Loss","Western Michigan",4,"NCHC"
358,"20162017","American International",3,"Atlantic Hockey","Home","Loss","Sacred Heart",7,"Atlantic Hockey"
358,"20162017","Sacred Heart",7,"Atlantic Hockey","Away","Win","American International",3,"Atlantic Hockey"
359,"20162017","Connecticut",2,"Hockey East","Home","Loss","Boston College",5,"Hockey East"
359,"20162017","Boston College",5,"Hockey East","Away","Win","Connecticut",2,"Hockey East"
360,"20162017","Boston University",5,"Hockey East","Home","Win","Harvard",3,"ECAC"
360,"20162017","Harvard",3,"ECAC","Away","Loss","Boston University",5,"Hockey East"
361,"20162017","New Hampshire",5,"Hockey East","Home","Win","Rensselaer",0,"ECAC"
361,"20162017","Rensselaer",0,"ECAC","Away","Loss","New Hampshire",5,"Hockey East"
362,"20162017","Mercyhurst",3,"Atlantic Hockey","Home","Loss","RIT",4,"Atlantic Hockey"
362,"20162017","RIT",4,"Atlantic Hockey","Away","Win","Mercyhurst",3,"Atlantic Hockey"
363,"20162017","American International",0,"Atlantic Hockey","Home","Tie","Niagara",0,"Atlantic Hockey"
363,"20162017","Niagara",0,"Atlantic Hockey","Away","Tie","American International",0,"Atlantic Hockey"
364,"20162017","Canisius",1,"Atlantic Hockey","Home","Loss","Mercyhurst",5,"Atlantic Hockey"
364,"20162017","Mercyhurst",5,"Atlantic Hockey","Away","Win","Canisius",1,"Atlantic Hockey"
365,"20162017","Quinnipiac",0,"ECAC","Neutral","Tie","St. Lawrence",0,"ECAC"
365,"20162017","St. Lawrence",0,"ECAC","Neutral","Tie","Quinnipiac",0,"ECAC"
366,"20162017","Merrimack",5,"Hockey East","Home","Win","Providence",2,"Hockey East"
366,"20162017","Providence",2,"Hockey East","Away","Loss","Merrimack",5,"Hockey East"
367,"20162017","Vermont",4,"Hockey East","Neutral","Win","Massachusetts",2,"Hockey East"
367,"20162017","Massachusetts",2,"Hockey East","Neutral","Loss","Vermont",4,"Hockey East"
368,"20162017","Bowling Green",3,"WCHA","Home","Tie","Alaska-Anchorage",3,"WCHA"
368,"20162017","Alaska-Anchorage",3,"WCHA","Away","Tie","Bowling Green",3,"WCHA"
369,"20162017","Alaska",1,"WCHA","Home","Loss","Michigan Tech",4,"WCHA"
369,"20162017","Michigan Tech",4,"WCHA","Away","Win","Alaska",1,"WCHA"
370,"20162017","Air Force",3,"Atlantic Hockey","Home","Loss","Denver",4,"NCHC"
370,"20162017","Denver",4,"NCHC","Away","Win","Air Force",3,"Atlantic Hockey"
371,"20162017","Arizona State",5,"Independent","Home","Win","Rensselaer",3,"ECAC"
371,"20162017","Rensselaer",3,"ECAC","Away","Loss","Arizona State",5,"Independent"
372,"20162017","Bemidji State",1,"WCHA","Home","Loss","Princeton",4,"ECAC"
372,"20162017","Princeton",4,"ECAC","Away","Win","Bemidji State",1,"WCHA"
373,"20162017","Colorado College",1,"NCHC","Home","Loss","Wisconsin",2,"Big Ten"
373,"20162017","Wisconsin",2,"Big Ten","Away","Win","Colorado College",1,"NCHC"
374,"20162017","Northern Michigan",2,"WCHA","Home","Tie","Nebraska-Omaha",2,"NCHC"
374,"20162017","Nebraska-Omaha",2,"NCHC","Away","Tie","Northern Michigan",2,"WCHA"
375,"20162017","Northeastern",6,"Hockey East","Home","Win","Minnesota",4,"Big Ten"
375,"20162017","Minnesota",4,"Big Ten","Away","Loss","Northeastern",6,"Hockey East"
376,"20162017","Michigan",1,"Big Ten","Home","Loss","Lake Superior",3,"WCHA"
376,"20162017","Lake Superior",3,"WCHA","Away","Win","Michigan",1,"Big Ten"
377,"20162017","North Dakota",3,"NCHC","Home","Loss","Michigan State",4,"Big Ten"
377,"20162017","Michigan State",4,"Big Ten","Away","Win","North Dakota",3,"NCHC"
378,"20162017","Clarkson",2,"ECAC","Neutral","Tie","Yale",2,"ECAC"
378,"20162017","Yale",2,"ECAC","Neutral","Tie","Clarkson",2,"ECAC"
379,"20162017","Notre Dame",5,"Hockey East","Home","Win","Holy Cross",3,"Atlantic Hockey"
379,"20162017","Holy Cross",3,"Atlantic Hockey","Away","Loss","Notre Dame",5,"Hockey East"
380,"20162017","American International",3,"Atlantic Hockey","Home","Win","Niagara",1,"Atlantic Hockey"
380,"20162017","Niagara",1,"Atlantic Hockey","Away","Loss","American International",3,"Atlantic Hockey"
381,"20162017","Bowling Green",3,"WCHA","Home","Win","Alaska-Anchorage",0,"WCHA"
381,"20162017","Alaska-Anchorage",0,"WCHA","Away","Loss","Bowling Green",3,"WCHA"
382,"20162017","Alaska",1,"WCHA","Home","Loss","Michigan Tech",2,"WCHA"
382,"20162017","Michigan Tech",2,"WCHA","Away","Win","Alaska",1,"WCHA"
383,"20162017","Arizona State",0,"Independent","Home","Loss","Rensselaer",2,"ECAC"
383,"20162017","Rensselaer",2,"ECAC","Away","Win","Arizona State",0,"Independent"
384,"20162017","Bemidji State",1,"WCHA","Home","Loss","Princeton",3,"ECAC"
384,"20162017","Princeton",3,"ECAC","Away","Win","Bemidji State",1,"WCHA"
385,"20162017","Colorado College",3,"NCHC","Home","Loss","Air Force",6,"Atlantic Hockey"
385,"20162017","Air Force",6,"Atlantic Hockey","Away","Win","Colorado College",3,"NCHC"
386,"20162017","Cornell",3,"ECAC","Neutral","Win","New Hampshire",1,"Hockey East"
386,"20162017","New Hampshire",1,"Hockey East","Neutral","Loss","Cornell",3,"ECAC"
387,"20162017","Denver",6,"NCHC","Home","Win","Wisconsin",5,"Big Ten"
387,"20162017","Wisconsin",5,"Big Ten","Away","Loss","Denver",6,"NCHC"
388,"20162017","Harvard",5,"ECAC","Home","Win","Bentley",2,"Atlantic Hockey"
388,"20162017","Bentley",2,"Atlantic Hockey","Away","Loss","Harvard",5,"ECAC"
389,"20162017","Maine",5,"Hockey East","Home","Win","Brown",1,"ECAC"
389,"20162017","Brown",1,"ECAC","Away","Loss","Maine",5,"Hockey East"
390,"20162017","Northern Michigan",0,"WCHA","Home","Loss","Nebraska-Omaha",2,"NCHC"
390,"20162017","Nebraska-Omaha",2,"NCHC","Away","Win","Northern Michigan",0,"WCHA"
391,"20162017","Providence",3,"Hockey East","Home","Win","Colgate",2,"ECAC"
391,"20162017","Colgate",2,"ECAC","Away","Loss","Providence",3,"Hockey East"
392,"20162017","Quinnipiac",1,"ECAC","Neutral","Loss","Vermont",5,"Hockey East"
392,"20162017","Vermont",5,"Hockey East","Neutral","Win","Quinnipiac",1,"ECAC"
393,"20162017","Robert Morris",3,"Atlantic Hockey","Home","Win","Dartmouth",0,"ECAC"
393,"20162017","Dartmouth",0,"ECAC","Away","Loss","Robert Morris",3,"Atlantic Hockey"
394,"20162017","St. Lawrence",2,"ECAC","Neutral","Tie","Massachusetts",2,"Hockey East"
394,"20162017","Massachusetts",2,"Hockey East","Neutral","Tie","St. Lawrence",2,"ECAC"
395,"20162017","Connecticut",2,"Hockey East","Home","Loss","Sacred Heart",4,"Atlantic Hockey"
395,"20162017","Sacred Heart",4,"Atlantic Hockey","Away","Win","Connecticut",2,"Hockey East"
396,"20162017","Michigan",4,"Big Ten","Home","Win","Lake Superior",1,"WCHA"
396,"20162017","Lake Superior",1,"WCHA","Away","Loss","Michigan",4,"Big Ten"
397,"20162017","North Dakota",2,"NCHC","Home","Tie","Michigan State",2,"Big Ten"
397,"20162017","Michigan State",2,"Big Ten","Away","Tie","North Dakota",2,"NCHC"
398,"20162017","Notre Dame",0,"Hockey East","Home","Loss","Clarkson",2,"ECAC"
398,"20162017","Clarkson",2,"ECAC","Away","Win","Notre Dame",0,"Hockey East"
399,"20162017","Yale",3,"ECAC","Neutral","Win","Holy Cross",1,"Atlantic Hockey"
399,"20162017","Holy Cross",1,"Atlantic Hockey","Neutral","Loss","Yale",3,"ECAC"
400,"20162017","Boston College",2,"Hockey East","Home","Loss","Minnesota",4,"Big Ten"
400,"20162017","Minnesota",4,"Big Ten","Away","Win","Boston College",2,"Hockey East"
401,"20162017","Robert Morris",2,"Atlantic Hockey","Home","Loss","Dartmouth",5,"ECAC"
401,"20162017","Dartmouth",5,"ECAC","Away","Win","Robert Morris",2,"Atlantic Hockey"
402,"20162017","Colgate",2,"ECAC","Home","Loss","Cornell",3,"ECAC"
402,"20162017","Cornell",3,"ECAC","Away","Win","Colgate",2,"ECAC"
403,"20162017","Northeastern",1,"Hockey East","Home","Loss","Boston College",2,"Hockey East"
403,"20162017","Boston College",2,"Hockey East","Away","Win","Northeastern",1,"Hockey East"
404,"20162017","Penn State",6,"Big Ten","Home","Win","Michigan",1,"Big Ten"
404,"20162017","Michigan",1,"Big Ten","Away","Loss","Penn State",6,"Big Ten"
405,"20162017","Army",1,"Atlantic Hockey","Home","Win","American International",0,"Atlantic Hockey"
405,"20162017","American International",0,"Atlantic Hockey","Away","Loss","Army",1,"Atlantic Hockey"
406,"20162017","Canisius",4,"Atlantic Hockey","Home","Win","Bentley",3,"Atlantic Hockey"
406,"20162017","Bentley",3,"Atlantic Hockey","Away","Loss","Canisius",4,"Atlantic Hockey"
407,"20162017","Holy Cross",2,"Atlantic Hockey","Home","Tie","Air Force",2,"Atlantic Hockey"
407,"20162017","Air Force",2,"Atlantic Hockey","Away","Tie","Holy Cross",2,"Atlantic Hockey"
408,"20162017","Niagara",1,"Atlantic Hockey","Home","Loss","RIT",7,"Atlantic Hockey"
408,"20162017","RIT",7,"Atlantic Hockey","Away","Win","Niagara",1,"Atlantic Hockey"
409,"20162017","Robert Morris",4,"Atlantic Hockey","Home","Win","Sacred Heart",2,"Atlantic Hockey"
409,"20162017","Sacred Heart",2,"Atlantic Hockey","Away","Loss","Robert Morris",4,"Atlantic Hockey"
410,"20162017","Penn State",5,"Big Ten","Home","Win","Michigan",1,"Big Ten"
410,"20162017","Michigan",1,"Big Ten","Away","Loss","Penn State",5,"Big Ten"
411,"20162017","Minnesota",5,"Big Ten","Home","Win","Ohio State",3,"Big Ten"
411,"20162017","Ohio State",3,"Big Ten","Away","Loss","Minnesota",5,"Big Ten"
412,"20162017","Clarkson",4,"ECAC","Home","Win","Dartmouth",2,"ECAC"
412,"20162017","Dartmouth",2,"ECAC","Away","Loss","Clarkson",4,"ECAC"
413,"20162017","Princeton",3,"ECAC","Home","Loss","Union",7,"ECAC"
413,"20162017","Union",7,"ECAC","Away","Win","Princeton",3,"ECAC"
414,"20162017","Quinnipiac",4,"ECAC","Home","Win","Rensselaer",1,"ECAC"
414,"20162017","Rensselaer",1,"ECAC","Away","Loss","Quinnipiac",4,"ECAC"
415,"20162017","St. Lawrence",2,"ECAC","Home","Loss","Harvard",4,"ECAC"
415,"20162017","Harvard",4,"ECAC","Away","Win","St. Lawrence",2,"ECAC"
416,"20162017","Providence",1,"Hockey East","Home","Loss","Boston University",2,"Hockey East"
416,"20162017","Boston University",2,"Hockey East","Away","Win","Providence",1,"Hockey East"
417,"20162017","Massachusetts",5,"Hockey East","Home","Win","Notre Dame",4,"Hockey East"
417,"20162017","Notre Dame",4,"Hockey East","Away","Loss","Massachusetts",5,"Hockey East"
418,"20162017","Massachusetts-Lowell",2,"Hockey East","Home","Loss","Connecticut",3,"Hockey East"
418,"20162017","Connecticut",3,"Hockey East","Away","Win","Massachusetts-Lowell",2,"Hockey East"
419,"20162017","New Hampshire",5,"Hockey East","Home","Win","Maine",1,"Hockey East"
419,"20162017","Maine",1,"Hockey East","Away","Loss","New Hampshire",5,"Hockey East"
420,"20162017","Colorado College",1,"NCHC","Home","Loss","Denver",3,"NCHC"
420,"20162017","Denver",3,"NCHC","Away","Win","Colorado College",1,"NCHC"
421,"20162017","Western Michigan",0,"NCHC","Home","Loss","St. Cloud State",3,"NCHC"
421,"20162017","St. Cloud State",3,"NCHC","Away","Win","Western Michigan",0,"NCHC"
422,"20162017","Lake Superior",4,"WCHA","Home","Win","Bowling Green",2,"WCHA"
422,"20162017","Bowling Green",2,"WCHA","Away","Loss","Lake Superior",4,"WCHA"
423,"20162017","Minnesota State",7,"WCHA","Home","Win","Alaska",3,"WCHA"
423,"20162017","Alaska",3,"WCHA","Away","Loss","Minnesota State",7,"WCHA"
424,"20162017","Michigan Tech",1,"WCHA","Home","Loss","Bemidji State",3,"WCHA"
424,"20162017","Bemidji State",3,"WCHA","Away","Win","Michigan Tech",1,"WCHA"
425,"20162017","Alaska-Anchorage",5,"WCHA","Home","Win","Northern Michigan",3,"WCHA"
425,"20162017","Northern Michigan",3,"WCHA","Away","Loss","Alaska-Anchorage",5,"WCHA"
426,"20162017","Arizona State",5,"Independent","Home","Win","Colgate",4,"ECAC"
426,"20162017","Colgate",4,"ECAC","Away","Loss","Arizona State",5,"Independent"
427,"20162017","Cornell",4,"ECAC","Home","Win","Miami",3,"NCHC"
427,"20162017","Miami",3,"NCHC","Away","Loss","Cornell",4,"ECAC"
428,"20162017","Wisconsin",3,"Big Ten","Home","Tie","Nebraska-Omaha",3,"NCHC"
428,"20162017","Nebraska-Omaha",3,"NCHC","Away","Tie","Wisconsin",3,"Big Ten"
429,"20162017","Canisius",3,"Atlantic Hockey","Home","Tie","Bentley",3,"Atlantic Hockey"
429,"20162017","Bentley",3,"Atlantic Hockey","Away","Tie","Canisius",3,"Atlantic Hockey"
430,"20162017","Holy Cross",3,"Atlantic Hockey","Home","Win","Air Force",2,"Atlantic Hockey"
430,"20162017","Air Force",2,"Atlantic Hockey","Away","Loss","Holy Cross",3,"Atlantic Hockey"
431,"20162017","Niagara",2,"Atlantic Hockey","Home","Loss","RIT",6,"Atlantic Hockey"
431,"20162017","RIT",6,"Atlantic Hockey","Away","Win","Niagara",2,"Atlantic Hockey"
432,"20162017","Robert Morris",2,"Atlantic Hockey","Home","Win","Sacred Heart",1,"Atlantic Hockey"
432,"20162017","Sacred Heart",1,"Atlantic Hockey","Away","Loss","Robert Morris",2,"Atlantic Hockey"
433,"20162017","Minnesota",3,"Big Ten","Home","Loss","Ohio State",8,"Big Ten"
433,"20162017","Ohio State",8,"Big Ten","Away","Win","Minnesota",3,"Big Ten"
434,"20162017","Clarkson",3,"ECAC","Home","Loss","Harvard",7,"ECAC"
434,"20162017","Harvard",7,"ECAC","Away","Win","Clarkson",3,"ECAC"
435,"20162017","Princeton",6,"ECAC","Home","Win","Rensselaer",5,"ECAC"
435,"20162017","Rensselaer",5,"ECAC","Away","Loss","Princeton",6,"ECAC"
436,"20162017","Quinnipiac",2,"ECAC","Home","Loss","Union",5,"ECAC"
