## HomeTeam: the team playing at home;
## AwayTeam: the opponent visiting team;
## ScoreHome: the score of the home team;
## ScoreAway: the score of the visiting team;
## Date: the day in which the match was played.
HomeTeam	AwayTeam	ScoreHome	ScoreAway	Date
L.A.Clippers  	 Sacramento	89	102	2010-03-21
Indiana 	 Oklahoma	121	101	2010-03-21
NewYork 	 Houston	112	116	2010-03-21
Denver 	 Milwaukee	97	102	2010-03-21
Dallas 	 Boston	93	102	2010-03-21
Utah 	 NewOrleans	106	86	2010-03-21
Memphis 	 GoldenState	123	107	2010-03-21
Miami 	 Charlotte	77	71	2010-03-21
NewJersey 	 Toronto	90	100	2010-03-21
Philadelphia 	 Chicago	84	98	2010-03-21
L.A.Lakers 	 Minnesota	104	96	2010-03-20
Phoenix  	 Utah	110	100	2010-03-20
Sacramento 	 Milwaukee	108	114	2010-03-20
Portland 	 Washington	76	74	2010-03-20
SanAntonio 	 GoldenState	147	116	2010-03-20
Houston 	 Boston	87	94	2010-03-20
Chicago 	 Cleveland	85	92	2010-03-20
NewYork 	 Philadelphia	92	88	2010-03-20
Atlanta 	 Charlotte	93	92	2010-03-20
Toronto 	 Oklahoma	89	115	2010-03-20
Indiana 	 Detroit	106	102	2010-03-20
Denver 	 NewOrleans	93	80	2010-03-19
Miami 	 Orlando	102	108	2010-03-19
L.A.Clippers  	 Milwaukee	101	93	2010-03-18
GoldenState 	 NewOrleans	131	121	2010-03-18
Utah 	 Minnesota	122	100	2010-03-18
Dallas 	 Chicago	113	106	2010-03-18
Houston 	 Memphis	107	94	2010-03-18
Orlando 	 SanAntonio	110	84	2010-03-18
Boston 	 NewYork	109	97	2010-03-18
Philadelphia 	 NewJersey	108	97	2010-03-18
Cleveland 	 Indiana	99	94	2010-03-18
Charlotte 	 Oklahoma	100	92	2010-03-18
Toronto 	 Atlanta	106	105	2010-03-18
Sacramento 	 L.A.Lakers 	99	106	2010-03-17
Phoenix  	 Minnesota	152	114	2010-03-17
Denver 	 Washington	97	87	2010-03-17
Memphis 	 Chicago	104	97	2010-03-17
Detroit 	 Cleveland	101	113	2010-03-17
NewJersey 	 Atlanta	84	108	2010-03-17
Miami 	 SanAntonio	76	88	2010-03-17
Indiana 	 Charlotte	99	94	2010-03-17
L.A.Clippers  	 NewOrleans	100	108	2010-03-16
GoldenState 	 L.A.Lakers 	121	124	2010-03-16
Utah 	 Washington	112	89	2010-03-16
Houston 	 Denver	125	123	2010-03-16
Boston 	 Detroit	119	93	2010-03-16
Philadelphia 	 NewYork	84	94	2010-03-16
Portland 	 Toronto	109	98	2010-03-15
Phoenix  	 NewOrleans	120	106	2010-03-15
Sacramento 	 Minnesota	114	100	2010-03-15
Oklahoma 	 Utah	119	111	2010-03-15
Orlando 	 Charlotte	89	96	2010-03-14
Miami 	 Philadelphia	104	91	2010-03-14
Cleveland 	 Boston	104	93	2010-03-14
Milwaukee 	 Indiana	98	94	2010-03-14
GoldenState 	 Toronto	124	112	2010-03-14
Dallas 	 NewYork	94	128	2010-03-14
SanAntonio 	 L.A.Clippers 	118	88	2010-03-14
Houston 	 NewJersey	116	108	2010-03-14
Memphis 	 Denver	108	125	2010-03-14
Washington 	 Orlando	95	109	2010-03-14
Atlanta 	 Detroit	112	99	2010-03-14
Sacramento 	 Portland	94	110	2010-03-13
Phoenix  	 L.A.Lakers 	96	102	2010-03-13
Milwaukee 	 Utah	95	87	2010-03-13
Minnesota 	 SanAntonio	85	103	2010-03-13
Memphis 	 NewYork	119	112	2010-03-13
Detroit 	 Washington	101	87	2010-03-13
Oklahoma 	 NewJersey	104	102	2010-03-13
NewOrleans 	 Denver	95	102	2010-03-13
Boston 	 Indiana	122	103	2010-03-13
Miami 	 Chicago	108	95	2010-03-13
Philadelphia 	 Cleveland	95	100	2010-03-13
Charlotte 	 L.A.Clippers 	106	98	2010-03-13
GoldenState 	 Portland	105	110	2010-03-12
Orlando 	 Chicago	111	82	2010-03-12
Washington 	 Atlanta	99	105	2010-03-12
Sacramento 	 Toronto	113	90	2010-03-11
SanAntonio 	 NewYork	97	87	2010-03-11
Dallas 	 NewJersey	96	87	2010-03-11
Minnesota 	 Denver	102	110	2010-03-11
Oklahoma 	 NewOrleans	98	83	2010-03-11
Miami 	 L.A.Clippers 	108	97	2010-03-11
Detroit 	 Utah	104	115	2010-03-11
Boston 	 Memphis	91	111	2010-03-11
Philadelphia 	 Charlotte	87	102	2010-03-11
L.A.Lakers 	 Toronto	109	107	2010-03-10
Portland 	 Sacramento	88	81	2010-03-10
Milwaukee 	 Boston	86	84	2010-03-10
Chicago 	 Utah	108	132	2010-03-10
Orlando 	 L.A.Clippers 	113	87	2010-03-10
Indiana 	 Philadelphia	107	96	2010-03-10
Charlotte 	 Miami	83	78	2010-03-10
Washington 	 Houston	88	96	2010-03-10
Minnesota 	 Dallas	112	125	2010-03-09
Memphis 	 NewJersey	107	101	2010-03-09
NewOrleans 	 GoldenState	135	131	2010-03-09
NewYork 	 Atlanta	99	98	2010-03-09
Cleveland 	 SanAntonio	97	95	2010-03-09
Denver 	 Portland	118	106	2010-03-08
Sacramento 	 Oklahoma	102	108	2010-03-08
Boston 	 Washington	86	83	2010-03-08
Detroit 	 Houston	110	107	2010-03-08
Orlando 	 L.A.Lakers 	96	94	2010-03-07
Toronto 	 Philadelphia	101	114	2010-03-07
Utah 	 L.A.Clippers 	107	85	2010-03-07
Phoenix  	 Indiana	113	105	2010-03-07
Milwaukee 	 Cleveland	92	85	2010-03-07
Memphis 	 SanAntonio	92	102	2010-03-07
Chicago 	 Dallas	116	122	2010-03-07
Minnesota 	 Houston	98	112	2010-03-07
NewYork 	 NewJersey	93	113	2010-03-07
Miami 	 Atlanta	100	94	2010-03-07
Charlotte 	 GoldenState	101	90	2010-03-07
