"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","SAT","SATA","CF%","USAT","USATA","FF%","ESSAT","ESSATA","ESCF%","ESUSAT","ESUSATA","ESFF%","PPSAT","PPSATA","PPCF%","PPUSAT","PPUSATA","PPFF%","CloseSAT","CloseSATA","CloseCF%","CloseUSAT","CloseUSATA","CloseFF%","Season"
"Boston University","39","124","106","1342","9.2","1155",".908","21.1","81.0","2","2","53.1","21.7",72.6,"188.4","2564","2134","54.6","1958","1643","54.4","2064","1610","56.2","1570","1247","55.7","421","46","90.1","323","40","89.0","1232","973","55.9","938","753","55.5","20152016"
"Bowling Green","42","118","91","1221","9.7","1167",".922","18.6","85.9","6","7","50.6","22.8",72,"190.9","2301","2114","52.1","1742","1662","51.2","1776","1605","52.5","1349","1300","50.9","444","67","86.9","320","62","83.8","1181","1053","52.9","888","860","50.8","20152016"
"Brown","31","75","107","919","8.2","926",".884","20.0","74.4","1","3","50.2","22.2",72.8,"188.1","1634","1764","48.1","1281","1349","48.7","1426","1482","49.0","1126","1131","49.9","170","20","89.5","122","17","87.8","947","939","50.2","743","723","50.7","20152016"
"Canisius","39","92","121","1040","8.8","1347",".910","13.7","77.7","2","1","52.5","21.11",72.6,"185.8","2041","2450","45.4","1560","2008","43.7","1568","2043","43.4","1209","1672","42.0","404","35","92.0","296","30","90.8","899","1243","42.0","694","1016","40.6","20152016"
"Clarkson","38","101","95","1225","8.2","1041",".909","16.7","85.2","1","1","52.3","22.11",71.9,"191.8","2223","1931","53.5","1841","1580","53.8","1818","1578","53.5","1506","1310","53.5","361","35","91.2","297","35","89.5","1154","997","53.6","966","826","53.9","20152016"
"Colgate","37","95","132","1035","9.2","1200",".890","18.3","78.6","3","3","53.9","22.8",71.6,"188.3","1914","2103","47.6","1463","1666","46.8","1546","1683","47.9","1178","1352","46.6","340","42","89.0","260","35","88.1","992","1135","46.6","759","919","45.2","20152016"
"Colorado College","36","71","145","939","7.6","1274",".886","16.2","78.0","2","10","45.1","21.11",71,"176.6","1760","2432","42.0","1320","1902","41.0","1371","1836","42.8","1058","1432","42.5","356","83","81.1","234","74","76.0","767","1076","41.6","608","827","42.4","20152016"
"Connecticut","36","88","114","966","9.1","1191",".904","19.7","81.0","4","4","51.0","22.2",72.3,"182.8","1879","2259","45.4","1444","1754","45.2","1421","1763","44.6","1090","1373","44.3","420","47","89.9","320","40","88.9","806","1148","41.2","622","899","40.9","20152016"
"Cornell","34","79","82","890","8.9","1018",".919","18.2","81.6","0","1","49.4","21.9",73.6,"198.0","1763","1979","47.1","1309","1478","47.0","1455","1588","47.8","1084","1178","47.9","281","36","88.6","201","32","86.3","978","1017","49.0","731","763","48.9","20152016"
"Dartmouth","35","94","104","1058","8.9","1045",".900","12.2","80.2","2","1","49.7","22.6",71.9,"186.8","2036","2008","50.3","1557","1543","50.2","1709","1657","50.8","1315","1277","50.7","282","34","89.2","206","28","88.0","912","903","50.2","702","692","50.4","20152016"
"Denver","41","134","96","1285","10.4","1217",".921","18.4","82.1","5","2","52.2","22.3",71.3,"179.2","2538","2225","53.3","1886","1701","52.6","2031","1750","53.7","1524","1331","53.4","458","64","87.7","320","52","86.0","1317","1091","54.7","991","839","54.2","20152016"
"Ferris State","41","112","109","1316","8.5","1214",".910","15.5","84.0","2","4","50.1","22.7",71.1,"185.6","2455","2239","52.3","1883","1719","52.3","1832","1803","50.4","1423","1391","50.6","542","108","83.4","386","92","80.8","1296","1255","50.8","1012","959","51.3","20152016"
"Harvard","34","116","81","1104","10.5","994",".919","27.4","82.7","1","3","47.6","21.9",72.3,"190.8","2083","1886","52.5","1609","1413","53.2","1682","1584","51.5","1303","1194","52.2","332","27","92.5","249","23","91.5","1029","907","53.2","783","696","52.9","20152016"
"Holy Cross","36","109","90","1167","9.3","988",".909","15.1","82.5","3","8","52.3","22.8",72.1,"188.4","2022","1827","52.5","1636","1441","53.2","1610","1494","51.9","1319","1180","52.8","387","42","90.2","295","36","89.1","1033","927","52.7","837","721","53.7","20152016"
"Lake Superior","41","74","105","1071","6.9","1330",".921","13.7","84.2","5","5","47.1","23.0",71.8,"189.0","1992","2438","45.0","1517","1895","44.5","1542","1907","44.7","1181","1489","44.2","373","72","83.8","268","65","80.5","1020","1279","44.4","784","993","44.1","20152016"
"Maine","38","76","129","1228","6.2","1268",".898","14.1","78.5","5","0","49.5","22.4",72.9,"189.9","2251","2281","49.7","1729","1812","48.8","1759","1788","49.6","1343","1422","48.6","405","39","91.2","311","33","90.4","1061","1134","48.3","796","887","47.3","20152016"
"Massachusetts","36","84","146","1001","8.4","1289",".887","17.3","76.0","1","7","47.9","22.0",71.2,"186.1","1839","2406","43.3","1411","1870","43.0","1500","1923","43.8","1154","1517","43.2","297","70","80.9","224","61","78.6","803","1029","43.8","622","793","44.0","20152016"
"Massachusetts-Lowell","40","121","75","1255","9.6","1126",".933","19.1","84.9","4","3","50.7","22.9",71.8,"192.9","2425","2168","52.8","1844","1647","52.8","1927","1789","51.9","1468","1352","52.1","453","57","88.8","335","43","88.6","1268","1167","52.1","963","901","51.7","20152016"
"Mercyhurst","36","108","115","1011","10.7","1295",".911","18.5","82.8","5","6","47.4","22.3",71.7,"188.5","1937","2484","43.8","1479","1919","43.5","1383","1840","42.9","1065","1430","42.7","521","68","88.5","385","58","86.9","785","1096","41.7","600","858","41.2","20152016"
"Merrimack","39","95","108","1188","8.0","1061",".898","12.9","80.6","2","2","49.0","22.4",72.7,"189.4","2136","1948","52.3","1708","1527","52.8","1721","1539","52.8","1389","1215","53.3","366","31","92.2","279","30","90.3","1074","945","53.2","854","729","53.9","20152016"
"Miami","36","86","97","1013","8.5","962",".899","18.0","90.9","1","7","50.0","22.6",72.5,"192.7","1846","1937","48.8","1429","1448","49.7","1460","1549","48.5","1129","1175","49.0","315","51","86.1","237","39","85.9","955","1020","48.4","738","777","48.7","20152016"
"Michigan","38","181","115","1418","12.8","1235",".907","32.0","80.0","6","2","50.2","21.7",72.8,"197.8","2697","2511","51.8","2053","1840","52.7","2134","2000","51.6","1598","1449","52.4","478","67","87.7","382","57","87.0","1245","1187","51.2","919","874","51.3","20152016"
"Michigan State","37","93","124","1078","8.6","1233",".899","15.6","86.4","1","3","50.6","22.1",72.2,"188.5","2088","2353","47.0","1517","1727","46.8","1654","1881","46.8","1197","1367","46.7","388","56","87.4","280","48","85.4","1015","1221","45.4","749","881","46.0","20152016"
"Michigan Tech","37","123","77","1242","9.9","956",".919","21.1","83.6","4","0","48.4","22.7",71.8,"183.7","2405","1888","56.0","1822","1368","57.1","1954","1476","57.0","1479","1082","57.8","397","48","89.2","296","41","87.8","1283","918","58.3","964","674","58.9","20152016"
"Minnesota","37","121","108","1172","10.3","1048",".897","19.5","77.6","8","1","56.0","21.9",72,"191.7","2098","1892","52.6","1585","1425","52.7","1641","1484","52.5","1228","1121","52.3","410","43","90.5","311","36","89.6","982","855","53.5","721","637","53.1","20152016"
"Minnesota-Duluth","40","107","82","1381","7.7","1025",".920","14.9","86.6","4","4","48.0","22.6",72.2,"190.0","2578","1911","57.4","2008","1470","57.7","2033","1468","58.1","1592","1137","58.3","468","52","90.0","352","47","88.2","1305","861","60.2","1008","659","60.5","20152016"
"Minnesota State","41","105","80","1388","7.6","859",".907","15.9","86.3","7","6","53.0","22.11",72.1,"185.3","2594","1686","60.6","1960","1234","61.4","2004","1323","60.2","1526","977","61.0","502","53","90.5","360","47","88.5","1248","819","60.4","936","603","60.8","20152016"
"Nebraska-Omaha","36","103","107","1083","9.5","1075",".900","16.0","82.6","9","4","50.0","21.10",72,"189.7","2151","2087","50.8","1597","1565","50.5","1614","1620","49.9","1202","1226","49.5","447","76","85.5","322","64","83.4","820","859","48.8","593","635","48.3","20152016"
"New Hampshire","37","112","121","1057","10.6","1280",".905","23.9","78.0","1","5","47.8","22.3",71.5,"186.7","1909","2334","45.0","1472","1774","45.3","1523","1939","44.0","1172","1476","44.3","345","66","83.9","270","52","83.9","920","1171","44.0","712","891","44.4","20152016"
"Niagara","37","71","126","1099","6.5","1134",".889","9.1","79.9","0","2","50.8","22.11",72.2,"190.4","2153","2208","49.4","1656","1666","49.8","1722","1713","50.1","1339","1292","50.9","383","45","89.5","273","35","88.6","1123","1118","50.1","867","850","50.5","20152016"
"North Dakota","44","162","81","1432","11.3","1102",".926","19.1","86.4","9","2","50.2","21.7",72.3,"193.6","2820","2133","56.9","2075","1592","56.6","2175","1672","56.5","1598","1245","56.2","536","49","91.6","381","44","89.6","1334","913","59.4","987","688","58.9","20152016"
"Northeastern","41","134","105","1249","10.7","1048",".900","23.2","78.8","2","2","48.3","22.5",72,"187.7","2244","2095","51.7","1723","1568","52.4","1766","1684","51.2","1357","1252","52.0","427","54","88.8","319","49","86.7","903","826","52.2","681","612","52.7","20152016"
"Northern Michigan","38","89","99","966","9.2","1248",".921","15.9","84.4","2","5","53.7","23.0",71.2,"182.9","1915","2276","45.7","1453","1812","44.5","1482","1728","46.2","1146","1376","45.4","343","52","86.8","228","48","82.6","991","1204","45.1","765","958","44.4","20152016"
"Notre Dame","37","115","86","1178","9.8","1140",".925","20.9","83.7","1","0","53.2","21.7",72.8,"195.2","2025","2038","49.8","1590","1573","50.3","1644","1643","50.0","1288","1276","50.2","326","33","90.8","256","28","90.1","992","1032","49.0","765","795","49.0","20152016"
"Ohio State","36","128","125","1195","10.7","1211",".897","21.0","81.5","5","5","48.4","21.11",71.5,"181.1","2163","2333","48.1","1663","1762","48.6","1698","1870","47.6","1301","1433","47.6","399","62","86.6","304","55","84.7","1006","1113","47.5","764","861","47.0","20152016"
"Penn State","38","140","122","1579","8.9","1286",".905","23.4","80.4","12","9","51.1","22.11",72,"191.8","2864","2247","56.0","2236","1780","55.7","2275","1776","56.2","1798","1388","56.4","509","70","87.9","370","64","85.3","1246","904","58.0","978","700","58.3","20152016"
"Princeton","31","60","99","921","6.5","1200",".918","11.2","78.9","0","4","41.4","22.0",73,"194.1","1684","2154","43.9","1295","1702","43.2","1438","1753","45.1","1107","1384","44.4","221","50","81.5","165","42","79.7","833","1030","44.7","660","803","45.1","20152016"
"Providence","38","124","71","1290","9.6","1125",".937","20.2","84.9","3","1","52.8","22.4",72.6,"190.5","2422","1981","55.0","1870","1551","54.7","1870","1521","55.1","1449","1206","54.6","487","63","88.5","365","52","87.5","1284","955","57.3","995","763","56.6","20152016"
"Quinnipiac","43","163","85","1452","11.2","1093",".922","27.5","89.1","4","2","53.8","22.6",72,"188.3","2826","2180","56.5","2182","1563","58.3","2219","1773","55.6","1729","1274","57.6","539","54","90.9","398","45","89.8","1315","1014","56.5","1032","730","58.6","20152016"
"Rensselaer","40","97","104","1148","8.4","1367",".924","12.3","83.5","7","1","46.0","22.1",71.7,"186.1","2135","2616","44.9","1613","1955","45.2","1807","2134","45.9","1371","1611","46.0","260","44","85.5","186","37","83.4","1081","1305","45.3","834","982","45.9","20152016"
"RIT","39","118","116","1304","9.0","1056",".890","20.5","83.2","3","2","53.6","23.0",72.1,"192.5","2385","2076","53.5","1867","1568","54.4","1908","1539","55.4","1500","1181","55.9","414","40","91.2","314","35","90.0","1195","935","56.1","941","714","56.9","20152016"
"Robert Morris","39","158","107","1401","11.3","1321",".919","28.3","81.1","10","4","49.6","23.0",72.5,"189.0","2513","2591","49.2","1966","1906","50.8","1861","1941","48.9","1454","1417","50.6","570","58","90.8","442","53","89.3","1073","1068","50.1","840","776","52.0","20152016"
"Sacred Heart","37","96","109","1110","8.6","1130",".904","13.8","84.1","8","5","47.6","23.1",71.7,"185.2","2022","2049","49.7","1640","1628","50.2","1572","1511","51.0","1279","1212","51.3","367","54","87.2","287","48","85.7","1052","1032","50.5","860","822","51.1","20152016"
"St. Cloud State","41","175","90","1325","13.2","1153",".922","29.5","83.1","7","3","53.3","22.3",71,"186.6","2309","2127","52.1","1828","1585","53.6","1861","1803","50.8","1479","1351","52.3","369","45","89.1","282","39","87.9","969","964","50.1","757","717","51.4","20152016"
"St. Lawrence","37","106","84","1179","9.0","1206",".930","11.8","84.9","3","2","52.9","22.8",71.7,"186.1","2021","1968","50.7","1594","1552","50.7","1610","1545","51.0","1264","1207","51.2","349","69","83.5","274","58","82.5","1022","1033","49.7","793","807","49.6","20152016"
"Union","36","91","96","1116","8.2","1092",".912","17.5","80.8","1","5","56.6","22.5",72.7,"189.7","2136","1983","51.9","1634","1592","50.7","1703","1618","51.3","1301","1297","50.1","379","41","90.2","282","37","88.4","1139","1065","51.7","879","845","51.0","20152016"
"Vermont","40","86","107","1279","6.7","1211",".912","10.9","78.8","3","4","44.9","22.8",71.3,"189.1","2308","2114","52.2","1826","1667","52.3","1803","1588","53.2","1432","1261","53.2","437","46","90.5","334","43","88.6","1042","1020","50.5","836","801","51.1","20152016"
"Western Michigan","36","80","142","1039","7.7","1260",".887","17.6","71.7","2","6","50.0","22.5",73.1,"200.6","1863","2282","44.9","1464","1754","45.5","1418","1755","44.7","1132","1356","45.5","386","71","84.5","281","62","81.9","774","975","44.3","617","750","45.1","20152016"
"Wisconsin","35","93","127","1068","8.7","1132",".888","18.6","82.4","1","9","48.7","21.8",72,"188.9","2133","2189","49.4","1592","1696","48.4","1736","1759","49.7","1292","1348","48.9","334","66","83.5","241","62","79.5","1117","1111","50.1","814","843","49.1","20152016"
"Yale","32","86","57","1087","7.9","850",".933","20.6","94.4","1","0","49.4","22.5",72,"186.0","2066","1656","55.5","1597","1273","55.6","1685","1422","54.2","1309","1107","54.2","313","26","92.3","236","24","90.8","1100","944","53.8","854","730","53.9","20152016"
