"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Nebraska-Omaha","42","124","116","1346","9.2","1140",".898","19.1","84.0","1","6","","28.11",71.8,"189.8","20092010"
"New Hampshire","39","131","122","1170","11.2","1298",".906","16.4","83.1","7","0","","27.7",71.8,"189.9","20092010"
"Niagara","36","107","118","1130","9.5","1191",".901","16.4","80.6","8","3","","28.0",71.8,"183.6","20092010"
"North Dakota","43","140","91","1379","10.2","1034",".912","20.6","87.0","7","3","","27.6",72.1,"190.5","20092010"
"Northeastern","34","93","100","871","10.7","1080",".907","18.4","79.1","4","4","","28.7",71.2,"182.8","20092010"
"Northern Michigan","41","124","104","1118","11.1","1362",".924","19.9","83.1","4","3","","28.5",72.4,"189.4","20092010"
"Notre Dame","38","90","102","1128","8.0","1076",".905","17.6","86.2","4","4","","27.8",71.6,"192.1","20092010"
"Ohio State","39","110","122","1188","9.3","1279",".905","17.5","76.6","3","3","","27.11",72.3,"191.5","20092010"
"Princeton","31","91","103","1114","8.2","956",".892","18.6","76.4","3","6","","28.7",71.8,"186.8","20092010"
"Providence","34","68","99","1000","6.8","1164",".915","15.7","84.4","0","3","","27.8",72.1,"189.3","20092010"
"Quinnipiac","40","123","114","1252","9.8","1175",".903","21.9","84.5","4","6","","28.2",71.5,"180.3","20092010"
"Rensselaer","39","109","108","1027","10.6","1092",".901","18.3","82.1","5","5","","27.10",72.1,"191.0","20092010"
"RIT","41","145","90","1405","10.3","1104",".918","21.3","83.8","5","6","","28.9",71.4,"183.5","20092010"
"Robert Morris","35","94","121","1031","9.1","1262",".904","12.3","77.0","4","5","","28.3",71.8,"184.1","20092010"
"Sacred Heart","38","131","123","1241","10.6","1267",".903","18.9","78.5","1","8","","28.11",71.3,"183.3","20092010"
"St. Cloud State","43","138","122","1172","11.8","1408",".913","18.9","80.6","10","4","","28.3",71.7,"187.0","20092010"
"St. Lawrence","42","118","121","1188","9.9","1250",".903","18.8","79.3","6","0","","28.9",71.7,"187.3","20092010"
"Union","39","134","100","1306","10.3","1103",".909","19.0","78.6","4","5","","28.10",72,"185.7","20092010"
"Vermont","39","113","112","1101","10.3","1137",".901","16.1","80.2","1","1","","28.1",72.6,"194.6","20092010"
"Western Michigan","36","76","104","900","8.4","1300",".920","13.3","81.4","1","4","","28.1",71.4,"186.9","20092010"
"Wisconsin","43","171","111","1530","11.2","1134",".902","20.7","84.9","5","6","","27.8",71.8,"187.2","20092010"
"Yale","34","141","105","1353","10.4","915",".885","23.9","82.8","4","7","","28.0",71.3,"183.6","20092010"
