"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","SAT","SATA","CF%","USAT","USATA","FF%","ESSAT","ESSATA","ESCF%","ESUSAT","ESUSATA","ESFF%","PPSAT","PPSATA","PPCF%","PPUSAT","PPUSATA","PPFF%","CloseSAT","CloseSATA","CloseCF%","CloseUSAT","CloseUSATA","CloseFF%","Season"
"Michigan","37","143","107","1283","11.1","1103",".903","25.6","81.3","3","4","53.1","22.3",72.5,"196.0","2564","2157","54.3","1925","1635","54.1","2030","1756","53.6","1524","1330","53.4","457","51","90.0","340","49","87.4","996","856","53.8","768","657","53.9","20142015"
"Michigan State","35","83","80","1058","7.8","1086",".926","17.7","85.7","1","3","51.6","22.9",72.1,"188.6","2076","2170","48.9","1560","1585","49.6","1690","1758","49.0","1266","1283","49.7","333","41","89.0","247","37","87.0","1032","1057","49.4","777","783","49.8","20142015"
"Michigan Tech","41","144","74","1421","10.1","1097",".933","21.5","84.9","5","1","52.9","23.0",71.8,"186.6","2772","2235","55.4","2108","1590","57.0","2108","1683","55.6","1606","1212","57.0","573","70","89.1","424","50","89.5","1418","1024","58.1","1069","745","58.9","20142015"
"Minnesota","39","137","98","1295","10.6","1078",".909","28.0","78.9","5","0","55.6","22.6",71.7,"187.8","2425","2054","54.1","1809","1571","53.5","1892","1653","53.4","1402","1273","52.4","459","59","88.6","341","47","87.9","1055","921","53.4","783","724","52.0","20142015"
"Minnesota-Duluth","40","115","97","1291","8.9","1101",".912","18.4","81.6","7","1","45.9","23.0",72.4,"192.1","2434","2055","54.2","1868","1587","54.1","1914","1517","55.8","1460","1175","55.4","439","54","89.0","335","46","87.9","1213","1002","54.8","917","780","54.0","20142015"
"Minnesota State","40","145","77","1331","10.9","865",".911","24.3","86.9","4","7","54.5","24.0",72.3,"186.6","2639","1808","59.3","1994","1323","60.1","1895","1371","58.0","1435","1025","58.3","683","78","89.8","512","64","88.9","1176","816","59.0","892","596","59.9","20142015"
"Nebraska-Omaha","39","105","90","1093","9.6","1232",".927","19.3","83.7","3","2","48.1","23.0",72.4,"194.0","2121","2265","48.4","1612","1740","48.1","1656","1828","47.5","1263","1414","47.2","401","67","85.7","290","55","84.1","1104","1189","48.1","839","925","47.6","20142015"
"New Hampshire","40","119","109","1276","9.3","1121",".903","16.6","82.4","2","3","47.4","22.11",72,"188.3","2317","2243","50.8","1789","1660","51.9","1801","1820","49.7","1392","1365","50.5","456","47","90.7","342","39","89.8","1067","1105","49.1","822","821","50.0","20142015"
"Niagara","39","85","157","1096","7.8","1386",".887","11.4","79.1","5","3","47.9","23.10",71.3,"186.6","2118","2498","45.9","1586","1928","45.1","1690","1899","47.1","1297","1482","46.7","366","44","89.3","234","35","87.0","1024","1239","45.2","774","965","44.5","20142015"
"North Dakota","42","138","94","1336","10.3","1218",".923","20.4","84.0","12","4","52.9","23.1",72.3,"194.8","2476","2299","51.9","1865","1724","52.0","1926","1813","51.5","1475","1351","52.2","488","68","87.8","337","59","85.1","1123","1004","52.8","844","759","52.7","20142015"
"Northeastern","36","107","107","1098","9.7","1092",".902","20.7","73.8","2","6","49.0","23.3",71.9,"194.2","2032","2103","49.1","1548","1579","49.5","1597","1577","50.3","1224","1173","51.1","379","64","85.6","274","58","82.5","1015","1018","49.9","772","729","51.4","20142015"
"Northern Michigan","38","86","100","1030","8.3","1230",".919","18.0","86.5","0","5","52.0","24.3",72,"188.7","1976","2241","46.9","1493","1797","45.4","1549","1792","46.4","1187","1432","45.3","381","40","90.5","271","38","87.7","1041","1234","45.8","790","982","44.6","20142015"
"Notre Dame","42","126","116","1230","10.2","1337",".913","15.3","82.7","2","4","50.7","22.4",72.6,"194.7","2295","2395","48.9","1740","1885","48.0","1846","1945","48.7","1414","1536","47.9","384","71","84.4","275","63","81.4","1114","1152","49.2","830","911","47.7","20142015"
"Ohio State","36","98","117","1113","8.8","1102",".894","12.8","76.2","1","2","47.4","23.4",72,"186.3","2055","2177","48.6","1576","1593","49.7","1667","1867","47.2","1273","1363","48.3","332","56","85.6","253","49","83.8","975","1171","45.4","746","840","47.0","20142015"
"Penn State","37","119","113","1452","8.2","1205",".906","21.9","80.6","4","2","50.0","24.0",72.7,"198.6","2711","2231","54.9","2110","1714","55.2","2170","1769","55.1","1710","1342","56.0","481","57","89.4","349","51","87.3","1231","942","56.6","969","719","57.4","20142015"
"Princeton","30","39","99","739","5.3","1028",".904","11.9","81.0","1","4","41.9","23.0",72.4,"190.4","1548","1976","43.9","1147","1564","42.3","1243","1540","44.7","932","1221","43.3","271","49","84.7","184","41","81.8","698","914","43.3","515","709","42.1","20142015"
"Providence","41","123","84","1414","8.7","1186",".929","15.3","86.2","6","4","54.2","23.3",72.6,"192.9","2576","2154","54.5","1994","1642","54.8","1969","1658","54.3","1540","1294","54.3","546","61","90.0","399","53","88.3","1307","1068","55.0","1013","833","54.9","20142015"
"Quinnipiac","39","106","89","1199","8.8","971",".908","19.2","87.6","4","3","52.6","23.1",71.5,"181.1","2371","1801","56.8","1769","1349","56.7","1858","1433","56.5","1380","1077","56.2","442","56","88.8","327","50","86.7","1241","918","57.5","907","691","56.8","20142015"
"Rensselaer","41","77","131","1035","7.4","1239",".894","11.4","79.7","0","2","42.9","23.1",72.1,"190.8","1936","2263","46.1","1507","1756","46.2","1615","1747","48.0","1267","1351","48.4","251","46","84.5","179","40","81.7","865","993","46.6","673","764","46.8","20142015"
"RIT","40","121","96","1364","8.9","1118",".914","14.1","87.9","5","1","54.5","24.0",72.3,"192.9","2538","2259","52.9","1924","1669","53.5","2019","1730","53.9","1531","1289","54.3","424","43","90.8","314","36","89.7","1243","1028","54.7","930","775","54.5","20142015"
"Robert Morris","37","133","90","1337","9.9","1208",".925","21.5","86.0","6","5","50.0","23.8",72.3,"189.6","2383","2503","48.8","1844","1802","50.6","1846","1959","48.5","1434","1413","50.4","474","55","89.6","353","42","89.4","1341","1342","50.0","1036","963","51.8","20142015"
"Sacred Heart","38","96","113","1145","8.4","1162",".903","10.2","82.4","6","5","49.4","23.11",71.9,"187.2","2149","2157","49.9","1708","1695","50.2","1606","1559","50.7","1275","1245","50.6","473","94","83.4","373","76","83.1","992","985","50.2","802","786","50.5","20142015"
"St. Cloud State","40","109","97","1199","9.1","1118",".913","23.7","80.3","1","2","50.0","23.8",71,"190.3","2182","2170","50.1","1729","1664","51.0","1738","1765","49.6","1380","1374","50.1","392","48","89.1","306","38","89.0","1070","1106","49.2","845","856","49.7","20142015"
"St. Lawrence","37","113","75","1027","11.0","1159",".935","16.4","87.6","7","3","50.7","23.4",72,"188.2","1610","1815","47.0","1257","1432","46.7","1267","1373","48.0","988","1100","47.3","271","84","76.3","201","72","73.6","806","787","50.6","619","621","49.9","20142015"
"Union","39","122","104","1228","9.9","1150",".910","19.7","80.3","8","3","53.4","23.3",72.2,"189.3","2337","2176","51.8","1797","1706","51.3","1772","1735","50.5","1358","1360","50.0","472","79","85.7","357","72","83.2","1028","1053","49.4","789","829","48.8","20142015"
"Vermont","41","110","91","1258","8.7","1119",".919","20.1","87.5","0","2","48.7","23.6",71.2,"185.0","2206","2063","51.7","1728","1591","52.1","1731","1574","52.4","1355","1224","52.5","421","53","88.8","325","46","87.6","1008","941","51.7","779","724","51.8","20142015"
"Western Michigan","37","98","107","1087","9.0","1071",".900","20.0","81.0","2","2","51.8","23.3",72.8,"199.8","2000","2031","49.6","1532","1495","50.6","1564","1502","51.0","1191","1118","51.6","352","41","89.6","267","34","88.7","974","874","52.7","720","649","52.6","20142015"
"Wisconsin","35","59","129","868","6.8","1243",".896","11.6","74.4","1","5","48.1","22.7",71.9,"187.6","1653","2298","41.8","1236","1768","41.1","1313","1758","42.8","980","1371","41.7","298","54","84.7","220","42","84.0","764","1068","41.7","570","827","40.8","20142015"
"Yale","33","86","54","1067","8.1","887",".939","17.8","90.1","1","0","52.7","23.3",71.7,"185.5","2037","1761","53.6","1602","1320","54.8","1673","1509","52.6","1321","1134","53.8","307","33","90.3","229","27","89.5","1070","970","52.5","838","734","53.3","20142015"
