"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Dartmouth","34","84","115","1017","8.3","1054",".891","16.5","79.7","2","2","","24.0",72.8,"191.7","20132014"
"Denver","42","112","98","1169","9.6","1340",".927","19.8","86.6","1","3","","23.7",71.3,"185.2","20132014"
"Ferris State","43","138","94","1286","10.7","1321",".929","16.7","86.7","8","3","","24.1",70.8,"180.8","20132014"
"Harvard","31","69","83","812","8.5","1012",".918","15.4","84.3","4","4","","23.4",72.4,"192.9","20132014"
"Holy Cross","39","97","114","1252","7.7","1294",".912","13.1","82.9","4","1","","24.3",71.9,"186.7","20132014"
"Lake Superior","36","94","114","1032","9.1","1264",".910","15.8","80.5","3","3","","24.9",72.2,"190.3","20132014"
"Maine","35","102","83","1184","8.6","1061",".922","16.4","83.1","8","2","","23.9",71.5,"184.8","20132014"
"Massachusetts","34","76","106","1053","7.2","1025",".897","22.0","83.1","5","4","","24.8",72.1,"191.4","20132014"
"Massachusetts-Lowell","41","116","77","1307","8.9","1232",".938","20.8","81.1","3","3","","24.9",71.4,"184.3","20132014"
"Mercyhurst","41","148","124","1363","10.9","1560",".921","21.9","83.5","10","2","","25.0",72,"188.9","20132014"
"Merrimack","33","62","97","981","6.3","885",".890","14.0","81.5","1","4","","25.0",72.6,"190.7","20132014"
"Miami","38","111","115","1230","9.0","1142",".899","21.6","80.5","6","5","","23.8",71.4,"185.3","20132014"
"Michigan","35","107","89","1176","9.1","1149",".923","19.5","81.7","4","2","","23.3",72.4,"192.1","20132014"
"Michigan State","36","79","93","1044","7.6","1164",".920","15.9","79.7","3","2","","23.8",72,"186.4","20132014"
"Michigan Tech","40","99","108","1300","7.6","1114",".903","14.8","82.4","4","3","","24.4",71.9,"186.0","20132014"
"Minnesota","41","143","86","1421","10.1","1204",".929","20.2","84.1","3","3","","23.4",71.1,"185.7","20132014"
"Minnesota-Duluth","36","104","104","1171","8.9","996",".896","15.8","81.7","4","3","","23.9",72.2,"191.9","20132014"
"Minnesota State","41","130","95","1466","8.9","1037",".908","25.3","87.0","5","8","","24.9",72.6,"186.3","20132014"
"Nebraska-Omaha","37","117","120","1256","9.3","995",".879","20.4","80.8","4","6","","24.4",72.5,"186.6","20132014"
"New Hampshire","41","126","106","1331","9.5","1205",".912","20.3","82.6","7","2","","24.3",72.2,"185.1","20132014"
"Niagara","40","113","122","1320","8.6","1238",".901","9.9","80.2","6","5","","24.8",71.5,"186.4","20132014"
"North Dakota","42","127","102","1293","9.8","1216",".916","17.2","83.4","4","4","","23.9",72.1,"190.0","20132014"
"Northeastern","37","117","103","1120","10.4","1279",".919","15.3","83.9","6","10","","24.0",71.4,"188.4","20132014"
"Northern Michigan","38","102","108","1006","10.1","1135",".905","20.0","76.1","3","5","","24.11",71.6,"186.9","20132014"
"Notre Dame","40","120","86","1326","9.0","1051",".918","18.2","84.1","7","3","","24.1",72.6,"199.3","20132014"
"Ohio State","37","118","100","1226","9.6","1154",".913","20.4","77.1","3","1","","24.1",72.2,"189.0","20132014"
"Penn State","36","80","129","1269","6.3","1185",".891","17.7","81.1","5","6","","24.4",72.7,"192.7","20132014"
"Princeton","32","60","126","819","7.3","1161",".891","16.5","75.2","5","6","","24.2",72.4,"190.9","20132014"
"Providence","39","115","88","1305","8.8","1190",".926","14.0","87.2","7","5","","24.0",72.3,"187.9","20132014"
"Quinnipiac","40","141","81","1359","10.4","877",".908","22.5","89.8","4","2","","24.2",71.8,"182.8","20132014"
"Rensselaer","37","104","100","912","11.4","1088",".908","16.5","82.8","7","5","","24.1",72.2,"190.4","20132014"
"RIT","37","94","124","1160","8.1","1232",".899","21.5","84.5","0","2","","24.11",72.3,"191.7","20132014"
"Robert Morris","42","145","130","1481","9.8","1449",".910","16.9","76.2","6","4","","24.7",72.6,"189.4","20132014"
"Sacred Heart","36","82","137","1010","8.1","1236",".889","12.7","77.1","2","10","","24.7",71.6,"188.3","20132014"
"St. Cloud State","38","136","107","1187","11.5","1122",".905","25.3","76.9","2","2","","24.4",71.5,"186.7","20132014"
"St. Lawrence","38","122","131","1130","10.8","1015",".871","27.2","73.7","3","4","","24.5",72.1,"190.3","20132014"
"Union","42","160","90","1405","11.4","1182",".924","20.9","82.4","4","3","","24.1",72.1,"189.0","20132014"
"Vermont","38","105","89","1091","9.6","1070",".917","15.3","85.2","4","7","","24.4",71.5,"185.7","20132014"
"Western Michigan","40","103","106","1084","9.5","1173",".910","13.3","84.8","7","4","","24.1",71.8,"192.8","20132014"
"Wisconsin","37","120","95","1166","10.3","1096",".913","19.4","85.1","5","6","","24.3",71.9,"190.2","20132014"
"Yale","33","106","82","1147","9.2","968",".915","19.9","80.4","6","2","","24.0",72,"188.6","20132014"
