Simulation,Team,Wins,Losses,Ties,HomeWins,HomeLosses,HomeTies,AwayWins,AwayLosses,AwayTies,NeutralWins,NeutralLosses,NeutralTies,Pct,AdjPct,OppWinPct,OppOppWinPct,SOS,RPI,Pairwise,PWRank
1,Niagara,11,22,3,5,9,2,6,13,1,0,0,0,0.3472222222222222,0.3559322033898305,0.4862987325506019,0.4785948986633229,0.480751972151761,0.44954702996127843,6,54
1,Brown,8,19,4,5,9,1,3,10,3,0,0,0,0.3225806451612903,0.3223684210526316,0.49015311001206313,0.48741471087251514,0.48818146263158857,0.44672820223684934,5,55
1,Lake Superior,10,22,4,4,10,1,5,11,3,1,1,0,0.3333333333333333,0.34444444444444444,0.46279043303947137,0.48449190282162896,0.4784154912826248,0.44492272957307977,4,56
1,Alaska,11,22,3,7,9,1,4,13,2,0,0,0,0.3472222222222222,0.3468208092485549,0.45610892248902335,0.4789490273831275,0.47255379801277836,0.4411205508217225,3,57
1,Rensselaer,6,27,4,3,12,1,3,12,3,0,3,0,0.21621621621621623,0.2216216216216216,0.5137971111861261,0.4865998437382098,0.4942150786236264,0.4260667143731252,2,58
1,St. Lawrence,8,26,2,4,10,2,3,16,0,1,0,0,0.25,0.24855491329479767,0.4893267112449969,0.49136535610647775,0.4907945355452631,0.4302346299826467,1,59
1,Alaska-Anchorage,4,26,4,1,13,3,3,13,1,0,0,0,0.17647058823529413,0.18023255813953487,0.446376431191835,0.4807566127733978,0.47113016193056023,0.3984057609828039,0,60
2,Notre Dame,28,10,2,14,6,1,11,2,1,3,2,0,0.725,0.7064676616915422,0.53970808016983,0.5382342491304508,0.538646921821477,0.5806021067889933,58,1
2,St. Cloud State,25,9,6,16,3,2,8,4,4,1,2,0,0.7,0.6963350785340314,0.5563889504777754,0.5350136217170461,0.5409987137700503,0.5798328049610456,58,2
2,Ohio State,26,10,5,13,4,3,11,5,2,2,1,0,0.6951219512195121,0.6930693069306931,0.5248171466101603,0.5354709433222592,0.5324878802428715,0.5726332369148269,56,3
2,Cornell,25,6,2,15,2,0,9,2,2,1,2,0,0.7878787878787878,0.7861635220125786,0.47444678958124625,0.5007561010656428,0.4933894938500118,0.5665830008906535,56,4
2,Denver,24,11,8,13,5,3,8,5,5,3,1,0,0.6511627906976745,0.6476190476190476,0.5596028455211339,0.5276456235127063,0.536593645675066,0.5643499961610614,56,5
2,Michigan,23,14,3,13,5,1,6,7,2,4,2,0,0.6125,0.6073298429319371,0.5424356816002727,0.5354891822184856,0.537434202045386,0.5549081122670239,54,6
2,Minnesota State,29,10,1,15,5,1,14,4,0,0,1,0,0.7375,0.73,0.5053010272789,0.48860424607211705,0.4932793448100163,0.5524595086075123,53,7
2,Minnesota-Duluth,25,16,3,12,6,2,8,8,1,5,2,0,0.6022727272727273,0.5981308411214955,0.5552381903009299,0.5269829721415011,0.5348944332261412,0.5507035351999798,53,8
2,Providence,24,12,4,13,3,0,6,6,4,5,3,0,0.65,0.6578947368421053,0.5039349964620863,0.5049248126989709,0.5046476641526433,0.5429594323250088,51,9
2,Northeastern,23,10,5,14,4,2,7,4,3,2,2,0,0.6710526315789473,0.6612021857923498,0.4903164797203776,0.4988059419188663,0.4964288925032895,0.5376222158255546,50,10
2,Penn State,18,15,5,11,5,3,7,9,2,0,1,0,0.5394736842105263,0.5384615384615384,0.5434467594359512,0.5298854719370995,0.5336826324367779,0.5348773589429681,49,11
2,Minnesota,19,17,2,13,5,1,4,12,1,2,0,0,0.5263157894736842,0.5229885057471264,0.5637461756046566,0.5334888913215579,0.5419609309208255,0.5372178246274008,48,12
2,North Dakota,17,13,10,10,5,6,6,7,4,1,1,0,0.55,0.5412371134020619,0.513063629985448,0.5330371236984028,0.5274445454587755,0.5308926874445972,47,13
2,Boston University,22,14,4,8,6,4,10,5,0,4,3,0,0.6,0.5911330049261084,0.5387961721795134,0.4996109174139171,0.510582788748284,0.5307203427927402,46,14
2,Clarkson,22,11,6,10,3,5,9,6,1,3,2,0,0.6410256410256411,0.6387434554973822,0.49891534611506283,0.49287454020872506,0.4945659658624997,0.5306103382712204,45,15
2,Nebraska-Omaha,17,17,2,12,4,2,5,13,0,0,0,0,0.5,0.5000000000000001,0.5484930756401891,0.5229157779911319,0.5300774213328678,0.5225580659996509,43,16
2,Boston College,20,14,3,11,5,2,9,5,0,0,4,1,0.581081081081081,0.5710382513661203,0.5311816258601603,0.5026735173111384,0.5106557877048645,0.5257514036201785,42,17
2,Princeton,19,13,4,9,6,3,8,6,1,2,1,0,0.5833333333333334,0.5754189944134079,0.5039650915952659,0.492243837889703,0.4955257889272607,0.5154990902987975,41,18
2,Bowling Green,23,12,6,11,4,5,10,8,1,2,0,0,0.6341463414634146,0.635,0.4623120050368018,0.4923316324818045,0.4839261367972038,0.5216946025979028,40,19
2,Mercyhurst,21,12,4,12,5,1,9,6,3,0,1,0,0.6216216216216216,0.6243093922651932,0.4602887490845055,0.486592065522885,0.47922713692013874,0.5154977007564023,40,20
2,Northern Michigan,25,15,3,17,5,0,7,8,2,1,2,1,0.6162790697674418,0.6113861386138614,0.4671168444009883,0.4899134887264776,0.48353042831534065,0.5154943558899708,40,21
2,Union,21,15,2,9,7,1,11,6,1,1,2,0,0.5789473684210527,0.5803108808290155,0.4800567531875358,0.4964428918508294,0.4918547730251072,0.5139687999760842,37,22
2,Air Force,23,15,5,8,7,1,12,6,4,3,2,0,0.5930232558139535,0.6045454545454544,0.46333794600099143,0.4848197270237605,0.4788048283373852,0.5102399848894025,37,23
2,Colorado College,15,17,5,8,6,3,7,11,2,0,0,0,0.47297297297297297,0.48044692737430167,0.4944100905358516,0.5321458972621029,0.5215798713787526,0.5112966353776398,36,24
2,Michigan Tech,22,17,5,9,5,2,10,9,3,3,3,0,0.5568181818181818,0.5714285714285715,0.4947824562922715,0.4848872943723483,0.4876579397099268,0.508600597639588,36,25
2,Western Michigan,15,19,2,10,7,2,5,12,0,0,0,0,0.4444444444444444,0.43529411764705883,0.5340116237497652,0.5301739678390596,0.5312485114940572,0.5072599130323076,34,26
2,Wisconsin,14,19,4,7,9,3,5,9,1,2,1,0,0.43243243243243246,0.4207650273224044,0.5510530702843403,0.5289825578251285,0.5351623013137078,0.506562982815882,34,27
2,Maine,18,16,4,8,7,3,9,8,1,1,1,0,0.5263157894736842,0.5263157894736842,0.4688460908897778,0.5099362294878025,0.4984309906803556,0.5054021903786878,32,28
2,Harvard,15,14,4,9,4,1,5,7,3,1,3,0,0.5151515151515151,0.5189873417721518,0.5041565629869151,0.49223567083053826,0.49557352063432375,0.5014269759187808,31,29
2,Miami,12,20,5,8,9,1,4,11,4,0,0,0,0.3918918918918919,0.3910614525139665,0.580200964917635,0.5214607713084138,0.5379080255189957,0.5011963822677384,31,30
2,Bemidji State,16,14,8,8,8,4,8,6,4,0,0,0,0.5263157894736842,0.5208333333333334,0.4835238612297277,0.4853427802835898,0.48483348294850837,0.49383344554471464,29,31
2,Quinnipiac,16,18,4,6,9,1,10,9,3,0,0,0,0.47368421052631576,0.4896907216494846,0.5066691662045699,0.4881516281622087,0.49333653881406986,0.49242508452292355,28,32
2,Michigan State,12,22,2,8,7,1,4,11,1,0,4,0,0.3611111111111111,0.3546511627906977,0.5552377162563908,0.5293646089935743,0.5366090790271629,0.49111959996804666,27,33
2,Canisius,19,17,2,11,7,1,8,9,1,0,1,0,0.5263157894736842,0.5243243243243243,0.4794856612581071,0.47664633344652746,0.4774413452337698,0.4891620900064084,26,34
