Team,Wins,Losses,Ties,HomeWins,HomeLosses,HomeTies,AwayWins,AwayLosses,AwayTies,NeutralWins,NeutralLosses,NeutralTies,Pct,AdjPct,OppWinPct,OppOppWinPct,SOS,RPI,Pairwise
Mercyhurst,21,12,4,12,5,1,9,6,3,0,1,0,0.6216216216216216,0.6243093922651932,0.4606949889285094,0.48674620784667666,0.4794518665495898,0.5156662479784907,39
Union,21,15,2,9,7,1,11,6,1,1,2,0,0.5789473684210527,0.5803108808290155,0.48144846426691734,0.4976312340406512,0.4931000585040058,0.5149027640852581,37
Air Force,23,15,5,8,7,1,12,6,4,3,2,0,0.5930232558139535,0.6045454545454544,0.4634678161308616,0.48511002782462764,0.4790502085503731,0.5104240200491434,37
Colorado College,15,17,5,8,6,3,7,11,2,0,0,0,0.47297297297297297,0.48044692737430167,0.495407481608826,0.5323473785603959,0.5220042074139564,0.5116148874040427,36
Michigan Tech,22,17,5,9,5,2,10,9,3,3,3,0,0.5568181818181818,0.5714285714285715,0.49562109820064776,0.48556948786780374,0.48838393876100006,0.509145096927893,36
Western Michigan,15,19,2,10,7,2,5,12,0,0,0,0,0.4444444444444444,0.43529411764705883,0.5361745316239034,0.530987568801016,0.5324399183914246,0.5081534682053331,34
Maine,18,16,4,8,7,3,9,8,1,1,1,0,0.5263157894736842,0.5263157894736842,0.46884364633141223,0.5099755379728771,0.498458608313267,0.5054229036033713,33
Wisconsin,14,19,4,7,9,3,5,9,1,2,1,0,0.43243243243243246,0.4207650273224044,0.5466908764332361,0.5256283281126275,0.5315258416423978,0.5038356380623995,33
Harvard,15,14,4,9,4,1,5,7,3,1,3,0,0.5151515151515151,0.5189873417721518,0.5054542443382505,0.493571236770448,0.4968984788894327,0.5024206946101125,31
Miami,12,20,5,8,9,1,4,11,4,0,0,0,0.3918918918918919,0.3910614525139665,0.5810836697109544,0.5220017556237899,0.538544691568196,0.5016738818046387,31
Bemidji State,16,14,8,8,8,4,8,6,4,0,0,0,0.5263157894736842,0.5208333333333334,0.48412703218561004,0.48678031562027946,0.486037396258572,0.4947363805272624,29
Quinnipiac,16,18,4,6,9,1,10,9,3,0,0,0,0.47368421052631576,0.4896907216494846,0.5081455513779276,0.4890266001096785,0.49437990646478835,0.4932076102609623,28
Colgate,17,17,6,11,6,2,6,11,4,0,0,0,0.5,0.5052631578947369,0.45642024601227205,0.4979248383126273,0.48630355246852786,0.4910434538250801,27
Canisius,19,17,2,11,7,1,8,9,1,0,1,0,0.5263157894736842,0.5243243243243243,0.48005512378995774,0.4773540954628416,0.47811038339443407,0.4896638686269067,26
Connecticut,15,19,2,8,8,1,7,11,1,0,0,0,0.4444444444444444,0.44886363636363635,0.49769493733309517,0.5035318834380907,0.501897538528692,0.4886390629874281,25
Michigan State,12,22,2,8,7,1,4,11,1,0,4,0,0.3611111111111111,0.3546511627906977,0.5517496155897677,0.5261170042841135,0.5332941354496967,0.48863339228494695,24
Massachusetts,17,20,2,11,8,0,6,12,2,0,0,0,0.46153846153846156,0.4623655913978494,0.5003116483994468,0.4956382232696907,0.4969467823060224,0.48830148457897915,24
Yale,15,15,1,9,7,1,5,7,0,1,1,0,0.5,0.48344370860927144,0.464496187726615,0.4942767870805701,0.4859382192614627,0.4853145915984149,21
Dartmouth,16,17,2,10,7,1,6,10,1,0,0,0,0.4857142857142857,0.4821428571428571,0.46957968990039517,0.49659168188357866,0.4890283241282873,0.48730695738192975,20
Army,15,15,6,6,8,4,9,7,2,0,0,0,0.5,0.5000000000000001,0.47166853009338966,0.4805470491231742,0.47806106379483454,0.48354579784612595,19
Massachusetts-Lowell,17,19,0,10,8,0,6,10,0,1,1,0,0.4722222222222222,0.4655172413793104,0.45790460750826933,0.5012215972317018,0.4890928401091406,0.4831989404266831,18
Merrimack,12,21,4,6,7,2,6,14,2,0,0,0,0.3783783783783784,0.3932584269662921,0.5156224215273855,0.4997148218967166,0.5041689497933038,0.47644131908655096,18
Robert Morris,18,20,3,8,8,3,8,10,0,2,2,0,0.47560975609756095,0.4729064039408867,0.4921299781032467,0.4790504532429127,0.48271272020380623,0.4802611411380764,17
American International,15,20,4,9,7,1,6,13,3,0,0,0,0.4358974358974359,0.44623655913978494,0.4807184143116485,0.47990239482944524,0.4801308802844622,0.47165729999829287,16
Bentley,13,18,6,6,7,2,7,11,4,0,0,0,0.43243243243243246,0.4505494505494506,0.4717881639391554,0.48018243717544057,0.4778320406692807,0.4710113931393232,16
Holy Cross,13,16,7,8,6,5,5,10,2,0,0,0,0.4583333333333333,0.45086705202312144,0.454864729427938,0.4824348442002907,0.47471521206403194,0.46875317205380435,16
RIT,15,20,2,6,13,1,9,7,1,0,0,0,0.43243243243243246,0.42783505154639173,0.48822496738159343,0.47814361538106537,0.48096639394121327,0.46768355834250785,14
Vermont,10,20,7,3,10,4,7,10,3,0,0,0,0.36486486486486486,0.3756613756613757,0.48126447024058705,0.49689598421768494,0.4925191603040975,0.4633047141434171,12
Sacred Heart,13,22,4,3,10,3,9,12,1,1,0,0,0.38461538461538464,0.4020100502512563,0.48933099418255466,0.4781853118472326,0.4813061029011228,0.4614820897386562,11
Ferris State,14,23,1,9,7,0,5,16,1,0,0,0,0.3815789473684211,0.38983050847457623,0.48205394244841693,0.4847447477188275,0.48399132224311253,0.46045111880097844,10
Alabama-Huntsville,12,23,2,6,7,1,6,16,1,0,0,0,0.35135135135135137,0.36931818181818177,0.5121797062597069,0.47805512065646244,0.48761000462537085,0.4580370489235736,9
New Hampshire,10,20,6,6,10,2,4,9,4,0,1,0,0.3611111111111111,0.3575418994413409,0.4795313285575666,0.4885180004578483,0.48600173232576943,0.4538867741046623,8
Arizona State,8,21,5,4,9,1,2,10,4,2,2,0,0.3088235294117647,0.31137724550898205,0.5040226623441781,0.49761290747841685,0.49940763884083006,0.45240004050786803,7
Niagara,11,22,3,5,9,2,6,13,1,0,0,0,0.3472222222222222,0.3559322033898305,0.4862625164126909,0.4787286689288941,0.4808381462243572,0.44961166051572554,6
Brown,8,19,4,5,9,1,3,10,3,0,0,0,0.3225806451612903,0.3223684210526316,0.49138578355974033,0.4881322712906716,0.48904325472601085,0.44737454630766604,5
Lake Superior,10,22,4,4,10,1,5,11,3,1,1,0,0.3333333333333333,0.34444444444444444,0.4638526382818179,0.48557622190154326,0.4794936184880202,0.4457313249771262,4
Alaska,11,22,3,7,9,1,4,13,2,0,0,0,0.3472222222222222,0.3468208092485549,0.457199316242855,0.4799183954138107,0.4735570532459431,0.44187299224659604,3
Rensselaer,6,27,4,3,12,1,3,12,3,0,3,0,0.21621621621621623,0.2216216216216216,0.5153765833630378,0.4880288655651036,0.49568622654852523,0.4271700753167993,2
St. Lawrence,8,27,2,4,11,2,3,16,0,1,0,0,0.24324324324324326,0.24022346368715083,0.4933319708424801,0.49334520646931407,0.49334150049380054,0.4300619912921382,1
Alaska-Anchorage,4,26,4,1,13,3,3,13,1,0,0,0,0.17647058823529413,0.18023255813953487,0.44735849817937395,0.48107222231132335,0.47163237955437753,0.39878242420066684,0
