Game,Season,Team,Win,Goals,Status,Opponent,OpponentGoals
460,20172018,Miami,Loss,0,Home,Cornell,4
460,20172018,Cornell,Win,4,Away,Miami,0
461,20172018,Connecticut,Win,8,Home,Massachusetts,2
461,20172018,Massachusetts,Loss,2,Away,Connecticut,8
462,20172018,Brown,Loss,1,Home,Bentley,3
462,20172018,Bentley,Win,3,Away,Brown,1
463,20172018,Rensselaer,Loss,3,Home,New Hampshire,6
463,20172018,New Hampshire,Win,6,Away,Rensselaer,3
464,20172018,Michigan,Win,4,Home,Michigan State,0
464,20172018,Michigan State,Loss,0,Away,Michigan,4
465,20172018,American International,Win,3,Home,Mercyhurst,1
465,20172018,Mercyhurst,Loss,1,Away,American International,3
466,20172018,Niagara,Loss,2,Home,Canisius,4
466,20172018,Canisius,Win,4,Away,Niagara,2
467,20172018,Michigan State,Win,5,Home,Michigan,0
467,20172018,Michigan,Loss,0,Away,Michigan State,5
468,20172018,Ohio State,Win,2,Home,Minnesota,1
468,20172018,Minnesota,Loss,1,Away,Ohio State,2
469,20172018,Wisconsin,Loss,2,Home,Notre Dame,3
469,20172018,Notre Dame,Win,3,Away,Wisconsin,2
470,20172018,Clarkson,Win,3,Home,St. Lawrence,1
470,20172018,St. Lawrence,Loss,1,Away,Clarkson,3
471,20172018,Massachusetts-Lowell,Win,3,Home,Boston University,2
471,20172018,Boston University,Loss,2,Away,Massachusetts-Lowell,3
472,20172018,Denver,Tie,4,Home,Colorado College,4
472,20172018,Colorado College,Tie,4,Away,Denver,4
473,20172018,St. Cloud State,Tie,2,Home,North Dakota,2
473,20172018,North Dakota,Tie,2,Away,St. Cloud State,2
474,20172018,Nebraska-Omaha,Win,7,Home,Minnesota-Duluth,5
474,20172018,Minnesota-Duluth,Loss,5,Away,Nebraska-Omaha,7
475,20172018,Western Michigan,Loss,2,Home,Miami,5
475,20172018,Miami,Win,5,Away,Western Michigan,2
476,20172018,Bowling Green,Tie,3,Home,Alabama-Huntsville,3
476,20172018,Alabama-Huntsville,Tie,3,Away,Bowling Green,3
477,20172018,Bemidji State,Tie,1,Home,Northern Michigan,1
477,20172018,Northern Michigan,Tie,1,Away,Bemidji State,1
478,20172018,Lake Superior,Loss,1,Home,Minnesota State,5
478,20172018,Minnesota State,Win,5,Away,Lake Superior,1
479,20172018,Michigan Tech,Loss,3,Home,Ferris State,4
479,20172018,Ferris State,Win,4,Away,Michigan Tech,3
480,20172018,Alaska-Anchorage,Loss,2,Home,Alaska,7
480,20172018,Alaska,Win,7,Away,Alaska-Anchorage,2
481,20172018,Arizona State,Loss,0,Home,Princeton,4
481,20172018,Princeton,Win,4,Away,Arizona State,0
482,20172018,Merrimack,Win,4,Home,Army,1
482,20172018,Army,Loss,1,Away,Merrimack,4
483,20172018,Providence,Win,8,Home,RIT,3
483,20172018,RIT,Loss,3,Away,Providence,8
484,20172018,Quinnipiac,Loss,4,Home,Maine,7
484,20172018,Maine,Win,7,Away,Quinnipiac,4
485,20172018,Robert Morris,Loss,2,Home,Penn State,5
485,20172018,Penn State,Win,5,Away,Robert Morris,2
486,20172018,Connecticut,Win,4,Home,Colgate,2
486,20172018,Colgate,Loss,2,Away,Connecticut,4
487,20172018,American International,Loss,2,Home,Mercyhurst,4
487,20172018,Mercyhurst,Win,4,Away,American International,2
488,20172018,Canisius,Win,8,Home,Niagara,2
488,20172018,Niagara,Loss,2,Away,Canisius,8
489,20172018,Ohio State,Win,4,Home,Minnesota,1
489,20172018,Minnesota,Loss,1,Away,Ohio State,4
490,20172018,Wisconsin,Loss,2,Home,Notre Dame,6
490,20172018,Notre Dame,Win,6,Away,Wisconsin,2
491,20172018,St. Lawrence,Loss,2,Home,Clarkson,4
491,20172018,Clarkson,Win,4,Away,St. Lawrence,2
492,20172018,Boston College,Loss,2,Home,Northeastern,5
492,20172018,Northeastern,Win,5,Away,Boston College,2
493,20172018,Boston University,Win,9,Home,Massachusetts-Lowell,3
493,20172018,Massachusetts-Lowell,Loss,3,Away,Boston University,9
494,20172018,Colorado College,Tie,1,Home,Denver,1
494,20172018,Denver,Tie,1,Away,Colorado College,1
495,20172018,St. Cloud State,Win,3,Home,North Dakota,1
495,20172018,North Dakota,Loss,1,Away,St. Cloud State,3
496,20172018,Nebraska-Omaha,Loss,2,Home,Minnesota-Duluth,6
496,20172018,Minnesota-Duluth,Win,6,Away,Nebraska-Omaha,2
497,20172018,Western Michigan,Win,4,Home,Miami,3
497,20172018,Miami,Loss,3,Away,Western Michigan,4
498,20172018,Bowling Green,Win,3,Home,Alabama-Huntsville,1
498,20172018,Alabama-Huntsville,Loss,1,Away,Bowling Green,3
499,20172018,Bemidji State,Tie,4,Home,Northern Michigan,4
499,20172018,Northern Michigan,Tie,4,Away,Bemidji State,4
500,20172018,Lake Superior,Loss,0,Home,Minnesota State,7
500,20172018,Minnesota State,Win,7,Away,Lake Superior,0
501,20172018,Michigan Tech,Win,5,Home,Ferris State,1
501,20172018,Ferris State,Loss,1,Away,Michigan Tech,5
502,20172018,Alaska-Anchorage,Loss,2,Home,Alaska,3
502,20172018,Alaska,Win,3,Away,Alaska-Anchorage,2
503,20172018,Arizona State,Win,4,Home,Princeton,3
503,20172018,Princeton,Loss,3,Away,Arizona State,4
504,20172018,Dartmouth,Loss,1,Home,Bentley,5
504,20172018,Bentley,Win,5,Away,Dartmouth,1
505,20172018,Providence,Loss,0,Home,RIT,4
505,20172018,RIT,Win,4,Away,Providence,0
506,20172018,Penn State,Win,7,Home,Robert Morris,4
506,20172018,Robert Morris,Loss,4,Away,Penn State,7
507,20172018,Quinnipiac,Loss,3,Home,Maine,5
507,20172018,Maine,Win,5,Away,Quinnipiac,3
508,20172018,Sacred Heart,Loss,1,Home,Yale,2
508,20172018,Yale,Win,2,Away,Sacred Heart,1
509,20172018,Union,Win,4,Home,Holy Cross,2
509,20172018,Holy Cross,Loss,2,Away,Union,4
510,20172018,New Hampshire,Loss,3,Home,Army,4
510,20172018,Army,Win,4,Away,New Hampshire,3
511,20172018,Vermont,Tie,2,Home,Brown,2
511,20172018,Brown,Tie,2,Away,Vermont,2
512,20172018,New Hampshire,Loss,3,Home,Merrimack,4
512,20172018,Merrimack,Win,4,Away,New Hampshire,3
513,20172018,Union,Loss,1,Home,Massachusetts,2
513,20172018,Massachusetts,Win,2,Away,Union,1
514,20172018,Bemidji State,Win,5,Home,Alaska-Anchorage,1
514,20172018,Alaska-Anchorage,Loss,1,Away,Bemidji State,5
515,20172018,Minnesota State,Win,5,Home,Alabama-Huntsville,1
515,20172018,Alabama-Huntsville,Loss,1,Away,Minnesota State,5
516,20172018,Michigan Tech,Win,3,Home,Lake Superior,0
516,20172018,Lake Superior,Loss,0,Away,Michigan Tech,3
517,20172018,Northern Michigan,Win,6,Home,Ferris State,1
517,20172018,Ferris State,Loss,1,Away,Northern Michigan,6
518,20172018,Denver,Win,1,Home,Dartmouth,0
518,20172018,Dartmouth,Loss,0,Away,Denver,1
519,20172018,Robert Morris,Win,5,Home,Mercyhurst,2
519,20172018,Mercyhurst,Loss,2,Away,Robert Morris,5
520,20172018,Merrimack,Tie,1,Home,Northeastern,1
520,20172018,Northeastern,Tie,1,Away,Merrimack,1
521,20172018,Bemidji State,Win,4,Home,Alaska-Anchorage,0
521,20172018,Alaska-Anchorage,Loss,0,Away,Bemidji State,4
522,20172018,Minnesota State,Win,3,Home,Alabama-Huntsville,0
522,20172018,Alabama-Huntsville,Loss,0,Away,Minnesota State,3
523,20172018,Michigan Tech,Tie,3,Home,Lake Superior,3
523,20172018,Lake Superior,Tie,3,Away,Michigan Tech,3
524,20172018,Northern Michigan,Win,4,Home,Ferris State,2
524,20172018,Ferris State,Loss,2,Away,Northern Michigan,4
525,20172018,Colorado College,Win,4,Home,Arizona State,0
525,20172018,Arizona State,Loss,0,Away,Colorado College,4
526,20172018,Denver,Loss,4,Home,Dartmouth,5
526,20172018,Dartmouth,Win,5,Away,Denver,4
527,20172018,Mercyhurst,Loss,3,Home,Robert Morris,5
527,20172018,Robert Morris,Win,5,Away,Mercyhurst,3
528,20172018,Colorado College,Tie,4,Home,Arizona State,4
528,20172018,Arizona State,Tie,4,Away,Colorado College,4
529,20172018,Bowling Green,Loss,2,Home,Western Michigan,5
529,20172018,Western Michigan,Win,5,Away,Bowling Green,2
530,20172018,Sacred Heart,Loss,1,Home,Holy Cross,4
530,20172018,Holy Cross,Win,4,Away,Sacred Heart,1
531,20172018,Bemidji State,Win,3,Home,Alabama-Huntsville,1
531,20172018,Alabama-Huntsville,Loss,1,Away,Bemidji State,3
532,20172018,Minnesota State,Loss,3,Home,Northern Michigan,4
532,20172018,Northern Michigan,Win,4,Away,Minnesota State,3
533,20172018,Air Force,Win,6,Home,Colorado College,3
533,20172018,Colorado College,Loss,3,Away,Air Force,6
534,20172018,Denver,Loss,2,Home,Merrimack,3
534,20172018,Merrimack,Win,3,Away,Denver,2
535,20172018,Ohio State,Win,3,Home,Niagara,2
535,20172018,Niagara,Loss,2,Away,Ohio State,3
536,20172018,Princeton,Tie,3,Home,St. Cloud State,3
536,20172018,St. Cloud State,Tie,3,Away,Princeton,3
537,20172018,Rensselaer,Loss,2,Home,Maine,3
537,20172018,Maine,Win,3,Away,Rensselaer,2
538,20172018,Minnesota,Win,3,Home,Army,0
538,20172018,Army,Loss,0,Away,Minnesota,3
539,20172018,Nebraska-Omaha,Win,5,Home,Union,1
539,20172018,Union,Loss,1,Away,Nebraska-Omaha,5
540,20172018,Dartmouth,Win,3,Home,New Hampshire,1
540,20172018,New Hampshire,Loss,1,Away,Dartmouth,3
541,20172018,Yale,Loss,0,Neutral,Minnesota-Duluth,5
541,20172018,Minnesota-Duluth,Win,5,Neutral,Yale,0
542,20172018,Massachusetts-Lowell,Win,5,Neutral,Harvard,2
542,20172018,Harvard,Loss,2,Neutral,Massachusetts-Lowell,5
543,20172018,Vermont,Loss,2,Home,St. Lawrence,3
543,20172018,St. Lawrence,Win,3,Away,Vermont,2
544,20172018,Providence,Win,6,Neutral,Arizona State,0
544,20172018,Arizona State,Loss,0,Neutral,Providence,6
545,20172018,Robert Morris,Win,5,Neutral,Lake Superior,0
545,20172018,Lake Superior,Loss,0,Neutral,Robert Morris,5
546,20172018,Holy Cross,Tie,5,Home,Sacred Heart,5
546,20172018,Sacred Heart,Tie,5,Away,Holy Cross,5
547,20172018,Boston College,Win,2,Home,Connecticut,0
547,20172018,Connecticut,Loss,0,Away,Boston College,2
548,20172018,Bemidji State,Win,4,Home,Alabama-Huntsville,1
548,20172018,Alabama-Huntsville,Loss,1,Away,Bemidji State,4
549,20172018,Minnesota State,Win,6,Home,Northern Michigan,3
549,20172018,Northern Michigan,Loss,3,Away,Minnesota State,6
550,20172018,Colorado College,Win,2,Home,Merrimack,1
550,20172018,Merrimack,Loss,1,Away,Colorado College,2
551,20172018,Cornell,Win,6,Home,Canisius,2
551,20172018,Canisius,Loss,2,Away,Cornell,6
552,20172018,Denver,Win,6,Home,Air Force,0
552,20172018,Air Force,Loss,0,Away,Denver,6
553,20172018,Northeastern,Win,3,Home,American International,1
553,20172018,American International,Loss,1,Away,Northeastern,3
554,20172018,Ohio State,Win,4,Home,Niagara,1
554,20172018,Niagara,Loss,1,Away,Ohio State,4
555,20172018,Princeton,Tie,2,Home,St. Cloud State,2
555,20172018,St. Cloud State,Tie,2,Away,Princeton,2
556,20172018,Rensselaer,Loss,2,Home,Maine,5
556,20172018,Maine,Win,5,Away,Rensselaer,2
557,20172018,Minnesota,Win,4,Home,Army,1
557,20172018,Army,Loss,1,Away,Minnesota,4
558,20172018,Nebraska-Omaha,Win,5,Home,Union,3
558,20172018,Union,Loss,3,Away,Nebraska-Omaha,5
559,20172018,Dartmouth,Tie,2,Home,Minnesota-Duluth,2
559,20172018,Minnesota-Duluth,Tie,2,Away,Dartmouth,2
560,20172018,New Hampshire,Loss,2,Neutral,Yale,4
560,20172018,Yale,Win,4,Neutral,New Hampshire,2
561,20172018,Massachusetts-Lowell,Loss,0,Neutral,St. Lawrence,3
561,20172018,St. Lawrence,Win,3,Neutral,Massachusetts-Lowell,0
562,20172018,Vermont,Loss,1,Home,Harvard,4
562,20172018,Harvard,Win,4,Away,Vermont,1
563,20172018,Arizona State,Loss,1,Neutral,Lake Superior,4
563,20172018,Lake Superior,Win,4,Neutral,Arizona State,1
564,20172018,Robert Morris,Loss,1,Neutral,Providence,2
564,20172018,Providence,Win,2,Neutral,Robert Morris,1
565,20172018,Michigan Tech,Win,5,Neutral,Michigan State,2
565,20172018,Michigan State,Loss,2,Neutral,Michigan Tech,5
566,20172018,Michigan,Loss,4,Neutral,Bowling Green,6
566,20172018,Bowling Green,Win,6,Neutral,Michigan,4
567,20172018,Clarkson,Win,4,Home,Canisius,0
567,20172018,Canisius,Loss,0,Away,Clarkson,4
568,20172018,Connecticut,Loss,0,Home,Quinnipiac,3
568,20172018,Quinnipiac,Win,3,Away,Connecticut,0
569,20172018,Michigan Tech,Loss,1,Neutral,Bowling Green,4
569,20172018,Bowling Green,Win,4,Neutral,Michigan Tech,1
570,20172018,Michigan,Win,6,Neutral,Michigan State,4
570,20172018,Michigan State,Loss,4,Neutral,Michigan,6
571,20172018,Providence,Win,5,Home,Brown,0
571,20172018,Brown,Loss,0,Away,Providence,5
572,20172018,Air Force,Loss,0,Home,Mercyhurst,1
572,20172018,Mercyhurst,Win,1,Away,Air Force,0
573,20172018,American International,Win,2,Home,Holy Cross,1
573,20172018,Holy Cross,Loss,1,Away,American International,2
574,20172018,Niagara,Win,4,Home,RIT,3
574,20172018,RIT,Loss,3,Away,Niagara,4
575,20172018,Michigan State,Loss,1,Home,Ohio State,4
575,20172018,Ohio State,Win,4,Away,Michigan State,1
576,20172018,Penn State,Win,5,Home,Wisconsin,1
576,20172018,Wisconsin,Loss,1,Away,Penn State,5
577,20172018,Michigan,Loss,1,Home,Notre Dame,2
577,20172018,Notre Dame,Win,2,Away,Michigan,1
578,20172018,Colgate,Loss,3,Home,Quinnipiac,4
578,20172018,Quinnipiac,Win,4,Away,Colgate,3
579,20172018,Cornell,Win,7,Home,Princeton,1
579,20172018,Princeton,Loss,1,Away,Cornell,7
580,20172018,Dartmouth,Loss,1,Home,Union,4
580,20172018,Union,Win,4,Away,Dartmouth,1
581,20172018,Harvard,Win,3,Home,Rensselaer,0
581,20172018,Rensselaer,Loss,0,Away,Harvard,3
582,20172018,Connecticut,Loss,2,Home,Merrimack,3
582,20172018,Merrimack,Win,3,Away,Connecticut,2
583,20172018,Massachusetts-Lowell,Win,6,Home,Vermont,0
583,20172018,Vermont,Loss,0,Away,Massachusetts-Lowell,6
584,20172018,Miami,Win,4,Home,Denver,3
584,20172018,Denver,Loss,3,Away,Miami,4
585,20172018,North Dakota,Loss,1,Home,Nebraska-Omaha,4
585,20172018,Nebraska-Omaha,Win,4,Away,North Dakota,1
586,20172018,Lake Superior,Loss,0,Home,Bemidji State,3
586,20172018,Bemidji State,Win,3,Away,Lake Superior,0
587,20172018,Alaska-Anchorage,Loss,2,Home,Minnesota State,5
587,20172018,Minnesota State,Win,5,Away,Alaska-Anchorage,2
588,20172018,Alaska,Win,3,Home,Alabama-Huntsville,2
588,20172018,Alabama-Huntsville,Loss,2,Away,Alaska,3
589,20172018,Bentley,Tie,3,Home,Northeastern,3
589,20172018,Northeastern,Tie,3,Away,Bentley,3
590,20172018,St. Lawrence,Tie,4,Home,Canisius,4
590,20172018,Canisius,Tie,4,Away,St. Lawrence,4
591,20172018,Yale,Win,5,Home,Massachusetts,3
591,20172018,Massachusetts,Loss,3,Away,Yale,5
592,20172018,Arizona State,Win,7,Neutral,Northern Michigan,3
592,20172018,Northern Michigan,Loss,3,Neutral,Arizona State,7
593,20172018,Michigan Tech,Win,4,Neutral,Boston College,3
593,20172018,Boston College,Loss,3,Neutral,Michigan Tech,4
594,20172018,Air Force,Win,5,Home,Mercyhurst,1
594,20172018,Mercyhurst,Loss,1,Away,Air Force,5
595,20172018,Holy Cross,Loss,2,Home,American International,4
595,20172018,American International,Win,4,Away,Holy Cross,2
596,20172018,Niagara,Tie,2,Home,RIT,2
596,20172018,RIT,Tie,2,Away,Niagara,2
597,20172018,Sacred Heart,Tie,3,Home,Army,3
597,20172018,Army,Tie,3,Away,Sacred Heart,3
598,20172018,Michigan State,Loss,3,Home,Ohio State,5
598,20172018,Ohio State,Win,5,Away,Michigan State,3
599,20172018,Penn State,Tie,3,Home,Wisconsin,3
599,20172018,Wisconsin,Tie,3,Away,Penn State,3
600,20172018,Colgate,Win,4,Home,Princeton,0
600,20172018,Princeton,Loss,0,Away,Colgate,4
601,20172018,Cornell,Win,1,Home,Quinnipiac,0
601,20172018,Quinnipiac,Loss,0,Away,Cornell,1
602,20172018,Dartmouth,Win,6,Home,Rensselaer,5
602,20172018,Rensselaer,Loss,5,Away,Dartmouth,6
603,20172018,Harvard,Win,4,Home,Union,3
603,20172018,Union,Loss,3,Away,Harvard,4
604,20172018,Boston University,Loss,0,Home,Maine,3
604,20172018,Maine,Win,3,Away,Boston University,0
605,20172018,Providence,Win,5,Home,Merrimack,2
605,20172018,Merrimack,Loss,2,Away,Providence,5
606,20172018,Massachusetts-Lowell,Win,8,Home,Massachusetts,3
606,20172018,Massachusetts,Loss,3,Away,Massachusetts-Lowell,8
607,20172018,Miami,Loss,1,Home,Denver,4
607,20172018,Denver,Win,4,Away,Miami,1
608,20172018,North Dakota,Win,7,Home,Nebraska-Omaha,0
608,20172018,Nebraska-Omaha,Loss,0,Away,North Dakota,7
609,20172018,Ferris State,Loss,3,Home,Bowling Green,6
609,20172018,Bowling Green,Win,6,Away,Ferris State,3
610,20172018,Lake Superior,Loss,3,Home,Bemidji State,6
610,20172018,Bemidji State,Win,6,Away,Lake Superior,3
611,20172018,Alaska-Anchorage,Loss,1,Home,Minnesota State,4
611,20172018,Minnesota State,Win,4,Away,Alaska-Anchorage,1
612,20172018,Alaska,Loss,1,Home,Alabama-Huntsville,3
612,20172018,Alabama-Huntsville,Win,3,Away,Alaska,1
613,20172018,Northeastern,Win,6,Home,Bentley,1
613,20172018,Bentley,Loss,1,Away,Northeastern,6
614,20172018,St. Cloud State,Win,5,Home,Minnesota,2
614,20172018,Minnesota,Loss,2,Away,St. Cloud State,5
615,20172018,St. Lawrence,Win,4,Home,Canisius,1
615,20172018,Canisius,Loss,1,Away,St. Lawrence,4
616,20172018,New Hampshire,Tie,4,Home,Brown,4
616,20172018,Brown,Tie,4,Away,New Hampshire,4
617,20172018,Arizona State,Win,3,Neutral,Michigan Tech,2
617,20172018,Michigan Tech,Loss,2,Neutral,Arizona State,3
618,20172018,Boston College,Tie,3,Neutral,Northern Michigan,3
618,20172018,Northern Michigan,Tie,3,Neutral,Boston College,3
619,20172018,Notre Dame,Win,2,Home,Michigan,1
619,20172018,Michigan,Loss,1,Away,Notre Dame,2
620,20172018,Ferris State,Loss,0,Home,Bowling Green,3
620,20172018,Bowling Green,Win,3,Away,Ferris State,0
621,20172018,Minnesota,Win,2,Home,St. Cloud State,0
621,20172018,St. Cloud State,Loss,0,Away,Minnesota,2
622,20172018,Brown,Tie,4,Home,Maine,4
622,20172018,Maine,Tie,4,Away,Brown,4
623,20172018,Bentley,Loss,1,Home,Sacred Heart,4
623,20172018,Sacred Heart,Win,4,Away,Bentley,1
624,20172018,Niagara,Loss,1,Home,Robert Morris,3
624,20172018,Robert Morris,Win,3,Away,Niagara,1
625,20172018,Rensselaer,Tie,2,Home,Harvard,2
625,20172018,Harvard,Tie,2,Away,Rensselaer,2
626,20172018,Army,Tie,3,Home,Bentley,3
626,20172018,Bentley,Tie,3,Away,Army,3
627,20172018,Canisius,Loss,0,Home,American International,3
627,20172018,American International,Win,3,Away,Canisius,0
628,20172018,Mercyhurst,Win,3,Home,Niagara,2
628,20172018,Niagara,Loss,2,Away,Mercyhurst,3
629,20172018,RIT,Loss,1,Home,Air Force,2
629,20172018,Air Force,Win,2,Away,RIT,1
630,20172018,Sacred Heart,Loss,1,Home,Holy Cross,3
630,20172018,Holy Cross,Win,3,Away,Sacred Heart,1
631,20172018,Penn State,Win,5,Home,Ohio State,2
631,20172018,Ohio State,Loss,2,Away,Penn State,5
632,20172018,Minnesota,Loss,3,Home,Michigan,5
632,20172018,Michigan,Win,5,Away,Minnesota,3
633,20172018,Wisconsin,Loss,0,Home,Michigan State,2
633,20172018,Michigan State,Win,2,Away,Wisconsin,0
634,20172018,Brown,Loss,1,Home,Colgate,2
634,20172018,Colgate,Win,2,Away,Brown,1
635,20172018,Dartmouth,Win,4,Home,Quinnipiac,3
635,20172018,Quinnipiac,Loss,3,Away,Dartmouth,4
636,20172018,Harvard,Win,3,Home,Princeton,1
636,20172018,Princeton,Loss,1,Away,Harvard,3
637,20172018,Rensselaer,Win,2,Home,St. Lawrence,1
637,20172018,St. Lawrence,Loss,1,Away,Rensselaer,2
638,20172018,Union,Loss,1,Home,Clarkson,4
638,20172018,Clarkson,Win,4,Away,Union,1
639,20172018,Yale,Tie,3,Home,Cornell,3
639,20172018,Cornell,Tie,3,Away,Yale,3
640,20172018,Boston College,Loss,1,Home,Providence,4
640,20172018,Providence,Win,4,Away,Boston College,1
641,20172018,Merrimack,Win,3,Home,Connecticut,0
641,20172018,Connecticut,Loss,0,Away,Merrimack,3
642,20172018,Northeastern,Win,5,Home,Maine,3
642,20172018,Maine,Loss,3,Away,Northeastern,5
643,20172018,New Hampshire,Loss,2,Home,Boston University,3
643,20172018,Boston University,Win,3,Away,New Hampshire,2
644,20172018,Vermont,Tie,2,Home,Massachusetts,2
644,20172018,Massachusetts,Tie,2,Away,Vermont,2
645,20172018,Colorado College,Loss,5,Home,Minnesota-Duluth,6
645,20172018,Minnesota-Duluth,Win,6,Away,Colorado College,5
646,20172018,St. Cloud State,Loss,5,Home,Western Michigan,7
646,20172018,Western Michigan,Win,7,Away,St. Cloud State,5
647,20172018,Nebraska-Omaha,Win,11,Home,Miami,7
647,20172018,Miami,Loss,7,Away,Nebraska-Omaha,11
648,20172018,Lake Superior,Loss,0,Home,Ferris State,4
648,20172018,Ferris State,Win,4,Away,Lake Superior,0
649,20172018,Northern Michigan,Win,5,Home,Bowling Green,2
649,20172018,Bowling Green,Loss,2,Away,Northern Michigan,5
650,20172018,Alaska-Anchorage,Loss,2,Home,Alabama-Huntsville,4
650,20172018,Alabama-Huntsville,Win,4,Away,Alaska-Anchorage,2
651,20172018,Alaska,Win,5,Home,Minnesota State,0
651,20172018,Minnesota State,Loss,0,Away,Alaska,5
652,20172018,Arizona State,Loss,0,Home,Massachusetts-Lowell,4
652,20172018,Massachusetts-Lowell,Win,4,Away,Arizona State,0
653,20172018,Bemidji State,Loss,1,Home,North Dakota,5
653,20172018,North Dakota,Win,5,Away,Bemidji State,1
654,20172018,Army,Win,4,Home,Bentley,0
654,20172018,Bentley,Loss,0,Away,Army,4
655,20172018,Canisius,Win,6,Home,American International,1
655,20172018,American International,Loss,1,Away,Canisius,6
656,20172018,Holy Cross,Win,4,Home,Sacred Heart,2
656,20172018,Sacred Heart,Loss,2,Away,Holy Cross,4
657,20172018,Mercyhurst,Win,3,Home,Niagara,2
657,20172018,Niagara,Loss,2,Away,Mercyhurst,3
658,20172018,RIT,Loss,0,Home,Air Force,4
658,20172018,Air Force,Win,4,Away,RIT,0
659,20172018,Penn State,Loss,1,Home,Ohio State,5
659,20172018,Ohio State,Win,5,Away,Penn State,1
660,20172018,Minnesota,Loss,1,Home,Michigan,3
660,20172018,Michigan,Win,3,Away,Minnesota,1
661,20172018,Wisconsin,Win,5,Home,Michigan State,2
661,20172018,Michigan State,Loss,2,Away,Wisconsin,5
662,20172018,Brown,Loss,1,Home,Cornell,3
662,20172018,Cornell,Win,3,Away,Brown,1
663,20172018,Dartmouth,Loss,3,Home,Princeton,6
663,20172018,Princeton,Win,6,Away,Dartmouth,3
664,20172018,Harvard,Tie,2,Home,Quinnipiac,2
664,20172018,Quinnipiac,Tie,2,Away,Harvard,2
665,20172018,Rensselaer,Loss,0,Home,Clarkson,3
665,20172018,Clarkson,Win,3,Away,Rensselaer,0
666,20172018,Union,Win,5,Home,St. Lawrence,4
666,20172018,St. Lawrence,Loss,4,Away,Union,5
667,20172018,Yale,Win,5,Home,Colgate,1
667,20172018,Colgate,Loss,1,Away,Yale,5
668,20172018,Boston University,Tie,2,Home,Providence,2
668,20172018,Providence,Tie,2,Away,Boston University,2
669,20172018,Northeastern,Win,5,Home,Maine,3
669,20172018,Maine,Loss,3,Away,Northeastern,5
670,20172018,Vermont,Loss,3,Home,Massachusetts,6
670,20172018,Massachusetts,Win,6,Away,Vermont,3
671,20172018,Colorado College,Loss,1,Home,Minnesota-Duluth,5
671,20172018,Minnesota-Duluth,Win,5,Away,Colorado College,1
672,20172018,St. Cloud State,Win,4,Home,Western Michigan,3
672,20172018,Western Michigan,Loss,3,Away,St. Cloud State,4
673,20172018,Nebraska-Omaha,Win,4,Home,Miami,3
673,20172018,Miami,Loss,3,Away,Nebraska-Omaha,4
674,20172018,Lake Superior,Win,5,Home,Ferris State,3
674,20172018,Ferris State,Loss,3,Away,Lake Superior,5
675,20172018,Northern Michigan,Win,3,Home,Bowling Green,2
675,20172018,Bowling Green,Loss,2,Away,Northern Michigan,3
676,20172018,Alaska-Anchorage,Win,2,Home,Alabama-Huntsville,1
676,20172018,Alabama-Huntsville,Loss,1,Away,Alaska-Anchorage,2
677,20172018,Alaska,Loss,1,Home,Minnesota State,5
677,20172018,Minnesota State,Win,5,Away,Alaska,1
678,20172018,Arizona State,Win,4,Home,Massachusetts-Lowell,0
678,20172018,Massachusetts-Lowell,Loss,0,Away,Arizona State,4
679,20172018,North Dakota,Tie,2,Home,Bemidji State,2
679,20172018,Bemidji State,Tie,2,Away,North Dakota,2
680,20172018,Boston College,Win,5,Home,New Hampshire,2
680,20172018,New Hampshire,Loss,2,Away,Boston College,5
681,20172018,Bentley,Loss,2,Home,Sacred Heart,4
681,20172018,Sacred Heart,Win,4,Away,Bentley,2
682,20172018,Mercyhurst,Win,6,Home,RIT,3
682,20172018,RIT,Loss,3,Away,Mercyhurst,6
683,20172018,Maine,Win,3,Home,Massachusetts,1
683,20172018,Massachusetts,Loss,1,Away,Maine,3
684,20172018,Michigan State,Loss,4,Home,Minnesota,5
684,20172018,Minnesota,Win,5,Away,Michigan State,4
685,20172018,Connecticut,Loss,1,Home,Providence,3
685,20172018,Providence,Win,3,Away,Connecticut,1
686,20172018,Air Force,Loss,1,Home,Sacred Heart,2
686,20172018,Sacred Heart,Win,2,Away,Air Force,1
687,20172018,Holy Cross,Win,3,Home,Niagara,1
687,20172018,Niagara,Loss,1,Away,Holy Cross,3
688,20172018,Mercyhurst,Win,3,Home,American International,1
688,20172018,American International,Loss,1,Away,Mercyhurst,3
689,20172018,RIT,Loss,4,Home,Canisius,5
689,20172018,Canisius,Win,5,Away,RIT,4
690,20172018,Robert Morris,Win,3,Home,Bentley,2
690,20172018,Bentley,Loss,2,Away,Robert Morris,3
691,20172018,Notre Dame,Win,4,Home,Wisconsin,2
691,20172018,Wisconsin,Loss,2,Away,Notre Dame,4
692,20172018,Michigan,Win,4,Home,Penn State,0
692,20172018,Penn State,Loss,0,Away,Michigan,4
693,20172018,Brown,Win,2,Home,Rensselaer,1
693,20172018,Rensselaer,Loss,1,Away,Brown,2
694,20172018,Clarkson,Tie,6,Home,Harvard,6
694,20172018,Harvard,Tie,6,Away,Clarkson,6
695,20172018,Cornell,Win,2,Home,Colgate,0
695,20172018,Colgate,Loss,0,Away,Cornell,2
696,20172018,St. Lawrence,Loss,2,Home,Dartmouth,3
696,20172018,Dartmouth,Win,3,Away,St. Lawrence,2
697,20172018,Yale,Loss,2,Home,Union,3
697,20172018,Union,Win,3,Away,Yale,2
