Game,Season,Team,Win,Goals,Status,Opponent,OpponentGoals
130,20172018,Northern Michigan,Loss,0,Neutral,Wisconsin,4
130,20172018,Wisconsin,Win,4,Neutral,Northern Michigan,0
131,20172018,Northeastern,Loss,2,Home,Quinnipiac,3
131,20172018,Quinnipiac,Win,3,Away,Northeastern,2
132,20172018,RIT,Loss,3,Home,Rensselaer,8
132,20172018,Rensselaer,Win,8,Away,RIT,3
133,20172018,St. Cloud State,Win,3,Home,Boston College,1
133,20172018,Boston College,Loss,1,Away,St. Cloud State,3
134,20172018,St. Lawrence,Loss,0,Home,Massachusetts-Lowell,5
134,20172018,Massachusetts-Lowell,Win,5,Away,St. Lawrence,0
135,20172018,Michigan,Win,3,Home,Vermont,2
135,20172018,Vermont,Loss,2,Away,Michigan,3
136,20172018,Massachusetts,Loss,0,Home,Ohio State,3
136,20172018,Ohio State,Win,3,Away,Massachusetts,0
137,20172018,Minnesota-Duluth,Win,7,Home,Merrimack,2
137,20172018,Merrimack,Loss,2,Away,Minnesota-Duluth,7
138,20172018,North Dakota,Win,4,Home,Minnesota,0
138,20172018,Minnesota,Loss,0,Away,North Dakota,4
139,20172018,New Hampshire,Loss,1,Home,Colorado College,2
139,20172018,Colorado College,Win,2,Away,New Hampshire,1
140,20172018,Nebraska-Omaha,Tie,4,Home,Arizona State,4
140,20172018,Arizona State,Tie,4,Away,Nebraska-Omaha,4
141,20172018,Western Michigan,Win,3,Home,Michigan State,1
141,20172018,Michigan State,Loss,1,Away,Western Michigan,3
142,20172018,Alaska,Win,3,Home,Alaska-Anchorage,2
142,20172018,Alaska-Anchorage,Loss,2,Away,Alaska,3
143,20172018,American International,Tie,2,Home,Bentley,2
143,20172018,Bentley,Tie,2,Away,American International,2
144,20172018,Notre Dame,Loss,4,Home,Nebraska-Omaha,6
144,20172018,Nebraska-Omaha,Win,6,Away,Notre Dame,4
145,20172018,Army,Loss,4,Home,RIT,5
145,20172018,RIT,Win,5,Away,Army,4
146,20172018,Bentley,Win,4,Home,Mercyhurst,3
146,20172018,Mercyhurst,Loss,3,Away,Bentley,4
147,20172018,Canisius,Loss,1,Home,Air Force,3
147,20172018,Air Force,Win,3,Away,Canisius,1
148,20172018,Sacred Heart,Loss,2,Home,Niagara,3
148,20172018,Niagara,Win,3,Away,Sacred Heart,2
149,20172018,Penn State,Win,5,Home,Michigan,4
149,20172018,Michigan,Loss,4,Away,Penn State,5
150,20172018,Union,Win,4,Home,Rensselaer,3
150,20172018,Rensselaer,Loss,3,Away,Union,4
151,20172018,Yale,Loss,1,Home,Brown,4
151,20172018,Brown,Win,4,Away,Yale,1
152,20172018,Providence,Win,2,Home,Boston College,1
152,20172018,Boston College,Loss,1,Away,Providence,2
153,20172018,Massachusetts,Win,4,Home,Merrimack,0
153,20172018,Merrimack,Loss,0,Away,Massachusetts,4
154,20172018,Massachusetts-Lowell,Loss,1,Home,Northeastern,3
154,20172018,Northeastern,Win,3,Away,Massachusetts-Lowell,1
155,20172018,Colorado College,Win,2,Home,North Dakota,1
155,20172018,North Dakota,Loss,1,Away,Colorado College,2
156,20172018,Bowling Green,Win,2,Home,Alaska,1
156,20172018,Alaska,Loss,1,Away,Bowling Green,2
157,20172018,Bemidji State,Tie,2,Home,Ferris State,2
157,20172018,Ferris State,Tie,2,Away,Bemidji State,2
158,20172018,Minnesota State,Win,3,Home,Michigan Tech,1
158,20172018,Michigan Tech,Loss,1,Away,Minnesota State,3
159,20172018,Boston University,Loss,3,Home,Denver,4
159,20172018,Denver,Win,4,Away,Boston University,3
160,20172018,Colgate,Win,3,Home,Arizona State,0
160,20172018,Arizona State,Loss,0,Away,Colgate,3
161,20172018,Cornell,Win,5,Home,Alabama-Huntsville,1
161,20172018,Alabama-Huntsville,Loss,1,Away,Cornell,5
162,20172018,Holy Cross,Win,5,Home,Dartmouth,3
162,20172018,Dartmouth,Loss,3,Away,Holy Cross,5
163,20172018,Maine,Loss,1,Home,Minnesota-Duluth,2
163,20172018,Minnesota-Duluth,Win,2,Away,Maine,1
164,20172018,Michigan State,Win,4,Home,Lake Superior,3
164,20172018,Lake Superior,Loss,3,Away,Michigan State,4
165,20172018,Miami,Win,3,Home,Connecticut,0
165,20172018,Connecticut,Loss,0,Away,Miami,3
166,20172018,Notre Dame,Win,5,Home,Nebraska-Omaha,4
166,20172018,Nebraska-Omaha,Loss,4,Away,Notre Dame,5
167,20172018,Ohio State,Win,5,Home,Robert Morris,3
167,20172018,Robert Morris,Loss,3,Away,Ohio State,5
168,20172018,Minnesota,Win,3,Home,Clarkson,1
168,20172018,Clarkson,Loss,1,Away,Minnesota,3
