"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
20162017,"Michigan State",3,"@","Lake Superior",7,"","","2016-10-15","NC","Win","Loss","No","No","No","WCHA","Big Ten"
20162017,"Quinnipiac",3,"@","Maine",2,"OT","","2016-10-15","NC","Loss","Win","No","No","No","Hockey East","ECAC"
20162017,"St. Cloud State",4,"@","Minnesota State",6,"","","2016-10-15","NC","Win","Loss","No","No","No","WCHA","NCHC"
20162017,"Ohio State",1,"@","Miami",1,"OT","","2016-10-15","NC","Tie","Tie","No","No","No","NCHC","Big Ten"
20162017,"Bentley",3,"@","Northeastern",7,"","","2016-10-15","NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
20162017,"Connecticut",1,"@","RIT",1,"OT","","2016-10-15","NC","Tie","Tie","No","No","No","Atlantic Hockey","Hockey East"
20162017,"Union",4,"@","Sacred Heart",4,"OT","","2016-10-15","NC","Tie","Tie","No","No","No","Atlantic Hockey","ECAC"
20162017,"Merrimack",1,"@","St. Lawrence",4,"","","2016-10-15","NC","Win","Loss","No","No","No","ECAC","Hockey East"
20162017,"Notre Dame",3,"@","Minnesota-Duluth",1,"","","2016-10-15","NC","Loss","Win","No","No","No","NCHC","Hockey East"
20162017,"Rensselaer",2,"@","North Dakota",5,"","","2016-10-15","NC","Win","Loss","No","No","No","NCHC","ECAC"
20162017,"Bowling Green",2,"@","Western Michigan",8,"","","2016-10-15","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Canisius",0,"vs.","Alaska-Anchorage",1,"","Alaska Goal Rush","2016-10-15","NC","Win","Loss","Yes","No","No","WCHA","Atlantic Hockey"
20162017,"Nebraska-Omaha",4,"@","Alaska",3,"OT","Alaska Goal Rush","2016-10-15","NC","Loss","Win","Yes","No","No","WCHA","NCHC"
20162017,"Air Force",2,"@","Arizona State",5,"","","2016-10-16","NC","Win","Loss","No","No","No","Independent","Atlantic Hockey"
20162017,"Boston College",8,"@","Wisconsin",5,"","","2016-10-16","NC","Loss","Win","No","No","No","Big Ten","Hockey East"
20162017,"Niagara",2,"@","Mercyhurst",4,"","","2016-10-18","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Connecticut",2,"@","Quinnipiac",5,"","","2016-10-19","NC","Win","Loss","No","No","No","ECAC","Hockey East"
20162017,"Bentley",2,"@","Air Force",5,"","","2016-10-21","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Robert Morris",3,"@","Canisius",6,"","","2016-10-21","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Northern Michigan",6,"@","Ferris State",4,"","","2016-10-21","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Minnesota State",7,"@","Alaska",1,"","","2016-10-21","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Lake Superior",6,"@","Alabama-Huntsville",3,"","","2016-10-21","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Colorado College",1,"@","Boston College",4,"","","2016-10-21","NC","Win","Loss","No","No","No","Hockey East","NCHC"
20162017,"Ohio State",5,"@","Bowling Green",4,"","","2016-10-21","NC","Loss","Win","No","No","No","WCHA","Big Ten"
20162017,"Sacred Heart",0,"@","Boston University",7,"","","2016-10-21","NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
20162017,"Colgate",3,"@","Merrimack",4,"","","2016-10-21","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"Denver",2,"@","Michigan State",1,"","","2016-10-21","NC","Loss","Win","No","No","No","Big Ten","NCHC"
20162017,"Maine",3,"@","Miami",3,"OT","","2016-10-21","NC","Tie","Tie","No","No","No","NCHC","Hockey East"
20162017,"Penn State",3,"@","Notre Dame",3,"OT","","2016-10-21","NC","Tie","Tie","No","No","No","Hockey East","Big Ten"
20162017,"Arizona State",2,"@","Northeastern",5,"","","2016-10-21","NC","Win","Loss","No","No","No","Hockey East","Independent"
20162017,"Clarkson",3,"@","Providence",3,"OT","","2016-10-21","NC","Tie","Tie","No","No","No","Hockey East","ECAC"
20162017,"Niagara",3,"@","Rensselaer",3,"OT","","2016-10-21","NC","Tie","Tie","No","No","No","ECAC","Atlantic Hockey"
20162017,"RIT",2,"@","Union",5,"","","2016-10-21","NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20162017,"American International",2,"@","Connecticut",2,"OT","","2016-10-21","NC","Tie","Tie","No","No","No","Hockey East","Atlantic Hockey"
20162017,"Michigan Tech",3,"@","Michigan",4,"","","2016-10-21","NC","Win","Loss","No","No","No","Big Ten","WCHA"
20162017,"Army",2,"@","Massachusetts",3,"","","2016-10-21","NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
20162017,"St. Lawrence",2,"@","Massachusetts-Lowell",5,"","","2016-10-21","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"St. Cloud State",6,"@","Minnesota",5,"OT","","2016-10-21","NC","Loss","Win","No","No","No","Big Ten","NCHC"
20162017,"Bemidji State",2,"@","North Dakota",3,"","","2016-10-21","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Vermont",4,"@","Nebraska-Omaha",4,"OT","","2016-10-21","NC","Tie","Tie","No","No","No","NCHC","Hockey East"
20162017,"Bentley",6,"@","Air Force",1,"","","2016-10-22","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Robert Morris",2,"@","Canisius",2,"OT","","2016-10-22","AH","Tie","Tie","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Northern Michigan",2,"@","Ferris State",2,"OT","Ferris State Wins Shootout 1-0","2016-10-22","WC","Tie","Tie","Yes","No","No","WCHA","WCHA"
20162017,"Minnesota State",2,"@","Alaska",4,"","","2016-10-22","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Lake Superior",5,"@","Alabama-Huntsville",2,"","","2016-10-22","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Quinnipiac",0,"@","Boston University",3,"","","2016-10-22","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"Boston College",6,"@","Holy Cross",1,"","","2016-10-22","NC","Loss","Win","No","No","No","Atlantic Hockey","Hockey East"
20162017,"Colgate",2,"@","Merrimack",5,"","","2016-10-22","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"Denver",3,"@","Michigan State",1,"","","2016-10-22","NC","Loss","Win","No","No","No","Big Ten","NCHC"
20162017,"Maine",0,"@","Miami",5,"","","2016-10-22","NC","Win","Loss","No","No","No","NCHC","Hockey East"
20162017,"Penn State",3,"@","Notre Dame",2,"OT","","2016-10-22","NC","Loss","Win","No","No","No","Hockey East","Big Ten"
20162017,"Arizona State",1,"@","Northeastern",6,"","","2016-10-22","NC","Win","Loss","No","No","No","Hockey East","Independent"
20162017,"Bowling Green",1,"@","Ohio State",6,"","","2016-10-22","NC","Win","Loss","No","No","No","Big Ten","WCHA"
20162017,"St. Lawrence",3,"@","Providence",6,"","","2016-10-22","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"RIT",3,"@","Rensselaer",6,"","","2016-10-22","NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20162017,"Minnesota",2,"@","St. Cloud State",3,"","","2016-10-22","NC","Win","Loss","No","No","No","NCHC","Big Ten"
20162017,"Niagara",2,"@","Union",5,"","","2016-10-22","NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20162017,"Michigan Tech",3,"@","Michigan",3,"OT","","2016-10-22","NC","Tie","Tie","No","No","No","Big Ten","WCHA"
20162017,"Clarkson",4,"@","Massachusetts-Lowell",3,"","","2016-10-22","NC","Loss","Win","No","No","No","Hockey East","ECAC"
20162017,"Bemidji State",4,"@","North Dakota",5,"","","2016-10-22","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Colorado College",4,"@","New Hampshire",3,"","","2016-10-22","NC","Loss","Win","No","No","No","Hockey East","NCHC"
20162017,"Vermont",5,"@","Nebraska-Omaha",2,"","","2016-10-22","NC","Loss","Win","No","No","No","NCHC","Hockey East"
