"Round","Pick","NHLTeam","Name","Position","Team","League"
"7","198","Philadelphia","Jesper Pettersson","D","Linkopings HC","SweHL"
"7","199","Minnesota","Pavel Jenys","R","Brno Kometa","Czech"
"7","200","NY Islanders","Lukas Sutter","C","Red Deer Rebels","WHL"
"7","201","Detroit","Alexander Kadeykin","F","Moscow Oblast Atlant","KHL"
"7","202","St. Louis","Dwyer Tschantz","F","Indiana Ice","USHL"
"7","203","Pittsburgh","Jeff Taylor","D","Union College","ECAC"
"7","204","Colorado","Julien Nantel","L","RouynNoranda Huskies","QMJHL"
"7","205","Anaheim","Ondrej Kase","F","Chomutov Pirati","Czech"
"7","206","Boston","Emil Johansson","D","HV71","Sweden Jrs"
"7","207","Montreal","Jake Evans","F","St Michaels Buzzers","OJHL"
"7","208","Chicago","Jack Ramsey","F","Penticton Vees","BCHL"
"7","209","Los Angeles","Spencer Watson","R","Kingston Frontenacs","OHL"
"7","210","Los Angeles","Jacob Middleton","D","Ottawa 67s","OHL"
