Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season
14,Chris Berger,FR,F,"Buffalo, New York",Brown,buffalo new york,"Brown: 14 Chris Berger - Buffalo, New York (FR-F)",20172018
15,Jack Gessert,SO,F,"Novi, Michigan",Brown,novi michigan,"Brown: 15 Jack Gessert - Novi, Michigan (SO-F)",20172018
16,Charlie Corcoran,SR,F,"New Canaan, Connecticut",Brown,new canaan connecticut,"Brown: 16 Charlie Corcoran - New Canaan, Connecticut (SR-F)",20172018
18,Sam Lafferty,SR,F,"Hollidaysburg, Pennsylvania",Brown,hollidaysburg pennsylvania,"Brown: 18 Sam Lafferty - Hollidaysburg, Pennsylvania (SR-F)",20172018
19,Alex Brink,JR,F,"Hamilton, New York",Brown,hamilton new york,"Brown: 19 Alex Brink - Hamilton, New York (JR-F)",20172018
20,Joachim Weberg,FR,F,"Oslo, Norway",Brown,oslo norway,"Brown: 20 Joachim Weberg - Oslo, Norway (FR-F)",20172018
21,Alec Mehr,FR,F,"Los Angeles, California",Brown,los angeles california,"Brown: 21 Alec Mehr - Los Angeles, California (FR-F)",20172018
25,Tim Lappin,SR,F,"Saint Charles, Illinois",Brown,saint charles illinois,"Brown: 25 Tim Lappin - Saint Charles, Illinois (SR-F)",20172018
26,Tommy Marchin,JR,F,"Algonac, Michigan",Brown,algonac michigan,"Brown: 26 Tommy Marchin - Algonac, Michigan (JR-F)",20172018
27,Trey Dodd,SO,F,"St. Louis, Missouri",Brown,st louis missouri,"Brown: 27 Trey Dodd - St. Louis, Missouri (SO-F)",20172018
28,Colin Burston,FR,F,"Winnipeg, Manitoba",Brown,winnipeg manitoba,"Brown: 28 Colin Burston - Winnipeg, Manitoba (FR-F)",20172018
29,Conner Wynne,JR,D,"Pomona, New York",Brown,pomona new york,"Brown: 29 Conner Wynne - Pomona, New York (JR-D)",20172018
31,Connor Maher,SR,G,"Marshfield, Massachusetts",Brown,marshfield massachusetts,"Brown: 31 Connor Maher - Marshfield, Massachusetts (SR-G)",20172018
35,Luke Kania,FR,G,"Chicago, Illinois",Brown,chicago illinois,"Brown: 35 Luke Kania - Chicago, Illinois (FR-G)",20172018
8,Ian Edmondson,JR,D,"Toronto, Ontario",Canisius,toronto ontario,"Canisius: 08 Ian Edmondson - Toronto, Ontario (JR-D)",20172018
9,David Parrottino,SR,F,"Rochester Hills, Michigan",Canisius,rochester hills michigan,"Canisius: 09 David Parrottino - Rochester Hills, Michigan (SR-F)",20172018
10,Matt McLeod,JR,F,"Mississauga, Ontario",Canisius,mississauga ontario,"Canisius: 10 Matt McLeod - Mississauga, Ontario (JR-F)",20172018
12,Mike Sabatini,SR,F,"Grosse Pointe Woods, Michigan",Canisius,grosse pointe woods michigan,"Canisius: 12 Mike Sabatini - Grosse Pointe Woods, Michigan (SR-F)",20172018
13,Dylan McLaughlin,JR,F,"Lancaster, New York",Canisius,lancaster new york,"Canisius: 13 Dylan McLaughlin - Lancaster, New York (JR-F)",20172018
14,Josh Kielich,SR,F,"Orchard Park, New York",Canisius,orchard park new york,"Canisius: 14 Josh Kielich - Orchard Park, New York (SR-F)",20172018
15,Grant Meyer,FR,F,"Genoa, Ohio",Canisius,genoa ohio,"Canisius: 15 Grant Meyer - Genoa, Ohio (FR-F)",20172018
20,David Baskerville,FR,F,"Buffalo, New York",Canisius,buffalo new york,"Canisius: 20 David Baskerville - Buffalo, New York (FR-F)",20172018
23,Casey Jerry,SO,F,"River Falls, Wisconsin",Canisius,river falls wisconsin,"Canisius: 23 Casey Jerry - River Falls, Wisconsin (SO-F)",20172018
24,Matt Stief,SO,D,"Weston, Florida",Canisius,weston florida,"Canisius: 24 Matt Stief - Weston, Florida (SO-D)",20172018
25,Matt Long,FR,F,"Orland Park, Illinois",Canisius,orland park illinois,"Canisius: 25 Matt Long - Orland Park, Illinois (FR-F)",20172018
26,Ryan Schmelzer,SR,F,"Buffalo, New York",Canisius,buffalo new york,"Canisius: 26 Ryan Schmelzer - Buffalo, New York (SR-F)",20172018
28,Logan Gestro,FR,D,"South Lyon, Michigan",Canisius,south lyon michigan,"Canisius: 28 Logan Gestro - South Lyon, Michigan (FR-D)",20172018
29,Daniel Urbani,SO,G,"Coquitlam, British Columbia",Canisius,coquitlam british columbia,"Canisius: 29 Daniel Urbani - Coquitlam, British Columbia (SO-G)",20172018
31,Simon Hofley,JR,G,"Ottawa, Ontario",Canisius,ottawa ontario,"Canisius: 31 Simon Hofley - Ottawa, Ontario (JR-G)",20172018
32,Tucker Weppner,FR,G,"Williamsville, New York",Canisius,williamsville new york,"Canisius: 32 Tucker Weppner - Williamsville, New York (FR-G)",20172018
34,Blake Weyrick,SO,G,"Los Angeles, California",Canisius,los angeles california,"Canisius: 34 Blake Weyrick - Los Angeles, California (SO-G)",20172018
40,Jesse Pereira,SO,F,"Fort Erie, Ontario",Canisius,fort erie ontario,"Canisius: 40 Jesse Pereira - Fort Erie, Ontario (SO-F)",20172018
44,Alex Jaeckle,JR,D,"St. Clair Shores, Michigan",Canisius,st clair shores michigan,"Canisius: 44 Alex Jaeckle - St. Clair Shores, Michigan (JR-D)",20172018
47,David Bennett,SR,D,"Ottawa, Ontario",Canisius,ottawa ontario,"Canisius: 47 David Bennett - Ottawa, Ontario (SR-D)",20172018
51,Jeff Murray,SR,F,"Newmarket, Ontario",Canisius,newmarket ontario,"Canisius: 51 Jeff Murray - Newmarket, Ontario (SR-F)",20172018
52,Blake Wareham,FR,D,"Park Ridge, Illinois",Canisius,park ridge illinois,"Canisius: 52 Blake Wareham - Park Ridge, Illinois (FR-D)",20172018
53,Cameron Heath,JR,D,"Troy, Michigan",Canisius,troy michigan,"Canisius: 53 Cameron Heath - Troy, Michigan (JR-D)",20172018
55,Jack Stander,SR,D,"Grosse Pointe Woods, Michigan",Canisius,grosse pointe woods michigan,"Canisius: 55 Jack Stander - Grosse Pointe Woods, Michigan (SR-D)",20172018
71,Joshua Gabriel,JR,F,"Lancaster, New York",Canisius,lancaster new york,"Canisius: 71 Joshua Gabriel - Lancaster, New York (JR-F)",20172018
72,Matt Hoover,SO,F,"Brantford, Ontario",Canisius,brantford ontario,"Canisius: 72 Matt Hoover - Brantford, Ontario (SO-F)",20172018
74,Felix Chamberland,JR,F,"Quebec City, QuACbec",Canisius,quebec city quacbec,"Canisius: 74 Felix Chamberland - Quebec City, QuACbec (JR-F)",20172018
77,Jimmy Mazza,JR,D,"Kings Park, New York",Canisius,kings park new york,"Canisius: 77 Jimmy Mazza - Kings Park, New York (JR-D)",20172018
81,Nolan Sheeran,SR,F,"East Amherst, New York",Canisius,east amherst new york,"Canisius: 81 Nolan Sheeran - East Amherst, New York (SR-F)",20172018
91,Nick Hutchison,SO,F,"Hicksville, New York",Canisius,hicksville new york,"Canisius: 91 Nick Hutchison - Hicksville, New York (SO-F)",20172018
1,Chris Janzen,FR,G,"Fonthill, Ontario",Clarkson,fonthill ontario,"Clarkson: 01 Chris Janzen - Fonthill, Ontario (FR-G)",20172018
2,Connor McCarthy,FR,D,"LaSalle, Quebec",Clarkson,lasalle quebec,"Clarkson: 02 Connor McCarthy - LaSalle, Quebec (FR-D)",20172018
3,Greg Moro,SO,D,"Edmonton, Alberta",Clarkson,edmonton alberta,"Clarkson: 03 Greg Moro - Edmonton, Alberta (SO-D)",20172018
4,Tyko Karjalainen,SR,D,"Helsinki, Finland",Clarkson,helsinki finland,"Clarkson: 04 Tyko Karjalainen - Helsinki, Finland (SR-D)",20172018
5,Kelly Summers,SR,D,"Golden Lake, Ontario",Clarkson,golden lake ontario,"Clarkson: 05 Kelly Summers - Golden Lake, Ontario (SR-D)",20172018
6,Nic Pierog,SR,F,"Georgetown, Ontario",Clarkson,georgetown ontario,"Clarkson: 06 Nic Pierog - Georgetown, Ontario (SR-F)",20172018
9,Ben Dalpe,SR,F,"Paris, Ontario",Clarkson,paris ontario,"Clarkson: 09 Ben Dalpe - Paris, Ontario (SR-F)",20172018
10,Shane Kuzmeski,SO,D,"Grayslake, Illinois",Clarkson,grayslake illinois,"Clarkson: 10 Shane Kuzmeski - Grayslake, Illinois (SO-D)",20172018
11,Sheldon Rempal,SO,F,"Calgary, Alberta",Clarkson,calgary alberta,"Clarkson: 11 Sheldon Rempal - Calgary, Alberta (SO-F)",20172018
12,Jordan Schneider,SO,D,"Toronto, Ontario",Clarkson,toronto ontario,"Clarkson: 12 Jordan Schneider - Toronto, Ontario (SO-D)",20172018
13,Aaron Thow,JR,D,"Toronto, Ontario",Clarkson,toronto ontario,"Clarkson: 13 Aaron Thow - Toronto, Ontario (JR-D)",20172018
14,Devin Brosseau,SO,F,"Saint-Lambert, Quebec",Clarkson,saintlambert quebec,"Clarkson: 14 Devin Brosseau - Saint-Lambert, Quebec (SO-F)",20172018
15,Dylan Gareau,SR,F,"Richmond, Ontario",Clarkson,richmond ontario,"Clarkson: 15 Dylan Gareau - Richmond, Ontario (SR-F)",20172018
16,Jack Jacome,FR,F,"Caledon, Ontario",Clarkson,caledon ontario,"Clarkson: 16 Jack Jacome - Caledon, Ontario (FR-F)",20172018
17,Nico Sturm,SO,F,"Augsburg, Germany",Clarkson,augsburg germany,"Clarkson: 17 Nico Sturm - Augsburg, Germany (SO-F)",20172018
18,Haralds Egle,SO,F,"LiepA?ja, Latvia",Clarkson,liepaja latvia,"Clarkson: 18 Haralds Egle - LiepA?ja, Latvia (SO-F)",20172018
19,Brett Gervais,SR,F,"Corona, California",Clarkson,corona california,"Clarkson: 19 Brett Gervais - Corona, California (SR-F)",20172018
20,Jere Astren,FR,D,"Helsinki, Finland",Clarkson,helsinki finland,"Clarkson: 20 Jere Astren - Helsinki, Finland (FR-D)",20172018
21,Josh Dickinson,FR,F,"Georgetown, Ontario",Clarkson,georgetown ontario,"Clarkson: 21 Josh Dickinson - Georgetown, Ontario (FR-F)",20172018
23,Marly Quince,JR,F,"Sioux Lookout, Ontario",Clarkson,sioux lookout ontario,"Clarkson: 23 Marly Quince - Sioux Lookout, Ontario (JR-F)",20172018
26,Grant Cooper,FR,F,"Cornwall, Ontario",Clarkson,cornwall ontario,"Clarkson: 26 Grant Cooper - Cornwall, Ontario (FR-F)",20172018
27,Juho Jokiharju,JR,F,"Tampere, Finland",Clarkson,tampere finland,"Clarkson: 27 Juho Jokiharju - Tampere, Finland (JR-F)",20172018
28,Kevin Charyszyn,FR,F,"Jamison, Pennsylvania",Clarkson,jamison pennsylvania,"Clarkson: 28 Kevin Charyszyn - Jamison, Pennsylvania (FR-F)",20172018
29,Jake Kielly,SO,G,"Eden Prairie, Minnesota",Clarkson,eden prairie minnesota,"Clarkson: 29 Jake Kielly - Eden Prairie, Minnesota (SO-G)",20172018
35,Nicholas Latinovich,FR,G,"Maple, Ontario",Clarkson,maple ontario,"Clarkson: 35 Nicholas Latinovich - Maple, Ontario (FR-G)",20172018
39,John Carter MacLean,FR,F,"Basking Ridge, New Jersey",Clarkson,basking ridge new jersey,"Clarkson: 39 John Carter MacLean - Basking Ridge, New Jersey (FR-F)",20172018
44,Terrance Amorosa,SR,D,"Kirkland, Quebec",Clarkson,kirkland quebec,"Clarkson: 44 Terrance Amorosa - Kirkland, Quebec (SR-D)",20172018
2,Paul Meyer,SO,D,"Edina, Minnesota",Colgate,edina minnesota,"Colgate: 02 Paul Meyer - Edina, Minnesota (SO-D)",20172018
3,Ken Citron,JR,D,"Cos Cobb, Connecticut",Colgate,cos cobb connecticut,"Colgate: 03 Ken Citron - Cos Cobb, Connecticut (JR-D)",20172018
4,Willie Brooks,JR,D,"Locust, New Jersey",Colgate,locust new jersey,"Colgate: 04 Willie Brooks - Locust, New Jersey (JR-D)",20172018
5,Paul McAvoy,FR,F,"Richmond, Kentucky",Colgate,richmond kentucky,"Colgate: 05 Paul McAvoy - Richmond, Kentucky (FR-F)",20172018
6,Ross Craig,SO,D,"South Glengarry, Ontario",Colgate,south glengarry ontario,"Colgate: 06 Ross Craig - South Glengarry, Ontario (SO-D)",20172018
7,Josh McKechney,FR,F,"Calgary, Alberta",Colgate,calgary alberta,"Colgate: 07 Josh McKechney - Calgary, Alberta (FR-F)",20172018
8,John Snodgrass,SO,F,"Eagan, Minnesota",Colgate,eagan minnesota,"Colgate: 08 John Snodgrass - Eagan, Minnesota (SO-F)",20172018
9,Bobby McMann,SO,F,"Wainwright, Alberta",Colgate,wainwright alberta,"Colgate: 09 Bobby McMann - Wainwright, Alberta (SO-F)",20172018
11,Nick Austin,FR,D,"St. Louis Park, Minnesota",Colgate,st louis park minnesota,"Colgate: 11 Nick Austin - St. Louis Park, Minnesota (FR-D)",20172018
12,Adam Dauda,JR,F,"Kitchener, Ontario",Colgate,kitchener ontario,"Colgate: 12 Adam Dauda - Kitchener, Ontario (JR-F)",20172018
13,Rory McGuire,JR,D,"Bracebridge, Ontario",Colgate,bracebridge ontario,"Colgate: 13 Rory McGuire - Bracebridge, Ontario (JR-D)",20172018
14,Jared Cockrell,SO,F,"Readfield, Maine",Colgate,readfield maine,"Colgate: 14 Jared Cockrell - Readfield, Maine (SO-F)",20172018
15,Jacob Panetta,SO,D,"Belleville, Ontario",Colgate,belleville ontario,"Colgate: 15 Jacob Panetta - Belleville, Ontario (SO-D)",20172018
16,Sebastian Weberg,SR,F,"Oslo, Norway",Colgate,oslo norway,"Colgate: 16 Sebastian Weberg - Oslo, Norway (SR-F)",20172018
17,Ben Sharf,SO,F,"Williamsville, New York",Colgate,williamsville new york,"Colgate: 17 Ben Sharf - Williamsville, New York (SO-F)",20172018
19,Henry Marshall,FR,F,"New Canaan, Connecticut",Colgate,new canaan connecticut,"Colgate: 19 Henry Marshall - New Canaan, Connecticut (FR-F)",20172018
21,Tyler Penner,SO,F,"Winnipeg, Manitoba",Colgate,winnipeg manitoba,"Colgate: 21 Tyler Penner - Winnipeg, Manitoba (SO-F)",20172018
22,Tyler Jeanson,FR,F,"Carman, Manitoba",Colgate,carman manitoba,"Colgate: 22 Tyler Jeanson - Carman, Manitoba (FR-F)",20172018
24,Trevor Cosgrove,FR,D,"Exeter, New Hampshire",Colgate,exeter new hampshire,"Colgate: 24 Trevor Cosgrove - Exeter, New Hampshire (FR-D)",20172018
25,Evan Tschumi,FR,F,"Calgary, Alberta",Colgate,calgary alberta,"Colgate: 25 Evan Tschumi - Calgary, Alberta (FR-F)",20172018
26,Evan Peterson,SR,F,"Lakeville, Minnesota",Colgate,lakeville minnesota,"Colgate: 26 Evan Peterson - Lakeville, Minnesota (SR-F)",20172018
27,Mike Panowyk,SR,F,"Whitby, Ontario",Colgate,whitby ontario,"Colgate: 27 Mike Panowyk - Whitby, Ontario (SR-F)",20172018
28,Hunter Racine,JR,F,"Ottawa, Ontario",Colgate,ottawa ontario,"Colgate: 28 Hunter Racine - Ottawa, Ontario (JR-F)",20172018
29,Nick Quillan,FR,D,"Halifax, Nova Scotia",Colgate,halifax nova scotia,"Colgate: 29 Nick Quillan - Halifax, Nova Scotia (FR-D)",20172018
31,Zac Hamilton,SR,G,"Ottawa, Ontario",Colgate,ottawa ontario,"Colgate: 31 Zac Hamilton - Ottawa, Ontario (SR-G)",20172018
32,Colton Point,SO,G,"North Bay, Ontario",Colgate,north bay ontario,"Colgate: 32 Colton Point - North Bay, Ontario (SO-G)",20172018
33,Bruce Racine,SR,G,"Bethesda, Maryland",Colgate,bethesda maryland,"Colgate: 33 Bruce Racine - Bethesda, Maryland (SR-G)",20172018
1,Alex Leclerc,SO,G,"Longueuil, Quebec",Colorado College,longueuil quebec,"Colorado College: 01 Alex Leclerc - Longueuil, Quebec (SO-G)",20172018
2,Trevor Gooch,JR,F,"Mantua, New Jersey",Colorado College,mantua new jersey,"Colorado College: 02 Trevor Gooch - Mantua, New Jersey (JR-F)",20172018
3,Kristian Blumenschein,SO,D,"Kelowna, British Columbia",Colorado College,kelowna british columbia,"Colorado College: 03 Kristian Blumenschein - Kelowna, British Columbia (SO-D)",20172018
5,Cole McCaskill,JR,D,"Kamloops, British Columbia",Colorado College,kamloops british columbia,"Colorado College: 05 Cole McCaskill - Kamloops, British Columbia (JR-D)",20172018
6,Nate Kwiecinski,JR,D,"Livonia, Michigan",Colorado College,livonia michigan,"Colorado College: 06 Nate Kwiecinski - Livonia, Michigan (JR-D)",20172018
7,Alex Berardinelli,SO,F,"Pittsburgh, Pennsylvania",Colorado College,pittsburgh pennsylvania,"Colorado College: 07 Alex Berardinelli - Pittsburgh, Pennsylvania (SO-F)",20172018
8,Zach Berzolla,FR,D,"Howell, New Jersey",Colorado College,howell new jersey,"Colorado College: 08 Zach Berzolla - Howell, New Jersey (FR-D)",20172018
9,Kade Kehoe,SO,F,"Saskatoon, Saskatchewan",Colorado College,saskatoon saskatchewan,"Colorado College: 09 Kade Kehoe - Saskatoon, Saskatchewan (SO-F)",20172018
10,Tanner Ockey,JR,F,"Calgary, Alberta",Colorado College,calgary alberta,"Colorado College: 10 Tanner Ockey - Calgary, Alberta (JR-F)",20172018
11,Nick Olczyk,FR,F,"Long Grove, Illinois",Colorado College,long grove illinois,"Colorado College: 11 Nick Olczyk - Long Grove, Illinois (FR-F)",20172018
12,Bryce Van Horn,SO,F,"Kimball, Michigan",Colorado College,kimball michigan,"Colorado College: 12 Bryce Van Horn - Kimball, Michigan (SO-F)",20172018
13,Nick Halloran,SO,F,"Draper, Utah",Colorado College,draper utah,"Colorado College: 13 Nick Halloran - Draper, Utah (SO-F)",20172018
14,Trey Bradley,JR,F,"Tampa, Florida",Colorado College,tampa florida,"Colorado College: 14 Trey Bradley - Tampa, Florida (JR-F)",20172018
15,Mason Bergh,JR,F,"Eden Prairie, Minnesota",Colorado College,eden prairie minnesota,"Colorado College: 15 Mason Bergh - Eden Prairie, Minnesota (JR-F)",20172018
17,Westin Michaud,JR,F,"Cloquet, Minnesota",Colorado College,cloquet minnesota,"Colorado College: 17 Westin Michaud - Cloquet, Minnesota (JR-F)",20172018
18,Branden Makara,SO,F,"Gloucester, Ontario",Colorado College,gloucester ontario,"Colorado College: 18 Branden Makara - Gloucester, Ontario (SO-F)",20172018
19,Troy Conzo,FR,F,"Nesconset, New York",Colorado College,nesconset new york,"Colorado College: 19 Troy Conzo - Nesconset, New York (FR-F)",20172018
20,Alex Pernitsky,SO,D,"Unity, Saskatchewan",Colorado College,unity saskatchewan,"Colorado College: 20 Alex Pernitsky - Unity, Saskatchewan (SO-D)",20172018
22,Cole Josefchak,SO,D,"Calgary, Alberta",Colorado College,calgary alberta,"Colorado College: 22 Cole Josefchak - Calgary, Alberta (SO-D)",20172018
24,Jack Gates,FR,F,"Oceanside, California",Colorado College,oceanside california,"Colorado College: 24 Jack Gates - Oceanside, California (FR-F)",20172018
25,Brian Williams,FR,F,"San Diego, California",Colorado College,san diego california,"Colorado College: 25 Brian Williams - San Diego, California (FR-F)",20172018
26,Max St. Pierre,SO,F,"Orleans, Ontario",Colorado College,orleans ontario,"Colorado College: 26 Max St. Pierre - Orleans, Ontario (SO-F)",20172018
27,Ben Israel,JR,D,"Bloomfield Hills, Michigan",Colorado College,bloomfield hills michigan,"Colorado College: 27 Ben Israel - Bloomfield Hills, Michigan (JR-D)",20172018
29,Christiano Versich,FR,F,"Kelly Lake, Minnesota",Colorado College,kelly lake minnesota,"Colorado College: 29 Christiano Versich - Kelly Lake, Minnesota (FR-F)",20172018
30,Alec Calvaruso,FR,G,"Livonia, Michigan",Colorado College,livonia michigan,"Colorado College: 30 Alec Calvaruso - Livonia, Michigan (FR-G)",20172018
33,Jon Flakne,FR,G,"Maple Plain, Minnesota",Colorado College,maple plain minnesota,"Colorado College: 33 Jon Flakne - Maple Plain, Minnesota (FR-G)",20172018
36,McKay Flanagan,FR,D,"Ridgefield, Connecticut",Colorado College,ridgefield connecticut,"Colorado College: 36 McKay Flanagan - Ridgefield, Connecticut (FR-D)",20172018
39,Andrew Farny,JR,D,"Steamboat Springs, Colorado",Colorado College,steamboat springs colorado,"Colorado College: 39 Andrew Farny - Steamboat Springs, Colorado (JR-D)",20172018
1,Tanner Creel,SR,G,"Arlington Heights, Illinois",Connecticut,arlington heights illinois,"Connecticut: 01 Tanner Creel - Arlington Heights, Illinois (SR-G)",20172018
2,Derek Pratt,SR,D,"Mount Hermon, Massachusetts",Connecticut,mount hermon massachusetts,"Connecticut: 02 Derek Pratt - Mount Hermon, Massachusetts (SR-D)",20172018
3,Adam Karashik,FR,D,"Ridgefield, Connecticut",Connecticut,ridgefield connecticut,"Connecticut: 03 Adam Karashik - Ridgefield, Connecticut (FR-D)",20172018
4,Bryan Nelson,SO,D,"Upton, Massachusetts",Connecticut,upton massachusetts,"Connecticut: 04 Bryan Nelson - Upton, Massachusetts (SO-D)",20172018
5,David Drake,SR,D,"Naperville, Illinois",Connecticut,naperville illinois,"Connecticut: 05 David Drake - Naperville, Illinois (SR-D)",20172018
6,Johnny Austin,SR,D,"St. Louis Park, Minnesota",Connecticut,st louis park minnesota,"Connecticut: 06 Johnny Austin - St. Louis Park, Minnesota (SR-D)",20172018
8,Spencer Naas,SR,F,"Minnetonka, Minnesota",Connecticut,minnetonka minnesota,"Connecticut: 08 Spencer Naas - Minnetonka, Minnesota (SR-F)",20172018
9,Alexander Payusov,SO,F,"Montreal, Quebec",Connecticut,montreal quebec,"Connecticut: 09 Alexander Payusov - Montreal, Quebec (SO-F)",20172018
10,Miles Gendron,JR,D,"Shrewsbury, Massachusetts",Connecticut,shrewsbury massachusetts,"Connecticut: 10 Miles Gendron - Shrewsbury, Massachusetts (JR-D)",20172018
11,Corey Ronan,SR,F,"Franklin, Massachusetts",Connecticut,franklin massachusetts,"Connecticut: 11 Corey Ronan - Franklin, Massachusetts (SR-F)",20172018
12,Evan Wisocky,FR,F,"Hoboken, New Jersey",Connecticut,hoboken new jersey,"Connecticut: 12 Evan Wisocky - Hoboken, New Jersey (FR-F)",20172018
13,Joseph Masonius,JR,D,"Spring Lake, New Jersey",Connecticut,spring lake new jersey,"Connecticut: 13 Joseph Masonius - Spring Lake, New Jersey (JR-D)",20172018
14,Zac Robbins,FR,F,"Glenview, Illinois",Connecticut,glenview illinois,"Connecticut: 14 Zac Robbins - Glenview, Illinois (FR-F)",20172018
16,Karl El-Mir,JR,F,"Montreal, QuACbec",Connecticut,montreal quacbec,"Connecticut: 16 Karl El-Mir - Montreal, QuACbec (JR-F)",20172018
17,Jesse Schwartz,SR,F,"Toronto, Ontario",Connecticut,toronto ontario,"Connecticut: 17 Jesse Schwartz - Toronto, Ontario (SR-F)",20172018
18,Max Kalter,JR,F,"Highland Park, Illinois",Connecticut,highland park illinois,"Connecticut: 18 Max Kalter - Highland Park, Illinois (JR-F)",20172018
19,Brian Rigali,FR,F,"Libertyville, Illinois",Connecticut,libertyville illinois,"Connecticut: 19 Brian Rigali - Libertyville, Illinois (FR-F)",20172018
20,Wyatt Newpower,SO,D,"Hugo, Minnesota",Connecticut,hugo minnesota,"Connecticut: 20 Wyatt Newpower - Hugo, Minnesota (SO-D)",20172018
21,Jeff Wight,SR,F,"Coquitlam, British Columbia",Connecticut,coquitlam british columbia,"Connecticut: 21 Jeff Wight - Coquitlam, British Columbia (SR-F)",20172018
22,Justin Howell,SO,F,"Saint Paul, Minnesota",Connecticut,saint paul minnesota,"Connecticut: 22 Justin Howell - Saint Paul, Minnesota (SO-F)",20172018
23,Kasperi Ojantakanen,SR,F,"Helsinki, Finland",Connecticut,helsinki finland,"Connecticut: 23 Kasperi Ojantakanen - Helsinki, Finland (SR-F)",20172018
24,Benjamin Freeman,SO,F,"Falmouth, Maine",Connecticut,falmouth maine,"Connecticut: 24 Benjamin Freeman - Falmouth, Maine (SO-F)",20172018
26,Philip Nyberg,SO,D,"LinkA?ping, Sweden",Connecticut,linkaping sweden,"Connecticut: 26 Philip Nyberg - LinkA?ping, Sweden (SO-D)",20172018
27,Maxim Letunov,JR,F,"Moscow, Russia",Connecticut,moscow russia,"Connecticut: 27 Maxim Letunov - Moscow, Russia (JR-F)",20172018
30,Adam Huska,SO,G,"Zvolen, Slovakia",Connecticut,zvolen slovakia,"Connecticut: 30 Adam Huska - Zvolen, Slovakia (SO-G)",20172018
35,Bradley Stone,FR,G,"London, England",Connecticut,london england,"Connecticut: 35 Bradley Stone - London, England (FR-G)",20172018
2,Brendan Smith,JR,D,"Centennial, Colorado",Cornell,centennial colorado,"Cornell: 02 Brendan Smith - Centennial, Colorado (JR-D)",20172018
3,Cody Haiskanen,FR,D,"Fargo, North Dakota",Cornell,fargo north dakota,"Cornell: 03 Cody Haiskanen - Fargo, North Dakota (FR-D)",20172018
4,Alex Rauter,SR,F,"Chatham, New Jersey",Cornell,chatham new jersey,"Cornell: 04 Alex Rauter - Chatham, New Jersey (SR-F)",20172018
5,Matthew Nuttle,JR,D,"Marilla, New York",Cornell,marilla new york,"Cornell: 05 Matthew Nuttle - Marilla, New York (JR-D)",20172018
6,Alex Green,FR,D,"Chicago, Illinois",Cornell,chicago illinois,"Cornell: 06 Alex Green - Chicago, Illinois (FR-D)",20172018
7,Cam Donaldson,FR,F,"Pittsboro, North Carolina",Cornell,pittsboro north carolina,"Cornell: 07 Cam Donaldson - Pittsboro, North Carolina (FR-F)",20172018
8,Yanni Kaldis,SO,D,"Montreal, Quebec",Cornell,montreal quebec,"Cornell: 08 Yanni Kaldis - Montreal, Quebec (SO-D)",20172018
9,Noah Bauld,SO,F,"Halifax, Nova Scotia",Cornell,halifax nova scotia,"Cornell: 09 Noah Bauld - Halifax, Nova Scotia (SO-F)",20172018
10,Beau Starrett,JR,F,"Bellingham, Massachusetts",Cornell,bellingham massachusetts,"Cornell: 10 Beau Starrett - Bellingham, Massachusetts (JR-F)",20172018
11,Kyle Betts,FR,F,"Flesherton, Ontario",Cornell,flesherton ontario,"Cornell: 11 Kyle Betts - Flesherton, Ontario (FR-F)",20172018
12,Connor Murphy,SO,F,"Ancaster, Ontario",Cornell,ancaster ontario,"Cornell: 12 Connor Murphy - Ancaster, Ontario (SO-F)",20172018
14,Mitch Vanderlaan,JR,F,"Hanwell, New Brunswick",Cornell,hanwell new brunswick,"Cornell: 14 Mitch Vanderlaan - Hanwell, New Brunswick (JR-F)",20172018
15,Trevor Yates,SR,F,"Beaconsfield, Quebec",Cornell,beaconsfield quebec,"Cornell: 15 Trevor Yates - Beaconsfield, Quebec (SR-F)",20172018
16,Matt Cairns,FR,D,"Mississauga, Ontario",Cornell,mississauga ontario,"Cornell: 16 Matt Cairns - Mississauga, Ontario (FR-D)",20172018
17,Anthony Angello,JR,F,"Manlius, New York",Cornell,manlius new york,"Cornell: 17 Anthony Angello - Manlius, New York (JR-F)",20172018
18,Jared Fiegl,SR,F,"Parker, Colorado",Cornell,parker colorado,"Cornell: 18 Jared Fiegl - Parker, Colorado (SR-F)",20172018
21,Dwyer Tschantz,SR,F,"Wilmington, Delaware",Cornell,wilmington delaware,"Cornell: 21 Dwyer Tschantz - Wilmington, Delaware (SR-F)",20172018
22,Jeff Malott,SO,F,"Burlington, Ontario",Cornell,burlington ontario,"Cornell: 22 Jeff Malott - Burlington, Ontario (SO-F)",20172018
24,Ryan Bliss,SR,D,"Chelmsford, Massachusetts",Cornell,chelmsford massachusetts,"Cornell: 24 Ryan Bliss - Chelmsford, Massachusetts (SR-D)",20172018
26,Tristan Mullin,FR,F,"Cartwright, Manitoba",Cornell,cartwright manitoba,"Cornell: 26 Tristan Mullin - Cartwright, Manitoba (FR-F)",20172018
27,Morgan Barron,FR,F,"Halifax, Nova Scotia",Cornell,halifax nova scotia,"Cornell: 27 Morgan Barron - Halifax, Nova Scotia (FR-F)",20172018
28,Brenden Locke,FR,F,"Iroquois Falls, Ontario",Cornell,iroquois falls ontario,"Cornell: 28 Brenden Locke - Iroquois Falls, Ontario (FR-F)",20172018
