"Round","Pick","NHLTeam","Name","Position","Team","League"
"5","137","Washington","Connor Carrick","D","US National Development Team","USHL"
"5","138","San Jose","Daniel O'Regan","C","St Sebastian School","Mass HS"
"5","139","Chicago","Garret Ross","L","Saginaw Spirit","OHL"
"5","140","Detroit","Mike McKee","D","Lincoln Stars","USHL"
"5","141","Philadelphia","Reece Willcox","D","Merritt Centennials","BCHL"
"5","142","NY Rangers","Thomas Spelling","R","Herning Blue Fox","Denmark"
"5","143","Pittsburgh","Clark Seymour","D","Peterborough Petes","OHL"
"5","144","Dallas","Henri Kiviaho","G","Kalpa Jrs","Finland"
"5","145","Boston","Cody Payne","C","Plymouth Whalers","OHL"
"5","146","St. Louis","Francois Tremblay","G","Val dOr Foreurs","QMJHL"
"5","147","Vancouver","Ben Hutton","D","Nepean Raiders","CCHL"
"5","148","Phoenix","Niklas Tikkinen","D","Blues Jrs","Finland"
"5","149","Chicago","Travis Brown","D","Moose Jaw Warriors","WHL"
"5","150","New Jersey","Alexander Kerfoot","C","Coquitlam Express","BCHL"
"5","151","Los Angeles","Colin Miller","D","Sault Ste Marie Greyhounds","OHL"
"6","152","Columbus","Daniel Zaar","R","Rogle Jrs","Sweden"
"6","153","Edmonton","John McCarron","F","Cornell University","ECAC"
"6","154","Montreal","Erik Nystrom","L","MODO Hockey Ornskoldsvik","SEL"
"6","155","NY Islanders","Jesse Graham","D","Niagara IceDogs","OHL"
"6","156","Toronto","Connor Brown","R","Erie Otters","OHL"
"6","157","Toronto","Ryan Rupert","C","London Knights","OHL"
"6","158","Minnesota","Christoph Bertschy","C","Bern SC","SwissA"
"6","159","Carolina","Collin Olson","G","US National Development Team","USHL"
"6","160","Winnipeg","Ryan Olsen","C","Saskatoon Blades","WHL"
"6","161","Tampa Bay","Jake Dotchin","D","Owen Sound Attack","OHL"
"6","162","Colorado","Joseph Blandisi","C","Owen Sound Attack","OHL"
"6","163","Buffalo","Linus Ullmark","G","MODO Jrs","Sweden"
"6","164","Nashville","Simon Fernholm","D","Huddinge Jrs","Sweden"
"6","165","Calgary","Coda Gordon","L","Swift Current Broncos","WHL"
"6","166","Ottawa","Francois Brassard","G","Quebec Remparts","QMJHL"
"6","167","Washington","Riley Barber","F","US National Development Team","USHL"
"6","168","San Jose","Cliff Watson","D","Sioux City Musketeers","USHL"
"6","169","Chicago","Vince Hinostroza","L","Waterloo Black Hawks","USHL"
"6","170","Detroit","James De Haas","D","Toronto Lakeshore Patriots","OJHL"
"6","171","Los Angeles","Tomas Hyka","R","Gatineau Olympiques","QMJHL"
"6","172","Nashville","Max Gortz","R","Farjestads BK Karlstad","SEL"
"6","173","Pittsburgh","Anton Zlobin","L","Shawinigan Cataractes","QMJHL"
"6","174","Florida","Francis Beauvillier","C","Rimouski Oceanic","QMJHL"
"6","175","Boston","Matthew Benning","D","Spruce Grove Saints","AJHL"
"6","176","St. Louis","Petteri Lindbohm","D","Jokerit Jrs","Finland"
"6","177","Vancouver","Wesley Myron","F","Victoria Grizzlies","BCHL"
"6","178","Phoenix","Hunter Fejes","L","Shattuck St Marys","Minn HS"
"6","179","Nashville","Marek Mazanec","G","Plzen HC","Czech"
"6","180","New Jersey","Artur Gavrus","C","Owen Sound Attack","OHL"
"6","181","Los Angeles","Paul Ladue","D","Lincoln Stars","USHL"
"7","182","Columbus","Gianluca Curcuruto","D","Sault Ste Marie Greyhounds","OHL"
"7","183","Dallas","Dmitry Sinitsyn","D","UMassLowell","HEast"
"7","184","Phoenix","Marek Langhamer","G","Pardubice Jrs","Czech Rep"
"7","185","NY Islanders","Jake Bischoff","D","Grand Rapids HS","Minn HS"
"7","186","Calgary","Matt DeBlouw","F","Muskegon Lumberjacks","USHL"
"7","187","Anaheim","Kenton Helgesen","L","Calgary Hitmen","WHL"
"7","188","Minnesota","Louis Nanne","L","Edina HS","Minn HS"
"7","189","Carolina","Brendan Collier","L","Malden Catholic","Mass HS"
"7","190","Winnipeg","Jamie Phillips","G","Toronto Jr Canadiens","OJHL"
"7","191","Chicago","Brandon Whitney","G","Victoriaville Tigres","QMJHL"
"7","192","Colorado","Colin Smith","C","Kamloops Blazers","WHL"
"7","193","Buffalo","Brady Austin","D","Belleville Bulls","OHL"
"7","194","Florida","Jonatan Nielsen","D","Linkoping Jrs","Sweden"
"7","195","Washington","Christian Djoos","D","Brynas Jrs","Sweden"
"7","196","Ottawa","Mikael Wikstrand","D","Mora IK","Swe1"
"7","197","Washington","Jaynen Rissling","D","Calgary Hitmen","WHL"
"7","198","San Jose","Joakim Ryan","D","Cornell University","ECAC"
"7","199","Chicago","Matt Tomkins","G","Sherwood Park Crusaders","AJHL"
"7","200","Detroit","Rasmus Bodin","L","Osterlunds","Sweden"
"7","201","Philadelphia","Valeri Vasiliev","D","Spartak Jrs","Russia"
"7","202","Tampa Bay","Nikita Gusev","F","CSKA Moscow","KHL"
"7","203","Washington","Sergei Kostenko","G","Novokuznetsk Jrs","Russia"
"7","204","Buffalo","Judd Peterson","R","Duluth Marshall","Minn HS"
"7","205","Boston","Colton Hargrove","L","Fargo Force","USHL"
"7","206","St. Louis","Tyrel Seaman","C","Brandon Wheat Kings","WHL"
"7","207","Vancouver","Matthew Beattie","R","Exeter","NH HS"
"7","208","Phoenix","Justin Hache","D","Shawinigan Cataractes","QMJHL"
"7","209","Toronto","Viktor Loov","D","Sodertalje SK","Swe1"
"7","210","Anaheim","Jaycob Megna","D","U of NebraskaOmaha","WCHA"
"7","211","Los Angeles","Nick Ebert","D","Windsor Spitfires","OHL"
