"Procedure","RPI","Mean","SD"
"Expected Goals",0.502998291117587,0.53156181840104,0.022593497265065
"Expected Goals",0.563900032093266,0.53156181840104,0.022593497265065
"Expected Goals",0.547754354910758,0.53156181840104,0.022593497265065
"Expected Goals",0.552477514794491,0.53156181840104,0.022593497265065
"Expected Goals",0.544674072689683,0.53156181840104,0.022593497265065
"Expected Goals",0.503446774427158,0.53156181840104,0.022593497265065
"Expected Goals",0.503720239804193,0.53156181840104,0.022593497265065
"Expected Goals",0.510193629563629,0.53156181840104,0.022593497265065
"Expected Goals",0.540473633563275,0.53156181840104,0.022593497265065
"Expected Goals",0.512963275129288,0.53156181840104,0.022593497265065
"Expected Goals",0.536858973105203,0.53156181840104,0.022593497265065
"Expected Goals",0.534094913322948,0.53156181840104,0.022593497265065
"Expected Goals",0.555667405735168,0.53156181840104,0.022593497265065
