"Team","Season","FOPct","WinPct"
"Arizona State",20152016,41.3,0.12
"Army",20152016,48.9,0.486842105263158
"Bemidji State",20152016,51.9,0.512820512820513
"Bentley",20152016,47.2,0.425
"Boston College",20152016,55.1,0.74390243902439
"Boston University",20152016,53.1,0.602564102564103
"Bowling Green",20152016,50.6,0.595238095238095
"Brown",20152016,50.2,0.274193548387097
"Canisius",20152016,52.5,0.371794871794872
"Clarkson",20152016,52.3,0.565789473684211
"Colgate",20152016,53.9,0.324324324324324
"Colorado College",20152016,45.1,0.180555555555556
"Connecticut",20152016,51,0.361111111111111
"Cornell",20152016,49.4,0.573529411764706
"Dartmouth",20152016,49.7,0.528571428571429
"Denver",20152016,52.2,0.682926829268293
"Ferris State",20152016,50.1,0.560975609756098
"Harvard",20152016,47.6,0.617647058823529
"Holy Cross",20152016,52.3,0.569444444444444
"Lake Superior",20152016,47.1,0.402439024390244
"Maine",20152016,49.5,0.289473684210526
"Massachusetts",20152016,47.9,0.277777777777778
"Massachusetts-Lowell",20152016,50.7,0.6875
"Mercyhurst",20152016,47.4,0.527777777777778
"Merrimack",20152016,49,0.423076923076923
"Miami",20152016,50,0.458333333333333
"Michigan",20152016,50.2,0.723684210526316
"Michigan State",20152016,50.6,0.324324324324324
"Michigan Tech",20152016,48.4,0.689189189189189
"Minnesota",20152016,56,0.540540540540541
"Minnesota-Duluth",20152016,48,0.5375
"Minnesota State",20152016,53,0.597560975609756
"Nebraska-Omaha",20152016,50,0.513888888888889
"New Hampshire",20152016,47.8,0.378378378378378
"Niagara",20152016,50.8,0.243243243243243
"North Dakota",20152016,50.2,0.818181818181818
"Northeastern",20152016,48.3,0.597560975609756
"Northern Michigan",20152016,53.7,0.486842105263158
"Notre Dame",20152016,53.2,0.608108108108108
"Ohio State",20152016,48.4,0.444444444444444
"Penn State",20152016,51.1,0.605263157894737
"Princeton",20152016,41.4,0.209677419354839
"Providence",20152016,52.8,0.763157894736842
"Quinnipiac",20152016,53.8,0.825581395348837
"Rensselaer",20152016,46,0.5375
"RIT",20152016,53.6,0.538461538461538
"Robert Morris",20152016,49.6,0.666666666666667
"Sacred Heart",20152016,47.6,0.405405405405405
"St. Cloud State",20152016,53.3,0.768292682926829
"St. Lawrence",20152016,52.9,0.567567567567568
"Union",20152016,56.6,0.486111111111111
"Vermont",20152016,44.9,0.4125
"Western Michigan",20152016,50,0.263888888888889
"Wisconsin",20152016,48.7,0.342857142857143
"Yale",20152016,49.4,0.65625
"Air Force",20162017,54.9,0.702380952380952
"Alabama-Huntsville",20162017,50.7,0.308823529411765
"Alaska",20162017,44.7,0.388888888888889
"Alaska-Anchorage",20162017,46,0.294117647058824
"American International",20162017,47.9,0.333333333333333
"Arizona State",20162017,45.1,0.316666666666667
"Army",20162017,47.7,0.554054054054054
"Bemidji State",20162017,51.2,0.573170731707317
"Bentley",20162017,47.8,0.423076923076923
"Boston College",20162017,54.4,0.575
"Boston University",20162017,50.7,0.653846153846154
"Bowling Green",20162017,51.9,0.536585365853659
"Brown",20162017,47.5,0.161290322580645
"Canisius",20162017,48.3,0.628205128205128
"Clarkson",20162017,50.5,0.525641025641026
"Colgate",20162017,52.2,0.324324324324324
"Colorado College",20162017,45.5,0.277777777777778
"Connecticut",20162017,48,0.444444444444444
"Cornell",20162017,51.1,0.671428571428571
"Dartmouth",20162017,51,0.370967741935484
"Denver",20162017,54.2,0.795454545454545
"Ferris State",20162017,49.5,0.418918918918919
"Harvard",20162017,51.9,0.805555555555556
"Holy Cross",20162017,51.6,0.486111111111111
"Lake Superior",20162017,49.9,0.402777777777778
"Maine",20162017,49.3,0.361111111111111
"Massachusetts",20162017,49.2,0.166666666666667
"Massachusetts-Lowell",20162017,54.1,0.695121951219512
"Mercyhurst",20162017,49.1,0.435897435897436
"Merrimack",20162017,50.5,0.486486486486487
"Miami",20162017,46.3,0.347222222222222
"Michigan",20162017,48.5,0.414285714285714
"Michigan State",20162017,48.7,0.257142857142857
"Michigan Tech",20162017,51.8,0.588888888888889
"Minnesota",20162017,52,0.644736842105263
"Minnesota-Duluth",20162017,46.8,0.75
"Minnesota State",20162017,51.2,0.615384615384615
"Nebraska-Omaha",20162017,47.2,0.5
"New Hampshire",20162017,43.8,0.4375
"Niagara",20162017,46.7,0.166666666666667
"North Dakota",20162017,53.7,0.5625
"Northeastern",20162017,45.4,0.539473684210526
"Northern Michigan",20162017,49.7,0.384615384615385
"Notre Dame",20162017,53.5,0.6375
"Ohio State",20162017,52.7,0.615384615384615
"Penn State",20162017,54.9,0.666666666666667
"Princeton",20162017,46.8,0.485294117647059
"Providence",20162017,53.5,0.628205128205128
"Quinnipiac",20162017,53.1,0.6
"Rensselaer",20162017,44.6,0.22972972972973
"RIT",20162017,53.9,0.391891891891892
"Robert Morris",20162017,51.2,0.631578947368421
"Sacred Heart",20162017,47.7,0.418918918918919
"St. Cloud State",20162017,50.7,0.458333333333333
"St. Lawrence",20162017,48.8,0.554054054054054
"Union",20162017,54.6,0.697368421052632
"Vermont",20162017,50.3,0.592105263157895
"Western Michigan",20162017,51.5,0.6125
"Wisconsin",20162017,48,0.569444444444444
"Yale",20162017,50.3,0.46969696969697
"Air Force",20172018,51.9,0.593023255813954
"Alabama-Huntsville",20172018,45.1,0.351351351351351
"Alaska",20172018,52.4,0.347222222222222
"Alaska-Anchorage",20172018,43.6,0.176470588235294
"American International",20172018,49.6,0.435897435897436
"Arizona State",20172018,47.2,0.308823529411765
"Army",20172018,48.8,0.5
"Bemidji State",20172018,48.9,0.526315789473684
"Bentley",20172018,46.7,0.432432432432432
"Boston College",20172018,52,0.581081081081081
"Boston University",20172018,47.3,0.6
"Bowling Green",20172018,50.6,0.634146341463415
