"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
2,"Luke Martin","FR","D","St. Louis, Missouri","Michigan","st louis missouri","Michigan: 02 Luke Martin - St. Louis, Missouri (FR-D)"
3,"Joseph Cecconi","SO","D","Youngstown, New York","Michigan","youngstown new york","Michigan: 03 Joseph Cecconi - Youngstown, New York (SO-D)"
4,"Cutler Martin","JR","D","East Lansing, Michigan","Michigan","east lansing michigan","Michigan: 04 Cutler Martin - East Lansing, Michigan (JR-D)"
5,"Griffin Luce","FR","D","Williamsville, New York","Michigan","williamsville new york","Michigan: 05 Griffin Luce - Williamsville, New York (FR-D)"
6,"Sam Piazza","JR","D","Darien, Illinois","Michigan","darien illinois","Michigan: 06 Sam Piazza - Darien, Illinois (JR-D)"
10,"Will Lockwood","FR","F","Bloomfield Hills, Michigan","Michigan","bloomfield hills michigan","Michigan: 10 Will Lockwood - Bloomfield Hills, Michigan (FR-F)"
11,"Brendan Warren","SO","F","Carleton, Michigan","Michigan","carleton michigan","Michigan: 11 Brendan Warren - Carleton, Michigan (SO-F)"
12,"James Sanchez","FR","F","Northbrook, Illinois","Michigan","northbrook illinois","Michigan: 12 James Sanchez - Northbrook, Illinois (FR-F)"
13,"Jake Slaker","FR","F","San Diego, California","Michigan","san diego california","Michigan: 13 Jake Slaker - San Diego, California (FR-F)"
14,"Nick Pastujov","FR","F","Bradenton, Florida","Michigan","bradenton florida","Michigan: 14 Nick Pastujov - Bradenton, Florida (FR-F)"
15,"Evan Allen","SR","F","Sterling Heights, Michigan","Michigan","sterling heights michigan","Michigan: 15 Evan Allen - Sterling Heights, Michigan (SR-F)"
16,"Alex Talcott","JR","F","Kentwood, Michigan","Michigan","kentwood michigan","Michigan: 16 Alex Talcott - Kentwood, Michigan (JR-F)"
17,"Tony Calderone","JR","F","Trenton, Michigan","Michigan","trenton michigan","Michigan: 17 Tony Calderone - Trenton, Michigan (JR-F)"
18,"Adam Winborg","FR","F","Stockholm, Sweden","Michigan","stockholm sweden","Michigan: 18 Adam Winborg - Stockholm, Sweden (FR-F)"
19,"Steven Merl","FR","F","Coral Springs, Florida","Michigan","coral springs florida","Michigan: 19 Steven Merl - Coral Springs, Florida (FR-F)"
20,"Cooper Marody","SO","F","Brighton, Michigan","Michigan","brighton michigan","Michigan: 20 Cooper Marody - Brighton, Michigan (SO-F)"
21,"Nolan De Jong","SR","D","Victoria, British Columbia","Michigan","victoria british columbia","Michigan: 21 Nolan De Jong - Victoria, British Columbia (SR-D)"
22,"Niko Porikos","JR","D","Ann Arbor, Michigan","Michigan","ann arbor michigan","Michigan: 22 Niko Porikos - Ann Arbor, Michigan (JR-D)"
23,"Alex Kile","SR","F","Troy, Michigan","Michigan","troy michigan","Michigan: 23 Alex Kile - Troy, Michigan (SR-F)"
24,"Kevin Lohan","SR","D","Cold Spring Harbor, New York","Michigan","cold spring harbor new york","Michigan: 24 Kevin Lohan - Cold Spring Harbor, New York (SR-D)"
25,"Max Shuart","SR","F","Northville, Michigan","Michigan","northville michigan","Michigan: 25 Max Shuart - Northville, Michigan (SR-F)"
26,"Christian Meike","FR","D","Arlington, Virginia","Michigan","arlington virginia","Michigan: 26 Christian Meike - Arlington, Virginia (FR-D)"
27,"Nicholas Boka","SO","D","Plymouth, Michigan","Michigan","plymouth michigan","Michigan: 27 Nicholas Boka - Plymouth, Michigan (SO-D)"
30,"Hayden Lavigne","FR","G","Brampton, Ontario","Michigan","brampton ontario","Michigan: 30 Hayden Lavigne - Brampton, Ontario (FR-G)"
31,"Chad Catt","SO","G","Williamstown, Michigan","Michigan","williamstown michigan","Michigan: 31 Chad Catt - Williamstown, Michigan (SO-G)"
35,"Zach Nagelvoort","SR","G","Holland, Michigan","Michigan","holland michigan","Michigan: 35 Zach Nagelvoort - Holland, Michigan (SR-G)"
39,"Dexter Dancs","JR","F","Vancouver, British Columbia","Michigan","vancouver british columbia","Michigan: 39 Dexter Dancs - Vancouver, British Columbia (JR-F)"
2,"Zach Osburn","SO","D","Plymouth, Michigan","Michigan State","plymouth michigan","Michigan State: 02 Zach Osburn - Plymouth, Michigan (SO-D)"
4,"Anthony Scarsella","FR","D","White Lake, Michigan","Michigan State","white lake michigan","Michigan State: 04 Anthony Scarsella - White Lake, Michigan (FR-D)"
6,"Chris Knudson","SR","F/D","North Barrington, Illinois","Michigan State","north barrington illinois","Michigan State: 06 Chris Knudson - North Barrington, Illinois (SR-F/D)"
7,"Damian Chrcek","FR","D","Marysville, Michigan","Michigan State","marysville michigan","Michigan State: 07 Damian Chrcek - Marysville, Michigan (FR-D)"
9,"Connor Wood","SR","F","Bloomfield Hills, Michigan","Michigan State","bloomfield hills michigan","Michigan State: 09 Connor Wood - Bloomfield Hills, Michigan (SR-F)"
10,"Sam Saliba","FR","F","Lincolnshire, Illinois","Michigan State","lincolnshire illinois","Michigan State: 10 Sam Saliba - Lincolnshire, Illinois (FR-F)"
11,"Rhett Holland","SR","D","Calgary, Alberta","Michigan State","calgary alberta","Michigan State: 11 Rhett Holland - Calgary, Alberta (SR-D)"
13,"Brennan Sanford","SO","F","East Lansing, Michigan","Michigan State","east lansing michigan","Michigan State: 13 Brennan Sanford - East Lansing, Michigan (SO-F)"
14,"Dylan Pavelek","JR","F","Marysville, Michigan","Michigan State","marysville michigan","Michigan State: 14 Dylan Pavelek - Marysville, Michigan (JR-F)"
17,"Taro Hirose","FR","F","Calgary, Alberta","Michigan State","calgary alberta","Michigan State: 17 Taro Hirose - Calgary, Alberta (FR-F)"
18,"Carson Gatt","JR","D","Farmington Hills, Michigan","Michigan State","farmington hills michigan","Michigan State: 18 Carson Gatt - Farmington Hills, Michigan (JR-D)"
20,"Justin Selep","SR","F","Upper St. Clair, Pennsylvania","Michigan State","upper st clair pennsylvania","Michigan State: 20 Justin Selep - Upper St. Clair, Pennsylvania (SR-F)"
21,"Joe Cox","SR","F","Chelsea, Michigan","Michigan State","chelsea michigan","Michigan State: 21 Joe Cox - Chelsea, Michigan (SR-F)"
22,"JT Stenglein","SR","F","Greece, New York","Michigan State","greece new york","Michigan State: 22 JT Stenglein - Greece, New York (SR-F)"
23,"Cody Milan","SO","F","White Lake, Michigan","Michigan State","white lake michigan","Michigan State: 23 Cody Milan - White Lake, Michigan (SO-F)"
26,"Villiam Haag","SR","F","G<U+FFFD>teborg, Sweden","Michigan State","g<U+FFFD>teborg sweden","Michigan State: 26 Villiam Haag - G<U+FFFD>teborg, Sweden (SR-F)"
27,"Mason Appleton","SO","C","Green Bay, Wisconsin","Michigan State","green bay wisconsin","Michigan State: 27 Mason Appleton - Green Bay, Wisconsin (SO-C)"
28,"Thomas Ebbing","SR","F","Troy, Michigan","Michigan State","troy michigan","Michigan State: 28 Thomas Ebbing - Troy, Michigan (SR-F)"
31,"John Lethemon","FR","G","Northville, Michigan","Michigan State","northville michigan","Michigan State: 31 John Lethemon - Northville, Michigan (FR-G)"
41,"Spencer Wright","FR","G","Farmington Hills, Michigan","Michigan State","farmington hills michigan","Michigan State: 41 Spencer Wright - Farmington Hills, Michigan (FR-G)"
44,"Butrus Ghafari","FR","D","West Bloomfield, Michigan","Michigan State","west bloomfield michigan","Michigan State: 44 Butrus Ghafari - West Bloomfield, Michigan (FR-D)"
45,"Ed Minney","JR","G","Wind Gap, Pennsylvania","Michigan State","wind gap pennsylvania","Michigan State: 45 Ed Minney - Wind Gap, Pennsylvania (JR-G)"
52,"Mitch Eliot","FR","D","Grosse Pointe, Michigan","Michigan State","grosse pointe michigan","Michigan State: 52 Mitch Eliot - Grosse Pointe, Michigan (FR-D)"
55,"Patrick Khodorenko","FR","F","Walnut Creek, California","Michigan State","walnut creek california","Michigan State: 55 Patrick Khodorenko - Walnut Creek, California (FR-F)"
57,"Jerad Rosburg","SO","D","Clarksville, Maryland","Michigan State","clarksville maryland","Michigan State: 57 Jerad Rosburg - Clarksville, Maryland (SO-D)"
71,"Logan Lambdin","FR","F","Newport, Michigan","Michigan State","newport michigan","Michigan State: 71 Logan Lambdin - Newport, Michigan (FR-F)"
2,"Cliff Watson","SR","D","Appleton, Wisconsin","Michigan Tech","appleton wisconsin","Michigan Tech: 02 Cliff Watson - Appleton, Wisconsin (SR-D)"
3,"Matt Roy","JR","D","Canton, Michigan","Michigan Tech","canton michigan","Michigan Tech: 03 Matt Roy - Canton, Michigan (JR-D)"
4,"Dane Birks","SO","D","Merritt, British Columbia","Michigan Tech","merritt british columbia","Michigan Tech: 04 Dane Birks - Merritt, British Columbia (SO-D)"
5,"Mitch Reinke","FR","D","Stillwater, Minnesota","Michigan Tech","stillwater minnesota","Michigan Tech: 05 Mitch Reinke - Stillwater, Minnesota (FR-D)"
6,"Chris Leibinger","SR","D","Saginaw, Michigan","Michigan Tech","saginaw michigan","Michigan Tech: 06 Chris Leibinger - Saginaw, Michigan (SR-D)"
7,"Reid Sturos","SR","F","Brighton, Michigan","Michigan Tech","brighton michigan","Michigan Tech: 07 Reid Sturos - Brighton, Michigan (SR-F)"
8,"Dylan Steman","JR","F","Hanover, Minnesota","Michigan Tech","hanover minnesota","Michigan Tech: 08 Dylan Steman - Hanover, Minnesota (JR-F)"
9,"Alex Gillies","JR","F","Vernon, British Columbia","Michigan Tech","vernon british columbia","Michigan Tech: 09 Alex Gillies - Vernon, British Columbia (JR-F)"
10,"Jake Jackson","SO","F","Maplewood, Minnesota","Michigan Tech","maplewood minnesota","Michigan Tech: 10 Jake Jackson - Maplewood, Minnesota (SO-F)"
11,"Joel L'Esperance","JR","F","Brighton, Michigan","Michigan Tech","brighton michigan","Michigan Tech: 11 Joel L'Esperance - Brighton, Michigan (JR-F)"
12,"Mark Auk","JR","D","St. Clair Shores, Michigan","Michigan Tech","st clair shores michigan","Michigan Tech: 12 Mark Auk - St. Clair Shores, Michigan (JR-D)"
13,"Thomas Beretta","FR","F","Orangeville, Ontario","Michigan Tech","orangeville ontario","Michigan Tech: 13 Thomas Beretta - Orangeville, Ontario (FR-F)"
14,"Gavin Gould","FR","F","North Vancouver, British Columbia","Michigan Tech","north vancouver british columbia","Michigan Tech: 14 Gavin Gould - North Vancouver, British Columbia (FR-F)"
15,"Jake Lucchini","SO","F","Trail, British Columbia","Michigan Tech","trail british columbia","Michigan Tech: 15 Jake Lucchini - Trail, British Columbia (SO-F)"
16,"Mason Blacklock","SO","F","White Rock, British Columbia","Michigan Tech","white rock british columbia","Michigan Tech: 16 Mason Blacklock - White Rock, British Columbia (SO-F)"
19,"Chris Gerrie","FR","F","Red Deer, Alberta","Michigan Tech","red deer alberta","Michigan Tech: 19 Chris Gerrie - Red Deer, Alberta (FR-F)"
20,"Alex Smith","FR","F","Edmonton, Alberta","Michigan Tech","edmonton alberta","Michigan Tech: 20 Alex Smith - Edmonton, Alberta (FR-F)"
21,"Todd Kiilunen","FR","D","Brighton, Michigan","Michigan Tech","brighton michigan","Michigan Tech: 21 Todd Kiilunen - Brighton, Michigan (FR-D)"
22,"Shane Hanna","SR","D","Salmon Arm, British Columbia","Michigan Tech","salmon arm british columbia","Michigan Tech: 22 Shane Hanna - Salmon Arm, British Columbia (SR-D)"
23,"Raymond Brice","FR","F","Houghton, Michigan","Michigan Tech","houghton michigan","Michigan Tech: 23 Raymond Brice - Houghton, Michigan (FR-F)"
24,"Evan Anderson","SO","F","Littleton, Colorado","Michigan Tech","littleton colorado","Michigan Tech: 24 Evan Anderson - Littleton, Colorado (SO-F)"
25,"Mike Neville","SR","F","Woodbridge, Ontario","Michigan Tech","woodbridge ontario","Michigan Tech: 25 Mike Neville - Woodbridge, Ontario (SR-F)"
27,"Tyler Heinonen","SR","F","Delano, Minnesota","Michigan Tech","delano minnesota","Michigan Tech: 27 Tyler Heinonen - Delano, Minnesota (SR-F)"
28,"Brent Baltus","SR","F","Nanaimo, British Columbia","Michigan Tech","nanaimo british columbia","Michigan Tech: 28 Brent Baltus - Nanaimo, British Columbia (SR-F)"
31,"Devin Kero","SO","G","Hancock, Michigan","Michigan Tech","hancock michigan","Michigan Tech: 31 Devin Kero - Hancock, Michigan (SO-G)"
35,"Matt Wintjes","SR","G","Holland Landing, Ontario","Michigan Tech","holland landing ontario","Michigan Tech: 35 Matt Wintjes - Holland Landing, Ontario (SR-G)"
37,"Angus Redmond","FR","G","Langley, British Columbia","Michigan Tech","langley british columbia","Michigan Tech: 37 Angus Redmond - Langley, British Columbia (FR-G)"
1,"Brock Kautz","SO","G","Rochester, Minnesota","Minnesota","rochester minnesota","Minnesota: 01 Brock Kautz - Rochester, Minnesota (SO-G)"
2,"Jack Sadek","SO","D","Lakeville, Minnesota","Minnesota","lakeville minnesota","Minnesota: 02 Jack Sadek - Lakeville, Minnesota (SO-D)"
3,"Jack Glover","JR","D","Golden Valley, Minnesota","Minnesota","golden valley minnesota","Minnesota: 03 Jack Glover - Golden Valley, Minnesota (JR-D)"
4,"Steve Johnson","JR","D","Excelsior, Minnesota","Minnesota","excelsior minnesota","Minnesota: 04 Steve Johnson - Excelsior, Minnesota (JR-D)"
5,"Ryan Lindgren","FR","D","Minneapolis, Minnesota","Minnesota","minneapolis minnesota","Minnesota: 05 Ryan Lindgren - Minneapolis, Minnesota (FR-D)"
6,"Ryan Collins","JR","D","Bloomington, Minnesota","Minnesota","bloomington minnesota","Minnesota: 06 Ryan Collins - Bloomington, Minnesota (JR-D)"
9,"Mike Szmatula","JR","F","Commerce Township, Michigan","Minnesota","commerce township michigan","Minnesota: 09 Mike Szmatula - Commerce Township, Michigan (JR-F)"
10,"Brent Gates Jr.","SO","F","Grand Rapids, Michigan","Minnesota","grand rapids michigan","Minnesota: 10 Brent Gates Jr. - Grand Rapids, Michigan (SO-F)"
11,"Luke Notermann","FR","F","Blaine, Minnesota","Minnesota","blaine minnesota","Minnesota: 11 Luke Notermann - Blaine, Minnesota (FR-F)"
12,"Joey Marooney","FR","F","Chaska, Minnesota","Minnesota","chaska minnesota","Minnesota: 12 Joey Marooney - Chaska, Minnesota (FR-F)"
13,"Taylor Cammarata","SR","F","Plymouth, Minnesota","Minnesota","plymouth minnesota","Minnesota: 13 Taylor Cammarata - Plymouth, Minnesota (SR-F)"
14,"Curt Simonson","SO","D","Grand Rapids, Minnesota","Minnesota","grand rapids minnesota","Minnesota: 14 Curt Simonson - Grand Rapids, Minnesota (SO-D)"
15,"Rem Pitlick","FR","F","Plymouth, Minnesota","Minnesota","plymouth minnesota","Minnesota: 15 Rem Pitlick - Plymouth, Minnesota (FR-F)"
16,"Jack Ramsey","SO","F","Chanhassen, Minnesota","Minnesota","chanhassen minnesota","Minnesota: 16 Jack Ramsey - Chanhassen, Minnesota (SO-F)"
17,"Tommy Novak","SO","F","River Falls, Wisconsin","Minnesota","river falls wisconsin","Minnesota: 17 Tommy Novak - River Falls, Wisconsin (SO-F)"
18,"Leon Bristedt","JR","F","Stockholm, Sweden","Minnesota","stockholm sweden","Minnesota: 18 Leon Bristedt - Stockholm, Sweden (JR-F)"
19,"Vinni Lettieri","SR","F","Excelsior, Minnesota","Minnesota","excelsior minnesota","Minnesota: 19 Vinni Lettieri - Excelsior, Minnesota (SR-F)"
20,"Ryan Zuhlsdorf","FR","D","Edina, Minnesota","Minnesota","edina minnesota","Minnesota: 20 Ryan Zuhlsdorf - Edina, Minnesota (FR-D)"
21,"Connor Reilly","SR","F","Chanhassen, Minnesota","Minnesota","chanhassen minnesota","Minnesota: 21 Connor Reilly - Chanhassen, Minnesota (SR-F)"
22,"Tyler Sheehy","SO","F","Burnsville, Minnesota","Minnesota","burnsville minnesota","Minnesota: 22 Tyler Sheehy - Burnsville, Minnesota (SO-F)"
23,"Ryan Norman","SO","F","Maplewood, Minnesota","Minnesota","maplewood minnesota","Minnesota: 23 Ryan Norman - Maplewood, Minnesota (SO-F)"
25,"Justin Kloos","SR","F","Lakeville, Minnesota","Minnesota","lakeville minnesota","Minnesota: 25 Justin Kloos - Lakeville, Minnesota (SR-F)"
26,"Darian Romanko","SO","F","Shoreview, Minnesota","Minnesota","shoreview minnesota","Minnesota: 26 Darian Romanko - Shoreview, Minnesota (SO-F)"
27,"Mitch Rogge","SR","F","Eden Prairie, Minnesota","Minnesota","eden prairie minnesota","Minnesota: 27 Mitch Rogge - Eden Prairie, Minnesota (SR-F)"
28,"Jake Bischoff","SR","D","Grand Rapids, Minnesota","Minnesota","grand rapids minnesota","Minnesota: 28 Jake Bischoff - Grand Rapids, Minnesota (SR-D)"
29,"Tyler Nanne","FR","D","Edina, Minnesota","Minnesota","edina minnesota","Minnesota: 29 Tyler Nanne - Edina, Minnesota (FR-D)"
34,"Nick Lehr","JR","G","Roseville, Minnesota","Minnesota","roseville minnesota","Minnesota: 34 Nick Lehr - Roseville, Minnesota (JR-G)"
37,"Eric Schierhorn","SO","G","Anchorage, Alaska","Minnesota","anchorage alaska","Minnesota: 37 Eric Schierhorn - Anchorage, Alaska (SO-G)"
4,"Clint Lewis","JR","D","Burnsville, Minnesota","Minnesota State","burnsville minnesota","Minnesota State: 04 Clint Lewis - Burnsville, Minnesota (JR-D)"
5,"Carter Foguth","SR","D","Fenton, Michigan","Minnesota State","fenton michigan","Minnesota State: 05 Carter Foguth - Fenton, Michigan (SR-D)"
6,"Parker Tuomie","FR","F","Bremerhaven, Germany","Minnesota State","bremerhaven germany","Minnesota State: 06 Parker Tuomie - Bremerhaven, Germany (FR-F)"
7,"Steen Cooper","SO","F","Duncan, British Columbia","Minnesota State","duncan british columbia","Minnesota State: 07 Steen Cooper - Duncan, British Columbia (SO-F)"
8,"Daniel Brickley","SO","D","Sandy, Utah","Minnesota State","sandy utah","Minnesota State: 08 Daniel Brickley - Sandy, Utah (SO-D)"
9,"Charlie Gerard","FR","F","Rocky River, Ohio","Minnesota State","rocky river ohio","Minnesota State: 09 Charlie Gerard - Rocky River, Ohio (FR-F)"
10,"Zeb Knutson","JR","F","Sioux Falls, South Dakota","Minnesota State","sioux falls south dakota","Minnesota State: 10 Zeb Knutson - Sioux Falls, South Dakota (JR-F)"
11,"Sean Flanagan","SR","D","Kindersly, Saskatchewan","Minnesota State","kindersly saskatchewan","Minnesota State: 11 Sean Flanagan - Kindersly, Saskatchewan (SR-D)"
12,"Max Coatta","SO","F","Minnetonka, Minnesota","Minnesota State","minnetonka minnesota","Minnesota State: 12 Max Coatta - Minnetonka, Minnesota (SO-F)"
13,"Chandler Madry","SO","F","Bakersfield, California","Minnesota State","bakersfield california","Minnesota State: 13 Chandler Madry - Bakersfield, California (SO-F)"
14,"Michael Bigelbach","FR","D","Red Wing, Minnesota","Minnesota State","red wing minnesota","Minnesota State: 14 Michael Bigelbach - Red Wing, Minnesota (FR-D)"
15,"C.J. Franklin","JR","F","Forest Lake, Minnesota","Minnesota State","forest lake minnesota","Minnesota State: 15 C.J. Franklin - Forest Lake, Minnesota (JR-F)"
16,"Jordan Nelson","SR","F","Williston, North Dakota","Minnesota State","williston north dakota","Minnesota State: 16 Jordan Nelson - Williston, North Dakota (SR-F)"
17,"Michael Huntebrinker","SR","F","Chesterfield, Missouri","Minnesota State","chesterfield missouri","Minnesota State: 17 Michael Huntebrinker - Chesterfield, Missouri (SR-F)"
18,"Ian Scheid","FR","D","Coon Rapids, Minnesota","Minnesota State","coon rapids minnesota","Minnesota State: 18 Ian Scheid - Coon Rapids, Minnesota (FR-D)"
19,"Brad McClure","JR","F","Stratford, Ontario","Minnesota State","stratford ontario","Minnesota State: 19 Brad McClure - Stratford, Ontario (JR-F)"
20,"Marc Michaelis","FR","F","Mannheim, Germany","Minnesota State","mannheim germany","Minnesota State: 20 Marc Michaelis - Mannheim, Germany (FR-F)"
21,"Alec Vanko","SO","D","Oregon, Wisconsin","Minnesota State","oregon wisconsin","Minnesota State: 21 Alec Vanko - Oregon, Wisconsin (SO-D)"
23,"Nicholas Rivera","FR","F","Pacific Palisades, California","Minnesota State","pacific palisades california","Minnesota State: 23 Nicholas Rivera - Pacific Palisades, California (FR-F)"
24,"Edwin Hookenson","FR","D","Lampman, Saskatchewan","Minnesota State","lampman saskatchewan","Minnesota State: 24 Edwin Hookenson - Lampman, Saskatchewan (FR-D)"
25,"Zach Stepan","SR","F","Hastings, Minnesota","Minnesota State","hastings minnesota","Minnesota State: 25 Zach Stepan - Hastings, Minnesota (SR-F)"
26,"Josh French","FR","F","Woodbury, Minnesota","Minnesota State","woodbury minnesota","Minnesota State: 26 Josh French - Woodbury, Minnesota (FR-F)"
27,"Ryan Schwalbe","SO","F","Anchorage, Alaska","Minnesota State","anchorage alaska","Minnesota State: 27 Ryan Schwalbe - Anchorage, Alaska (SO-F)"
29,"Aaron Nelson","JR","G","Bismarck, North Dakota","Minnesota State","bismarck north dakota","Minnesota State: 29 Aaron Nelson - Bismarck, North Dakota (JR-G)"
34,"Cole Huggins","SR","G","Centennial, Colorado","Minnesota State","centennial colorado","Minnesota State: 34 Cole Huggins - Centennial, Colorado (SR-G)"
39,"Jason Pawloski","SO","G","Omaha, Nebraska","Minnesota State","omaha nebraska","Minnesota State: 39 Jason Pawloski - Omaha, Nebraska (SO-G)"
3,"Dan Molenaar","SR","D","Eden Prairie, Minnesota","Minnesota-Duluth","eden prairie minnesota","Minnesota-Duluth: 03 Dan Molenaar - Eden Prairie, Minnesota (SR-D)"
4,"Neal Pionk","SO","D","Hermantown, Minnesota","Minnesota-Duluth","hermantown minnesota","Minnesota-Duluth: 04 Neal Pionk - Hermantown, Minnesota (SO-D)"
5,"Nick Wolff","FR","D","Eagan, Minnesota","Minnesota-Duluth","eagan minnesota","Minnesota-Duluth: 05 Nick Wolff - Eagan, Minnesota (FR-D)"
7,"Adam Johnson","SO","F","Hibbing, Minnesota","Minnesota-Duluth","hibbing minnesota","Minnesota-Duluth: 07 Adam Johnson - Hibbing, Minnesota (SO-F)"
8,"Kyle Osterberg","SR","W","Lakeville, Minnesota","Minnesota-Duluth","lakeville minnesota","Minnesota-Duluth: 08 Kyle Osterberg - Lakeville, Minnesota (SR-W)"
10,"Brenden Kotyk","SR","D","Regina, Saskatchewan","Minnesota-Duluth","regina saskatchewan","Minnesota-Duluth: 10 Brenden Kotyk - Regina, Saskatchewan (SR-D)"
11,"Avery Peterson","JR","F","Grand Rapids, Minnesota","Minnesota-Duluth","grand rapids minnesota","Minnesota-Duluth: 11 Avery Peterson - Grand Rapids, Minnesota (JR-F)"
12,"Jarod Hilderman","FR","D","Kamsack, Saskatchewan","Minnesota-Duluth","kamsack saskatchewan","Minnesota-Duluth: 12 Jarod Hilderman - Kamsack, Saskatchewan (FR-D)"
13,"Joey Anderson","FR","F","Roseville, Minnesota","Minnesota-Duluth","roseville minnesota","Minnesota-Duluth: 13 Joey Anderson - Roseville, Minnesota (FR-F)"
14,"Alex Iafallo","SR","W","Eden, New York","Minnesota-Duluth","eden new york","Minnesota-Duluth: 14 Alex Iafallo - Eden, New York (SR-W)"
15,"Willie Raskob","SR","D","Hastings, Minnesota","Minnesota-Duluth","hastings minnesota","Minnesota-Duluth: 15 Willie Raskob - Hastings, Minnesota (SR-D)"
16,"Billy Exell","SO","F","Thunder Bay, Ontario","Minnesota-Duluth","thunder bay ontario","Minnesota-Duluth: 16 Billy Exell - Thunder Bay, Ontario (SO-F)"
17,"Blake Young","JR","F","Battleford, Saskatchewan","Minnesota-Duluth","battleford saskatchewan","Minnesota-Duluth: 17 Blake Young - Battleford, Saskatchewan (JR-F)"
18,"Nick McCormack","JR","D","Ramsey, Minnesota","Minnesota-Duluth","ramsey minnesota","Minnesota-Duluth: 18 Nick McCormack - Ramsey, Minnesota (JR-D)"
19,"Dominic Toninato","SR","C","Duluth, Minnesota","Minnesota-Duluth","duluth minnesota","Minnesota-Duluth: 19 Dominic Toninato - Duluth, Minnesota (SR-C)"
20,"Karson Kuhlman","JR","W","Esko, Minnesota","Minnesota-Duluth","esko minnesota","Minnesota-Duluth: 20 Karson Kuhlman - Esko, Minnesota (JR-W)"
21,"Carson Soucy","SR","D","Irma, Alberta","Minnesota-Duluth","irma alberta","Minnesota-Duluth: 21 Carson Soucy - Irma, Alberta (SR-D)"
22,"Jared Thomas","JR","C","Hermantown, Minnesota","Minnesota-Duluth","hermantown minnesota","Minnesota-Duluth: 22 Jared Thomas - Hermantown, Minnesota (JR-C)"
24,"Will Campion","FR","D","Seaford, New York","Minnesota-Duluth","seaford new york","Minnesota-Duluth: 24 Will Campion - Seaford, New York (FR-D)"
25,"Peter Krieger *","JR","F","Oakdale, Minnesota","Minnesota-Duluth","oakdale minnesota","Minnesota-Duluth: 25 Peter Krieger * - Oakdale, Minnesota (JR-F)"
26,"Jade Miller","FR","F","Minto, North Dakota","Minnesota-Duluth","minto north dakota","Minnesota-Duluth: 26 Jade Miller - Minto, North Dakota (FR-F)"
27,"Riley Tufte","FR","F","Blaine, Minnesota","Minnesota-Duluth","blaine minnesota","Minnesota-Duluth: 27 Riley Tufte - Blaine, Minnesota (FR-F)"
28,"Sammy Spurrell","JR","W","Sherwood, Alberta","Minnesota-Duluth","sherwood alberta","Minnesota-Duluth: 28 Sammy Spurrell - Sherwood, Alberta (JR-W)"
32,"Hunter Shepard","FR","G","Cohasset, Minnesota","Minnesota-Duluth","cohasset minnesota","Minnesota-Duluth: 32 Hunter Shepard - Cohasset, Minnesota (FR-G)"
35,"Hunter Miska","FR","G","Stacy, Minnesota","Minnesota-Duluth","stacy minnesota","Minnesota-Duluth: 35 Hunter Miska - Stacy, Minnesota (FR-G)"
37,"Nick Deery","FR","G","La Crosse, Wisconsin","Minnesota-Duluth","la crosse wisconsin","Minnesota-Duluth: 37 Nick Deery - La Crosse, Wisconsin (FR-G)"
39,"Parker Mackay","SO","F","Irma, Alberta","Minnesota-Duluth","irma alberta","Minnesota-Duluth: 39 Parker Mackay - Irma, Alberta (SO-F)"
1,"Alex Blankenburg","SO","G","Washington, Michigan","Nebraska-Omaha","washington michigan","Nebraska-Omaha: 01 Alex Blankenburg - Washington, Michigan (SO-G)"
4,"Luc Snuggerud","JR","D","Eden Prairie, Minnesota","Nebraska-Omaha","eden prairie minnesota","Nebraska-Omaha: 04 Luc Snuggerud - Eden Prairie, Minnesota (JR-D)"
5,"Joel Messner","JR","D","Lorette, Manitoba","Nebraska-Omaha","lorette manitoba","Nebraska-Omaha: 05 Joel Messner - Lorette, Manitoba (JR-D)"
6,"Luk   Buchta","SO","D","Fry<U+009A>tak, Czech Republic","Nebraska-Omaha","fry<U+009A>tak czech republic","Nebraska-Omaha: 06 Luk   Buchta - Fry<U+009A>tak, Czech Republic (SO-D)"
7,"Colin Grannary","FR","F","Delta, British Columbia","Nebraska-Omaha","delta british columbia","Nebraska-Omaha: 07 Colin Grannary - Delta, British Columbia (FR-F)"
9,"Riley Alferd","SO","F","Vancouver, Washington","Nebraska-Omaha","vancouver washington","Nebraska-Omaha: 09 Riley Alferd - Vancouver, Washington (SO-F)"
10,"Tyler Vesel","JR","F","Rochester, Minnesota","Nebraska-Omaha","rochester minnesota","Nebraska-Omaha: 10 Tyler Vesel - Rochester, Minnesota (JR-F)"
11,"Mason Morelli","SO","F","Minot, North Dakota","Nebraska-Omaha","minot north dakota","Nebraska-Omaha: 11 Mason Morelli - Minot, North Dakota (SO-F)"
12,"David Pope","JR","F","Edmonton, Alberta","Nebraska-Omaha","edmonton alberta","Nebraska-Omaha: 12 David Pope - Edmonton, Alberta (JR-F)"
13,"Jake Randolph","JR","F","Duluth, Minnesota","Nebraska-Omaha","duluth minnesota","Nebraska-Omaha: 13 Jake Randolph - Duluth, Minnesota (JR-F)"
14,"Teemu Pulkkinen","FR","F","Kirkkonummi, Finland","Nebraska-Omaha","kirkkonummi finland","Nebraska-Omaha: 14 Teemu Pulkkinen - Kirkkonummi, Finland (FR-F)"
