"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
12,"Mike Booth","FR","F","Carey, Illinois","Boston College","carey illinois","Boston College: 12 Mike Booth - Carey, Illinois (FR-F)"
14,"Zach Walker","FR","F","Boise, Idaho","Boston College","boise idaho","Boston College: 14 Zach Walker - Boise, Idaho (FR-F)"
15,"JD Dudek","SO","F","Auburn, New Hampshire","Boston College","auburn new hampshire","Boston College: 15 JD Dudek - Auburn, New Hampshire (SO-F)"
17,"David Cotton","FR","F","Parker, Texas","Boston College","parker texas","Boston College: 17 David Cotton - Parker, Texas (FR-F)"
18,"Colin White","SO","F","Hanover, Massachusetts","Boston College","hanover massachusetts","Boston College: 18 Colin White - Hanover, Massachusetts (SO-F)"
19,"Ryan Fitzgerald","SR","F","North Reading, Massachusetts","Boston College","north reading massachusetts","Boston College: 19 Ryan Fitzgerald - North Reading, Massachusetts (SR-F)"
20,"Mike Merulla","FR","F","Kennett Square, Pennsylvania","Boston College","kennett square pennsylvania","Boston College: 20 Mike Merulla - Kennett Square, Pennsylvania (FR-F)"
21,"Matthew Gaudreau","SR","F","Carneys Point, New Jersey","Boston College","carneys point new jersey","Boston College: 21 Matthew Gaudreau - Carneys Point, New Jersey (SR-F)"
23,"Chris Shero","SO","F","Pittsburgh, Pennsylvania","Boston College","pittsburgh pennsylvania","Boston College: 23 Chris Shero - Pittsburgh, Pennsylvania (SO-F)"
26,"Julius Mattila","FR","F","Tampere, Finland","Boston College","tampere finland","Boston College: 26 Julius Mattila - Tampere, Finland (FR-F)"
27,"Graham McPhee","FR","F","Bethesda, Maryland","Boston College","bethesda maryland","Boston College: 27 Graham McPhee - Bethesda, Maryland (FR-F)"
28,"Ron Greco","FR","F","Philadelphia, Pennsylvania","Boston College","philadelphia pennsylvania","Boston College: 28 Ron Greco - Philadelphia, Pennsylvania (FR-F)"
29,"Ian Milsoz","SO","G","North Grafton, Massachusetts","Boston College","north grafton massachusetts","Boston College: 29 Ian Milsoz - North Grafton, Massachusetts (SO-G)"
31,"Joseph Woll","FR","G","Dardenne Prairie, Missouri","Boston College","dardenne prairie missouri","Boston College: 31 Joseph Woll - Dardenne Prairie, Missouri (FR-G)"
35,"Ryan Edquist","FR","G","Lakeville, Minnesota","Boston College","lakeville minnesota","Boston College: 35 Ryan Edquist - Lakeville, Minnesota (FR-G)"
1,"Nico Lynch","FR","G","Barnstable, Massachusetts","Boston University","barnstable massachusetts","Boston University: 01 Nico Lynch - Barnstable, Massachusetts (FR-G)"
2,"Shane Switzer","SO","D","Bloomfield Hills, Michigan","Boston University","bloomfield hills michigan","Boston University: 02 Shane Switzer - Bloomfield Hills, Michigan (SO-D)"
4,"Brandon Hickey","JR","D","Leduc, Alberta","Boston University","leduc alberta","Boston University: 04 Brandon Hickey - Leduc, Alberta (JR-D)"
5,"Chad Krys","FR","D","Ridgefield, Connecticut","Boston University","ridgefield connecticut","Boston University: 05 Chad Krys - Ridgefield, Connecticut (FR-D)"
7,"Charlie McAvoy","SO","D","Long Beach, New York","Boston University","long beach new york","Boston University: 07 Charlie McAvoy - Long Beach, New York (SO-D)"
8,"Ryan Cloonan","SO","F","East Longmeadow, Massachusetts","Boston University","east longmeadow massachusetts","Boston University: 08 Ryan Cloonan - East Longmeadow, Massachusetts (SO-F)"
9,"Kieffer Bellows","FR","F","Edina, Minnesota","Boston University","edina minnesota","Boston University: 09 Kieffer Bellows - Edina, Minnesota (FR-F)"
10,"Gabriel Chabot","FR","F","Qu<U+FFFD>bec City, Quebec","Boston University","qu<U+FFFD>bec city quebec","Boston University: 10 Gabriel Chabot - Qu<U+FFFD>bec City, Quebec (FR-F)"
11,"Patrick Curry","FR","F","Schaumburg, Illinois","Boston University","schaumburg illinois","Boston University: 11 Patrick Curry - Schaumburg, Illinois (FR-F)"
12,"Chase Phelps","JR","F","Edina, Minnesota","Boston University","edina minnesota","Boston University: 12 Chase Phelps - Edina, Minnesota (JR-F)"
13,"Nikolas Olsson","JR","F","Escondido, California","Boston University","escondido california","Boston University: 13 Nikolas Olsson - Escondido, California (JR-F)"
14,"Bobo Carpenter","SO","F","North Reading, Massachusetts","Boston University","north reading massachusetts","Boston University: 14 Bobo Carpenter - North Reading, Massachusetts (SO-F)"
15,"Nick Roberto","SR","F","Wakefield, Massachusetts","Boston University","wakefield massachusetts","Boston University: 15 Nick Roberto - Wakefield, Massachusetts (SR-F)"
16,"John MacLeod","JR","D","Dracut, Massachusetts","Boston University","dracut massachusetts","Boston University: 16 John MacLeod - Dracut, Massachusetts (JR-D)"
17,"Dante Fabbro","FR","D","New Westminster, British Columbia","Boston University","new westminster british columbia","Boston University: 17 Dante Fabbro - New Westminster, British Columbia (FR-D)"
18,"Jordan Greenway","SO","F","Canton, New York","Boston University","canton new york","Boston University: 18 Jordan Greenway - Canton, New York (SO-F)"
19,"Clayton Keller","FR","F","Swansea, Illinois","Boston University","swansea illinois","Boston University: 19 Clayton Keller - Swansea, Illinois (FR-F)"
20,"Brien Diffley","JR","D","Burlington, Massachusetts","Boston University","burlington massachusetts","Boston University: 20 Brien Diffley - Burlington, Massachusetts (JR-D)"
21,"Patrick Harper","FR","F","New Canaan, Connecticut","Boston University","new canaan connecticut","Boston University: 21 Patrick Harper - New Canaan, Connecticut (FR-F)"
22,"Tommy Kelley","SR","F","Natick, Massachusetts","Boston University","natick massachusetts","Boston University: 22 Tommy Kelley - Natick, Massachusetts (SR-F)"
23,"Jakob Forsbacka Karlsson","SO","F","Stockholm, Sweden","Boston University","stockholm sweden","Boston University: 23 Jakob Forsbacka Karlsson - Stockholm, Sweden (SO-F)"
26,"Oskar Andren","SO","F","Stockholm, Sweden","Boston University","stockholm sweden","Boston University: 26 Oskar Andren - Stockholm, Sweden (SO-F)"
27,"Doyle Somerby","SR","D","Marblehead, Massachusetts","Boston University","marblehead massachusetts","Boston University: 27 Doyle Somerby - Marblehead, Massachusetts (SR-D)"
28,"Johnny McDermott","FR","F","Darien, Connecticut","Boston University","darien connecticut","Boston University: 28 Johnny McDermott - Darien, Connecticut (FR-F)"
29,"Jake Oettinger","FR","G","Lakeville, Minnesota","Boston University","lakeville minnesota","Boston University: 29 Jake Oettinger - Lakeville, Minnesota (FR-G)"
