"Rk","Player","Start.Year","End.Date","Position","GP","G","A","PTS","Plus-Minus","PIM","W","L","TO","SV","GAA","Birthplace","Birth.Date","Death.Date"
"465","Patrick Lebeau","1991","1999","LW","15","3","2","5","-2","6","","","","","","St-Jerome","1970-03-17",""
"466","Stephan Lebeau","1989","1995","C","373","118","159","277","61","105","","","","","","St-Jerome","1968-02-28",""
"467","Fern LeBlanc","1977","1979","C","34","5","6","11","-4","0","","","","","","Gaspesie","1956-01-12",""
"468","J.P. LeBlanc","1969","1979","C","153","14","30","44","-26","87","","","","","","South Durham","1946-10-20",""
"469","Louis Leblanc","2012","2014","C","50","5","5","10","4","32","","","","","","Point-Claire","1991-01-26",""
"470","Vincent Lecavalier","1999","2016","C","1212","421","528","949","-139","848","","","","","","Ile Bizard","1980-04-21",""
"471","Jackie Leclair","1955","1957","C","160","20","40","60","","56","","","","","","Quebec City","1929-05-30","2011-06-14"
"472","Pascal Leclaire","2004","2011","G","173","0","4","4","0","8","61","76","15",".904","2.89","Repentigny","1982-11-07",""
"473","Rene Leclerc","1969","1971","RW","87","10","11","21","-11","105","","","","","","Vanier","1947-11-12",""
"474","Albert Leduc","1926","1935","D","383","57","35","92","","614","0","0","0","","30.00","Valleyfield","1902-11-22","1990-07-31"
"475","Rich LeDuc","1973","1981","C","130","28","38","66","-31","69","","","","","","Ile Perrot","1951-08-24",""
"476","Bobby Lee","1943","1943","C","1","0","0","0","","0","","","","","","Verdun","1911-12-28","1974-12-31"
"477","Guillaume Lefebvre","2002","2010","LW","39","2","4","6","-2","13","","","","","","Amos","1981-05-07",""
"478","Patrice Lefebvre","1999","1999","RW","3","0","0","0","-2","2","","","","","","Montreal","1967-06-28",""
"479","Sylvain Lefebvre","1990","2003","D","945","30","154","184","108","674","","","","","","Richmond","1967-10-14",""
"480","Roger Leger","1944","1950","D","187","18","53","71","","71","","","","","","L'Annonciation","1919-03-26","1965-04-07"
"481","Claude Legris","1981","1982","G","4","0","0","0","0","0","0","1","1","","2.64","Verdun","1956-11-06",""
"482","Yanick Lehoux","2006","2007","C","10","2","2","4","0","6","","","","","","Montreal","1982-04-08",""
"483","Jacques Lemaire*","1968","1979","C","853","366","469","835","349","217","","","","","","LaSalle","1945-09-07",""
"484","Reggie Lemelin","1979","1993","G","507","0","16","16","0","109","236","162","63",".884","3.46","Quebec City","1954-11-19",""
"485","Alain Lemieux","1982","1987","C","119","28","44","72","-12","38","","","","","","Montreal","1961-05-24",""
