"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"Rensselaer",11,15,7,6,5,5,5,8,2,0,2,0,0.439393939393939,0.434782608695652,0.51360219612,0.497496404428004,0.502006026101763,0.485200171750235
"Sacred Heart",13,16,5,4,9,3,9,7,2,0,0,0,0.455882352941176,0.463276836158192,0.497830410350756,0.48604428110472,0.48934439729361,0.482827507009756
"Army",10,14,9,8,5,2,2,9,7,0,0,0,0.439393939393939,0.445161290322581,0.476275282607897,0.494038855502148,0.489065055091758,0.478089113899464
"Princeton",10,14,5,8,7,1,2,7,4,0,0,0,0.431034482758621,0.41726618705036,0.483466511677814,0.503762068042604,0.498079312260462,0.477876030957937
"Maine",10,14,5,8,4,2,1,10,3,1,0,0,0.431034482758621,0.424242424242424,0.474339378967206,0.500055962327728,0.492855318986782,0.475702095300692
"New Hampshire",8,12,11,7,4,5,1,7,6,0,1,0,0.435483870967742,0.424657534246575,0.477277181515933,0.493163806471191,0.488715551483719,0.472701047174433
"Vermont",10,16,5,7,7,1,3,9,4,0,0,0,0.403225806451613,0.402684563758389,0.48985953639431,0.494993923080359,0.493556294808265,0.470838362045796
"St. Lawrence",9,17,6,5,6,5,4,11,1,0,0,0,0.375,0.37012987012987,0.5135113377861,0.497685010572226,0.502116382192111,0.46911975417655
"American International",9,17,7,3,7,5,6,10,2,0,0,0,0.378787878787879,0.387878787878788,0.50771675359563,0.490365003517409,0.495223493539311,0.46838731712418
"Colgate",8,16,10,5,6,5,3,10,5,0,0,0,0.382352941176471,0.384146341463415,0.484257060975451,0.497164627688511,0.493550509008854,0.466199467122494
"Brown",8,16,5,6,8,1,2,8,4,0,0,0,0.362068965517241,0.354609929078014,0.505809911366405,0.495399900181013,0.498314703312923,0.462388509754196
"Arizona State",6,15,7,3,4,3,3,10,3,0,1,1,0.339285714285714,0.354477611940298,0.50095842134235,0.493245982852357,0.495405465629555,0.460173502207241
"Michigan",9,20,3,8,9,0,1,11,2,0,0,1,0.328125,0.30794701986755,0.508782431684074,0.501664865041114,0.503657783701143,0.454730092742745
"Bemidji State",6,19,3,3,8,2,3,11,1,0,0,0,0.267857142857143,0.27007299270073,0.534147457110102,0.496448394653229,0.507004132141153,0.447771347281048
"Michigan State",6,21,5,3,10,3,3,10,1,0,1,1,0.265625,0.259375,0.532569924475166,0.501759979340671,0.51038676397833,0.447633822983747
"Mercyhurst",8,21,5,6,7,3,2,14,2,0,0,0,0.308823529411765,0.30188679245283,0.514392461807628,0.48859903438876,0.495821194066043,0.44733759366274
"Massachusetts",6,18,8,5,5,5,1,13,3,0,0,0,0.3125,0.304054054054054,0.500771974909906,0.489637388809503,0.492755072917616,0.445579818201725
"Niagara",3,23,8,1,10,5,2,13,3,0,0,0,0.205882352941176,0.208333333333333,0.50670939738112,0.486925429601195,0.492464940579574,0.421432038768014
"Ohio State",27,5,2,13,3,1,14,2,1,0,0,0,0.823529411764706,0.819767441860465,0.531077858750402,0.549155433096018,0.544093712279246,0.613012144674551
"Boston College",17,5,7,10,0,4,7,4,2,0,1,1,0.706896551724138,0.713768115942029,0.535469014555207,0.504800508406174,0.513387690127904,0.563482796581435
"Northeastern",22,8,0,15,2,0,6,6,0,1,0,0,0.733333333333333,0.737226277372263,0.502761043704955,0.506519122744245,0.505466860613244,0.563406714802999
"Minnesota",18,11,5,11,5,3,7,5,2,0,1,0,0.602941176470588,0.590361445783133,0.567661706734773,0.53853391690934,0.546689698060461,0.557607634991129
"Union",22,7,6,10,4,1,10,3,5,2,0,0,0.714285714285714,0.721590909090909,0.492581147020067,0.502149028420891,0.499470021628661,0.555000243494223
"Wisconsin",19,13,3,10,8,1,7,5,2,2,0,0,0.585714285714286,0.571428571428571,0.571445956160242,0.537484320204695,0.546993578272248,0.553102326561329
"Michigan State",16,13,3,7,8,1,7,5,2,2,0,0,0.546875,0.539877300613497,0.584991000160207,0.535399131600359,0.549284854797116,0.546932966251212
"Harvard",16,10,1,9,1,1,6,9,0,1,0,0,0.611111111111111,0.637096774193548,0.525450692443083,0.508899450358342,0.513533798142069,0.544424542154939
"Penn State",15,12,7,10,2,5,5,10,2,0,0,0,0.544117647058823,0.547770700636943,0.555577575975151,0.538123632920157,0.543010736975555,0.544200727890902
"Princeton",19,9,1,13,2,1,6,7,0,0,0,0,0.672413793103448,0.676691729323308,0.492432793702197,0.500581423131897,0.498299806891581,0.542897787499513
"Michigan Tech",17,7,5,11,2,1,6,4,3,0,1,1,0.672413793103448,0.677536231884058,0.49529025961251,0.489966362590229,0.491457053756468,0.537976848288365
"Notre Dame",15,14,3,9,7,2,6,7,1,0,0,0,0.515625,0.503184713375796,0.532772950972047,0.543586968670504,0.540559043714936,0.531215461130151
"St. Lawrence",16,10,6,7,6,3,9,4,3,0,0,0,0.59375,0.591463414634146,0.503635615299159,0.509397429186322,0.507784121297916,0.528703944631974
"Cornell",15,9,3,8,3,2,6,6,1,1,0,0,0.611111111111111,0.615384615384615,0.47480794834703,0.503783559055422,0.495670388057072,0.525598944888958
"New Hampshire",15,10,6,11,4,1,4,5,5,0,1,0,0.580645161290323,0.578231292517007,0.49788797799515,0.502416423089411,0.501148458463018,0.520419166976515
"Robert Morris",17,11,5,9,6,1,8,5,3,0,0,1,0.590909090909091,0.590909090909091,0.492527191590898,0.492819540533746,0.492737682829749,0.517280534849584
"Providence",14,11,5,7,1,5,6,9,0,1,1,0,0.55,0.560283687943262,0.491478392545649,0.506696622383872,0.50243551802917,0.516897560507693
"Air Force",21,11,4,10,3,4,11,8,0,0,0,0,0.638888888888889,0.647727272727273,0.438736020508737,0.486036767751598,0.472792558523597,0.516526237074516
"Bowling Green",14,9,3,11,2,1,3,7,2,0,0,0,0.596153846153846,0.598290598290598,0.488962931655239,0.48818165910128,0.488400415416389,0.515872961134941
"Vermont",12,11,8,7,5,3,5,6,5,0,0,0,0.516129032258065,0.519736842105263,0.516251294603424,0.506215232814873,0.509025330115667,0.511703208113066
"Army",15,10,8,10,1,4,5,9,4,0,0,0,0.575757575757576,0.592105263157895,0.456318793197081,0.493256350550846,0.482913834491792,0.510211691658317
"Ferris State",15,12,5,6,6,2,9,6,3,0,0,0,0.546875,0.558282208588957,0.471666733062439,0.497298644186039,0.490121709071431,0.507161833950812
"Brown",13,12,4,8,7,0,5,5,4,0,0,0,0.517241379310345,0.513888888888889,0.513378072423626,0.500441174147468,0.504063505664792,0.506519851470816
"Michigan",9,17,6,8,6,3,1,10,3,0,1,0,0.375,0.355704697986577,0.568594460748495,0.540593471496263,0.548433748486888,0.50025148586181
"Clarkson",11,13,8,8,7,0,2,6,8,1,0,0,0.46875,0.470967741935484,0.51514218754196,0.505964478466683,0.508534237007761,0.499142613239692
"RIT",14,12,8,5,9,3,9,3,5,0,0,0,0.529411764705882,0.527777777777778,0.507624334069618,0.481443929183253,0.488774442551436,0.498525276358021
